'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANBERRA AIRPORT New South Wales for December 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 January 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANBERRA AIRPORT,01/12/2011,5.4,13.8,3.0,20.9,5.4,94,30,3.24,32.46
CANBERRA AIRPORT,02/12/2011,5.3,0.0,5.2,19.9,9.3,84,35,4.03,29.67
CANBERRA AIRPORT,03/12/2011,6.2,0.0,4.8,24.2,7.7,90,34,3.46,34.01
CANBERRA AIRPORT,04/12/2011,5.8,2.4,6.0,21.1,10.1,93,23,4.50,29.51
CANBERRA AIRPORT,05/12/2011,5.2,0.0,7.6,19.0,3.3,80,33,5.25,28.76
CANBERRA AIRPORT,06/12/2011,4.4,0.0,5.8,18.2,4.0,91,43,4.33,26.49
CANBERRA AIRPORT,07/12/2011,5.4,0.0,4.0,21.3,6.1,93,31,3.13,31.06
CANBERRA AIRPORT,08/12/2011,4.8,0.0,5.0,22.2,11.7,94,49,3.43,26.76
CANBERRA AIRPORT,09/12/2011,5.9,0.0,4.0,24.7,7.5,96,34,3.50,30.95
CANBERRA AIRPORT,10/12/2011,6.1,0.0,6.0,25.9,11.7,91,31,2.84,30.68
CANBERRA AIRPORT,11/12/2011,4.2,4.4,5.8,24.0,13.1,97,58,3.22,21.08
CANBERRA AIRPORT,12/12/2011,4.9,15.6,5.4,23.8,11.6,97,49,3.36,25.99
CANBERRA AIRPORT,13/12/2011,5.1,0.2,3.8,21.4,11.2,97,31,4.19,24.65
CANBERRA AIRPORT,14/12/2011, ,0.0, ,21.0,5.2,94,36,2.98, 
CANBERRA AIRPORT,15/12/2011,5.9,0.0, ,23.7,11.1,84,32,3.23,30.64
CANBERRA AIRPORT,16/12/2011,4.3,0.0,11.6,22.1,10.9,89,55,3.15,22.57
CANBERRA AIRPORT,17/12/2011,6.4,0.0, ,24.7,12.8,82,36,3.81,32.89
CANBERRA AIRPORT,18/12/2011,5.0,0.0, ,23.8,10.4,100,40,3.33,25.05
CANBERRA AIRPORT,19/12/2011,3.0,8.8,14.6,22.3,14.6,100,75,3.24,16.07
CANBERRA AIRPORT,20/12/2011,5.0,1.8, ,24.9,12.6,98,50,2.07,27.36
CANBERRA AIRPORT,21/12/2011,4.4,15.6, ,21.9,14.1,98,56,3.19,24.39
CANBERRA AIRPORT,22/12/2011,5.3,0.0,8.4,25.1,14.4,95,41,2.68,26.59
CANBERRA AIRPORT,23/12/2011,6.1,0.4, ,27.8,12.2,97,34,2.58,30.33
CANBERRA AIRPORT,24/12/2011,6.6,0.0, ,28.7,12.3,97,32,3.54,30.28
CANBERRA AIRPORT,25/12/2011,6.0,6.0, ,28.8,11.1,99,38,2.45,30.17
CANBERRA AIRPORT,26/12/2011,4.0,0.6, ,24.4,14.2,97,56,3.28,18.83
CANBERRA AIRPORT,27/12/2011,4.4,0.4, ,24.0,12.1,96,54,3.27,22.31
CANBERRA AIRPORT,28/12/2011,4.1,2.0, ,23.0,12.6,97,51,2.63,21.06
CANBERRA AIRPORT,29/12/2011,6.7,0.2, ,26.3,10.1,96,24,3.43,33.41
CANBERRA AIRPORT,30/12/2011,5.5,0.0, ,24.2,9.6,93,41,4.14,28.21
CANBERRA AIRPORT,31/12/2011,6.1,0.0, ,27.4,7.2,97,35,2.32,33.15
Totals:,,157.5,72.2,101,,,,,, 
