'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANBERRA AIRPORT New South Wales for April 2013,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 May 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANBERRA AIRPORT,01/04/2013,3.8,0.0, ,23.1,6.7,100,32,3.00,20.41
CANBERRA AIRPORT,02/04/2013,3.9,0.0, ,24.1,3.0,100,28,2.60,21.26
CANBERRA AIRPORT,03/04/2013,2.6,0.0,5.6,18.7,8.3,89,49,3.57,10.76
CANBERRA AIRPORT,04/04/2013,2.2,0.0, ,18.2,5.3,95,53,2.76,10.60
CANBERRA AIRPORT,05/04/2013,3.0,0.0,1.6,22.6,9.2,97,39,2.56,14.36
CANBERRA AIRPORT,06/04/2013,2.6,0.0,2.8,22.1,4.9,100,38,1.96,12.30
CANBERRA AIRPORT,07/04/2013,3.4,1.4,2.6,24.6,5.0,100,21,1.74,20.22
CANBERRA AIRPORT,08/04/2013,3.3,0.0,3.8,24.4,4.2,100,31,2.17,18.43
CANBERRA AIRPORT,09/04/2013,3.4,0.0,4.6,24.3,4.3,100,30,2.07,19.62
CANBERRA AIRPORT,10/04/2013,3.4,0.0,3.0,25.0,6.9,100,30,2.19,18.99
CANBERRA AIRPORT,11/04/2013,3.5,0.0,3.6,26.3,4.6,100,26,2.23,16.77
CANBERRA AIRPORT,12/04/2013,3.3,0.0,3.8,25.3,9.7,96,31,1.91,18.98
CANBERRA AIRPORT,13/04/2013, ,0.0,3.8, ,5.2,100,30,2.06,18.23
CANBERRA AIRPORT,14/04/2013, ,0.0, ,26.9, ,96,23,1.86,15.35
CANBERRA AIRPORT,15/04/2013,3.0,0.0,4.2,24.5,5.8,94,33,2.76,10.23
CANBERRA AIRPORT,16/04/2013,2.3,1.2,2.8,19.9,10.5,94,48,2.55,11.24
CANBERRA AIRPORT,17/04/2013,2.6,0.0,2.8,21.3,3.4,100,31,1.70,16.21
CANBERRA AIRPORT,18/04/2013,2.8,0.0, ,22.2,8.2,100,33,2.61,12.86
CANBERRA AIRPORT,19/04/2013,4.2,0.2, ,14.9,6.8,66,32,9.30,16.75
CANBERRA AIRPORT,20/04/2013,3.0,0.6, ,17.4,7.7,97,44,6.66,14.36
CANBERRA AIRPORT,21/04/2013,2.6,0.0, ,18.5,0.1,100,32,2.26,17.75
CANBERRA AIRPORT,22/04/2013,2.2,3.4, ,17.4,7.4,97,49,3.84,10.28
CANBERRA AIRPORT,23/04/2013,3.1,0.2, ,19.8,3.1,97,33,3.86,14.30
CANBERRA AIRPORT,24/04/2013,2.7,0.0, ,18.7,-1.9,100,31,2.76,17.34
CANBERRA AIRPORT,25/04/2013,3.1,0.0,3.4,20.2,-1.5,97,26,3.05,17.06
CANBERRA AIRPORT,26/04/2013,3.9,0.0,3.2,23.4,4.0,92,30,4.60,16.24
CANBERRA AIRPORT,27/04/2013,3.2,0.0,5.4,23.1,0.6,100,34,3.28,16.49
CANBERRA AIRPORT,28/04/2013,4.8,0.0,4.0,25.7,9.3,66,17,4.44,14.69
CANBERRA AIRPORT,29/04/2013,2.7,0.0,7.0,24.1,3.8,97,34,2.45,11.52
CANBERRA AIRPORT,30/04/2013,2.2,2.8,2.6,21.8,12.1,99,46,2.32,10.57
Totals:,,86.8,9.8,70.6,,,,,, 
