'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANBERRA AIRPORT New South Wales for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANBERRA AIRPORT,01/02/2016,3.5,11.0, ,22.1,12.0,99,54,2.81,17.56
CANBERRA AIRPORT,02/02/2016,5.6,3.0, ,26.7,9.1,99,35,2.49,30.00
CANBERRA AIRPORT,03/02/2016,4.0,0.0, ,27.2,14.2,98,44,2.98,14.98
CANBERRA AIRPORT,04/02/2016,5.7,7.0, ,24.5,14.0,99,43,6.55,27.70
CANBERRA AIRPORT,05/02/2016,5.1,0.0, ,23.7,10.7,88,46,5.76,23.71
CANBERRA AIRPORT,06/02/2016,5.3,0.0, ,25.2,12.2,94,45,3.91,27.27
CANBERRA AIRPORT,07/02/2016,6.1,0.0, ,29.3,9.6,98,26,2.55,29.83
CANBERRA AIRPORT,08/02/2016,6.6,0.0, ,31.4,11.6,99,23,2.89,29.43
CANBERRA AIRPORT,09/02/2016,5.9,0.0, ,29.4,13.9,96,38,2.95,27.41
CANBERRA AIRPORT,10/02/2016,6.6,0.0, ,31.0,11.7,99,25,3.13,28.66
CANBERRA AIRPORT,11/02/2016,5.5,0.0, ,30.0,15.0,95,41,3.69,22.01
CANBERRA AIRPORT,12/02/2016,5.1,2.0, ,29.0,14.0,99,38,2.46,23.73
CANBERRA AIRPORT,13/02/2016,6.3,0.0, ,32.3,14.4,99,23,2.48,27.75
CANBERRA AIRPORT,14/02/2016,8.1,0.0, ,32.6,15.6,83,22,5.20,27.54
CANBERRA AIRPORT,15/02/2016,6.3,0.0, ,28.9,14.9,87,26,4.01,24.39
CANBERRA AIRPORT,16/02/2016,6.2,0.0, ,27.0,9.1,81,28,4.00,27.39
CANBERRA AIRPORT,17/02/2016,5.5,0.0, ,24.6,10.3,78,36,4.08,25.96
CANBERRA AIRPORT,18/02/2016,5.8,0.0, ,28.8,8.4,93,27,2.80,27.38
CANBERRA AIRPORT,19/02/2016,6.5,0.0, ,30.1,15.4,89,24,3.50,27.39
CANBERRA AIRPORT,20/02/2016,5.8,0.0, ,31.0,14.0,96,25,3.80,19.04
CANBERRA AIRPORT,21/02/2016,5.1,0.0, ,29.6,16.0,83,32,2.54,20.62
CANBERRA AIRPORT,22/02/2016,6.1,0.0, ,33.1,13.0,99,28,2.84,24.99
CANBERRA AIRPORT,23/02/2016,6.1,0.0, ,34.4,15.3,90,24,2.32,25.19
CANBERRA AIRPORT,24/02/2016,7.3,0.0, ,36.4,14.2,80,18,3.46,22.82
CANBERRA AIRPORT,25/02/2016,9.7,0.0, ,38.0,15.0,71,14,5.34,25.37
CANBERRA AIRPORT,26/02/2016,6.8,0.0, ,32.0,16.0,81,16,3.59,24.18
CANBERRA AIRPORT,27/02/2016,3.4,0.0, ,25.4,14.6,90,53,3.20,13.04
CANBERRA AIRPORT,28/02/2016,5.7,0.0, ,30.9,12.8,96,28,3.15,23.22
CANBERRA AIRPORT,29/02/2016,4.5,0.0, ,25.5,17.8,84,52,4.43,19.04
Totals:,,170.2,23, ,,,,,, 
