'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANTERBURY RACECOURSE New South Wales for July 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANTERBURY RACECOURSE,01/07/2009,2.7,0.0, ,20.8,10.2,80,28,3.44,12.48
CANTERBURY RACECOURSE,02/07/2009,2.2,0.0, ,18.6,4.5,92,32,3.04,12.35
CANTERBURY RACECOURSE,03/07/2009,3.1,0.0, ,16.1,9.6,66,40,6.36,12.53
CANTERBURY RACECOURSE,04/07/2009,2.2,0.0, ,16.7,2.3,92,35,3.52,12.64
CANTERBURY RACECOURSE,05/07/2009,1.8,0.0, ,17.3,5.3,93,31,2.21,12.86
CANTERBURY RACECOURSE,06/07/2009, ,0.0, ,15.8,1.9,93,43,1.51, 
CANTERBURY RACECOURSE,07/07/2009, ,0.6, ,14.8,6.1,97,62,2.53, 
CANTERBURY RACECOURSE,08/07/2009, ,14.6, ,15.6,6.3,97,69,1.42, 
CANTERBURY RACECOURSE,09/07/2009,1.2,9.6, ,17.9,6.1,99,60,1.49,9.83
CANTERBURY RACECOURSE,10/07/2009,1.3,4.6, ,17.2,5.7,99,53,1.67,11.32
CANTERBURY RACECOURSE,11/07/2009,1.0,0.6, ,16.7,5.3,99,58,1.05,9.46
CANTERBURY RACECOURSE,12/07/2009,1.1,0.2, ,17.9,7.8,95,56,1.18,7.04
CANTERBURY RACECOURSE,13/07/2009,1.5,0.2, ,17.2,8.8,95,42,1.68,11.23
CANTERBURY RACECOURSE,14/07/2009,2.0,0.0, ,17.0,5.9,90,36,3.00,11.75
CANTERBURY RACECOURSE,15/07/2009,1.2,0.0, ,16.6,1.8,97,42,1.11,12.69
CANTERBURY RACECOURSE,16/07/2009,1.8,0.0, ,16.1,5.2,95,43,2.95,10.83
CANTERBURY RACECOURSE,17/07/2009,1.7,6.4, ,16.1,8.8,92,58,3.46,11.53
CANTERBURY RACECOURSE,18/07/2009,1.4,0.0, ,18.1,4.8,96,42,1.32,13.44
CANTERBURY RACECOURSE,19/07/2009,1.4,0.0, ,19.6,2.3,98,34,1.07,13.47
CANTERBURY RACECOURSE,20/07/2009,1.9,0.0, ,20.7,3.1,96,32,1.71,13.72
CANTERBURY RACECOURSE,21/07/2009,1.7,0.0, ,22.3,2.6,97,31,1.27,13.60
CANTERBURY RACECOURSE,22/07/2009,3.5,0.0, ,24.7,9.6,90,29,4.11,11.74
CANTERBURY RACECOURSE,23/07/2009,2.3,3.4, ,17.4,6.9,90,42,3.91,12.30
CANTERBURY RACECOURSE,24/07/2009,1.6,0.6, ,16.8,7.2,97,51,2.11,13.96
CANTERBURY RACECOURSE,25/07/2009,1.5,0.0, ,18.2,3.0,98,32,1.05,14.24
CANTERBURY RACECOURSE,26/07/2009,1.0,0.0, ,14.1,4.6,96,64,1.13,6.80
CANTERBURY RACECOURSE,27/07/2009,2.5,8.6, ,18.2,4.4,96,35,3.64,14.36
CANTERBURY RACECOURSE,28/07/2009,2.2,0.0, ,18.1,4.7,83,39,2.81,14.03
CANTERBURY RACECOURSE,29/07/2009,2.2,0.0, ,19.9,3.0,95,41,2.61,14.02
CANTERBURY RACECOURSE,30/07/2009,2.2,0.0, ,18.3,3.5,93,39,2.59,14.55
CANTERBURY RACECOURSE,31/07/2009,2.2,0.0, ,19.4,3.5,93,39,2.44,14.20
Totals:,,52.4,49.4, ,,,,,, 
