'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANTERBURY RACECOURSE New South Wales for February 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 March 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANTERBURY RACECOURSE,01/02/2013,3.1,0.0, ,22.8,19.8,95,66,5.00,12.28
CANTERBURY RACECOURSE,02/02/2013,3.1,54.0, ,20.4,13.3,93,53,5.25,10.33
CANTERBURY RACECOURSE,03/02/2013,3.6,1.2, ,22.5,14.6,81,59,4.18,14.87
CANTERBURY RACECOURSE,04/02/2013,4.8,0.2, ,24.8,14.8,92,53,3.59,24.80
CANTERBURY RACECOURSE,05/02/2013,4.1,0.0, ,25.0,15.6,90,56,2.39,20.61
CANTERBURY RACECOURSE,06/02/2013,5.4,0.2, ,26.3,17.1,90,42,2.92,26.46
CANTERBURY RACECOURSE,07/02/2013,5.9,0.0, ,28.4,14.7,93,41,3.41,28.17
CANTERBURY RACECOURSE,08/02/2013,5.9,0.0, ,30.0,15.7,92,43,2.95,27.97
CANTERBURY RACECOURSE,09/02/2013,4.7,0.0, ,28.8,17.8,93,53,2.49,21.78
CANTERBURY RACECOURSE,10/02/2013,5.5,0.0, ,29.9,20.5,92,48,4.48,21.65
CANTERBURY RACECOURSE,11/02/2013,2.4,8.2, ,21.6,18.3,93,68,4.42,8.22
CANTERBURY RACECOURSE,12/02/2013,2.7,12.2, ,22.7,18.2,95,62,3.33,9.93
CANTERBURY RACECOURSE,13/02/2013,4.0,1.2, ,24.0,18.4,92,61,3.41,19.68
CANTERBURY RACECOURSE,14/02/2013,4.1,0.0, ,26.1,14.8,96,49,1.98,20.86
CANTERBURY RACECOURSE,15/02/2013,3.5,1.2, ,25.9,18.2,94,51,2.12,15.32
CANTERBURY RACECOURSE,16/02/2013,3.6,8.8, ,24.7,15.3,96,56,2.39,17.84
CANTERBURY RACECOURSE,17/02/2013,3.9,1.4, ,25.4,16.7,97,48,1.74,19.69
CANTERBURY RACECOURSE,18/02/2013,4.3,0.2, ,26.9,14.8,92,45,2.10,20.66
CANTERBURY RACECOURSE,19/02/2013,4.7,0.0, ,27.6,16.5,94,53,2.23,23.81
CANTERBURY RACECOURSE,20/02/2013,4.7,0.0, ,27.2,18.1,95,54,2.96,22.95
CANTERBURY RACECOURSE,21/02/2013,4.4,2.4, ,26.4,17.5,95,55,3.88,20.18
CANTERBURY RACECOURSE,22/02/2013,5.5,0.0, ,25.9,22.0,73,58,7.59,18.86
CANTERBURY RACECOURSE,23/02/2013,2.9,14.6, ,24.4,19.0,96,65,8.03,6.29
CANTERBURY RACECOURSE,24/02/2013,4.2,58.8, ,28.3,20.7,96,72,4.92,20.16
CANTERBURY RACECOURSE,25/02/2013,4.7,2.8, ,29.1,21.7,92,64,4.05,21.04
CANTERBURY RACECOURSE,26/02/2013,4.8,0.0, ,27.6,20.8,88,59,4.60,20.58
CANTERBURY RACECOURSE,27/02/2013,5.0,0.0, ,28.3,20.3,84,55,3.68,22.31
CANTERBURY RACECOURSE,28/02/2013,3.3,0.0, ,28.3,19.2,92,53,3.98,7.67
Totals:,,118.8,167.4, ,,,,,, 
