'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANTERBURY RACECOURSE New South Wales for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANTERBURY RACECOURSE,01/10/2013,7.0,0.0, ,31.8,12.0,88,17,5.19,18.03
CANTERBURY RACECOURSE,02/10/2013,5.8,0.0, ,26.2,7.6,85,21,2.95,28.60
CANTERBURY RACECOURSE,03/10/2013,3.9,0.0, ,18.6,14.6,78,37,4.53,15.05
CANTERBURY RACECOURSE,04/10/2013,4.4,2.0, ,19.0,8.0,83,40,2.98,28.55
CANTERBURY RACECOURSE,05/10/2013,5.2,0.0, ,28.0,6.9,92,19,1.65,28.41
CANTERBURY RACECOURSE,06/10/2013,6.2,0.0, ,31.7,8.5,87,13,1.99,29.42
CANTERBURY RACECOURSE,07/10/2013,4.8,0.0, ,19.9,14.2,78,46,5.31,26.44
CANTERBURY RACECOURSE,08/10/2013,4.3,0.0, ,20.4,11.1,89,46,2.88,27.08
CANTERBURY RACECOURSE,09/10/2013,5.7,0.0, ,29.6,7.5,95,18,1.56,30.49
CANTERBURY RACECOURSE,10/10/2013,9.3,0.0, ,35.9,12.8,79,7,4.62,28.49
CANTERBURY RACECOURSE,11/10/2013,5.0,0.0, ,22.2,16.8,88,46,3.64,28.01
CANTERBURY RACECOURSE,12/10/2013,5.6,0.0, ,27.1,10.2,95,38,2.14,30.84
CANTERBURY RACECOURSE,13/10/2013,9.2,0.0, ,34.3,13.7,97,8,5.08,30.09
CANTERBURY RACECOURSE,14/10/2013,4.4,3.4, ,18.1,13.6,84,35,4.16,23.75
CANTERBURY RACECOURSE,15/10/2013,5.7,0.0, ,24.4,6.6,88,16,2.24,32.06
CANTERBURY RACECOURSE,16/10/2013,6.4,0.0, ,28.1,7.0,92,17,2.40,32.32
CANTERBURY RACECOURSE,17/10/2013,8.9,0.0, ,32.5,9.9,86,8,5.62,26.47
CANTERBURY RACECOURSE,18/10/2013,5.4,0.0, ,20.8,12.2,84,25,3.61,29.20
CANTERBURY RACECOURSE,19/10/2013,5.4,0.0, ,23.1,8.0,93,35,2.52,32.42
CANTERBURY RACECOURSE,20/10/2013,5.6,0.0, ,28.4,11.1,97,40,1.76,30.77
CANTERBURY RACECOURSE,21/10/2013,6.9,0.0, ,33.3,12.7,95,24,2.39,31.00
CANTERBURY RACECOURSE,22/10/2013,3.2,0.0, ,26.7,19.2,83,57,2.73,10.61
CANTERBURY RACECOURSE,23/10/2013,8.9,3.8, ,32.4,19.6,91,12,5.66,29.81
CANTERBURY RACECOURSE,24/10/2013,6.6,0.2, ,23.1,11.4,79,15,4.46,31.40
CANTERBURY RACECOURSE,25/10/2013,5.8,0.0, ,23.0,5.7,89,14,2.67,32.35
CANTERBURY RACECOURSE,26/10/2013,5.3,0.0, ,21.8,8.0,89,33,3.24,31.14
CANTERBURY RACECOURSE,27/10/2013,5.2,0.0, ,23.3,10.3,90,34,3.05,28.73
CANTERBURY RACECOURSE,28/10/2013,4.4,0.2, ,23.7,15.4,90,53,2.63,23.89
CANTERBURY RACECOURSE,29/10/2013,4.9,0.0, ,25.0,14.0,96,42,4.91,20.94
CANTERBURY RACECOURSE,30/10/2013,4.8,1.8, ,20.6,11.8,86,50,3.47,29.16
CANTERBURY RACECOURSE,31/10/2013,5.7,0.0, ,24.6,13.2,84,44,3.28,30.95
Totals:,,179.9,11.4, ,,,,,, 
