'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CANTERBURY RACECOURSE New South Wales for January 2016,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CANTERBURY RACECOURSE,01/01/2016,5.8,0.0, ,26.1,15.0,94,52,2.55,32.37
CANTERBURY RACECOURSE,02/01/2016,4.4,0.0, ,24.8,14.8,93,52,2.65,22.13
CANTERBURY RACECOURSE,03/01/2016,3.4,0.0, ,23.6,18.9,89,58,4.50,11.34
CANTERBURY RACECOURSE,04/01/2016,2.7,4.4, ,23.4,19.5,94,65,4.16,9.15
CANTERBURY RACECOURSE,05/01/2016,2.0,36.0, ,19.7,17.3,91,71,5.60,3.72
CANTERBURY RACECOURSE,06/01/2016,1.2,39.2, ,19.2,16.4,95,84,4.43,2.96
CANTERBURY RACECOURSE,07/01/2016, ,39.2, , ,16.2,92,56,5.25,23.67
CANTERBURY RACECOURSE,08/01/2016, ,0.0, ,25.3, ,86,48,2.90,28.26
CANTERBURY RACECOURSE,09/01/2016,4.7,0.0, ,26.1,16.5,90,51,2.03,23.77
CANTERBURY RACECOURSE,10/01/2016,5.7,0.0, ,27.4,15.7,96,56,2.90,30.50
CANTERBURY RACECOURSE,11/01/2016,6.2,0.0, ,34.2,17.8,93,42,1.99,27.24
CANTERBURY RACECOURSE,12/01/2016,6.2,0.0, ,34.1,20.1,89,34,3.53,20.31
CANTERBURY RACECOURSE,13/01/2016,6.3,0.0, ,29.5,20.6,86,58,3.23,30.61
CANTERBURY RACECOURSE,14/01/2016,7.7,0.0, ,39.3,20.8,91,29,5.47,14.67
CANTERBURY RACECOURSE,15/01/2016,3.4,27.6, ,21.0,13.4,94,56,4.84,14.45
CANTERBURY RACECOURSE,16/01/2016,4.5,7.4, ,22.6,13.9,90,51,3.90,22.32
CANTERBURY RACECOURSE,17/01/2016,5.3,0.0, ,24.1,13.5,93,48,3.11,29.21
CANTERBURY RACECOURSE,18/01/2016,5.7,0.0, ,26.7,14.6,91,50,2.61,30.65
CANTERBURY RACECOURSE,19/01/2016,6.8,0.0, ,33.4,16.0,96,33,2.33,31.05
CANTERBURY RACECOURSE,20/01/2016,8.2,0.0, ,37.8,18.1,92,14,3.05,28.83
CANTERBURY RACECOURSE,21/01/2016,6.4,0.0, ,36.5,22.4,94,32,2.87,21.91
CANTERBURY RACECOURSE,22/01/2016,2.2,28.2, ,28.3,22.8,93,65,2.21,5.96
CANTERBURY RACECOURSE,23/01/2016,3.9,22.0, ,25.7,21.4,97,61,3.90,16.90
CANTERBURY RACECOURSE,24/01/2016,2.8,0.2, ,24.6,19.7,87,62,3.06,9.03
CANTERBURY RACECOURSE,25/01/2016,1.9,0.0, ,24.8,20.7,91,64,2.54,4.09
CANTERBURY RACECOURSE,26/01/2016,5.2,1.6, ,27.5,19.2,97,54,2.49,25.84
CANTERBURY RACECOURSE,27/01/2016,2.3,1.4, ,24.6,19.2,95,62,2.58,6.97
CANTERBURY RACECOURSE,28/01/2016,5.0,0.0, ,29.3,21.2,88,53,2.69,21.61
CANTERBURY RACECOURSE,29/01/2016,3.3,0.0, ,29.0,19.9,96,60,2.84,11.98
CANTERBURY RACECOURSE,30/01/2016,3.8,12.2, ,27.0,18.7,94,71,3.29,17.84
CANTERBURY RACECOURSE,31/01/2016,5.6,40.2, ,29.5,17.8,98,27,2.38,24.61
Totals:,,132.6,259.6, ,,,,,, 
