'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASINO AIRPORT New South Wales for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASINO AIRPORT,01/07/2016,3.1,0.0, ,22.7,5.8,94,28,3.34,13.40
CASINO AIRPORT,02/07/2016,2.2,0.0, ,20.0,1.6,92,31,2.05,13.43
CASINO AIRPORT,03/07/2016,2.4,0.0, ,21.7,2.2,92,35,2.32,13.46
CASINO AIRPORT,04/07/2016,1.7,0.0, ,22.8,2.4,94,43,1.14,11.19
CASINO AIRPORT,05/07/2016,1.8,4.8, ,20.0,8.4,94,52,2.78,5.89
CASINO AIRPORT,06/07/2016,3.4,2.2, ,17.8,6.1,74,37,6.10,13.57
CASINO AIRPORT,07/07/2016,3.2,0.0, ,23.2,9.6,79,36,3.52,13.63
CASINO AIRPORT,08/07/2016,2.9,0.0, ,25.0,11.3,88,36,2.78,12.78
CASINO AIRPORT,09/07/2016,2.0,0.0, ,21.1,4.8,94,45,1.85,13.53
CASINO AIRPORT,10/07/2016,2.3,0.0, ,22.5,5.8,93,42,2.23,13.75
CASINO AIRPORT,11/07/2016,2.2,0.0, ,23.4,6.9,94,55,2.99,9.07
CASINO AIRPORT,12/07/2016,2.2,0.0, ,22.0,12.4,91,61,4.64,5.58
CASINO AIRPORT,13/07/2016,2.9,0.0, ,18.5,15.8,68,33,3.50,6.48
CASINO AIRPORT,14/07/2016,1.7,0.0, ,15.5,7.0,83,41,1.81,8.85
CASINO AIRPORT,15/07/2016,1.9,0.0, ,17.7,6.8,92,48,2.10,13.92
CASINO AIRPORT,16/07/2016,1.2,0.0, ,17.5,7.7,93,65,1.40,6.84
CASINO AIRPORT,17/07/2016,1.3,5.0, ,19.5,11.6,93,77,1.83,8.12
CASINO AIRPORT,18/07/2016,1.9,6.2, ,23.6,13.6,94,59,1.42,11.61
CASINO AIRPORT,19/07/2016,2.3,0.2, ,26.7,9.7,94,48,1.53,14.33
CASINO AIRPORT,20/07/2016,2.9,0.0, ,27.2,12.0,94,48,2.95,12.67
CASINO AIRPORT,21/07/2016,2.0,0.4, ,23.4,17.9,88,69,2.63,9.16
CASINO AIRPORT,22/07/2016,3.1,0.0, ,28.8,14.0,94,44,2.57,14.34
CASINO AIRPORT,23/07/2016,5.5,0.0, ,28.7,17.1,82,22,5.64,14.72
CASINO AIRPORT,24/07/2016,2.6,0.0, ,21.5,9.3,77,28,2.13,13.76
CASINO AIRPORT,25/07/2016,3.2,0.0, ,22.8,6.0,85,25,2.78,14.84
CASINO AIRPORT,26/07/2016,3.0,0.0, ,22.8,6.5,82,26,2.58,14.46
CASINO AIRPORT,27/07/2016,3.1,0.0, ,20.1,12.2,72,35,3.62,9.74
CASINO AIRPORT,28/07/2016,2.6,0.0, ,21.7,3.2,90,31,2.07,15.20
CASINO AIRPORT,29/07/2016,3.0,0.0, ,24.5,1.8,94,25,2.16,15.29
CASINO AIRPORT,30/07/2016,2.5,0.0, ,22.2,1.7,93,44,2.27,14.06
CASINO AIRPORT,31/07/2016,3.3,0.0, ,25.1,6.0,94,26,2.60,15.47
Totals:,,79.4,18.8, ,,,,,, 
