'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASINO AIRPORT New South Wales for April 2017,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASINO AIRPORT,01/04/2017,4.0,0.0, ,26.6,15.7,87,46,3.11,17.49
CASINO AIRPORT,02/04/2017,4.0,0.0, ,26.6,18.1,86,50,4.25,14.35
CASINO AIRPORT,03/04/2017,3.4,0.8, ,24.5,17.2,85,60,4.96,12.80
CASINO AIRPORT,04/04/2017,3.5,1.0, ,25.0,15.4,87,53,4.10,13.47
CASINO AIRPORT,05/04/2017,2.1,2.4, ,21.8,15.4,93,71,2.99,9.20
CASINO AIRPORT,06/04/2017,3.3,15.0, ,25.2,14.8,91,53,2.60,16.17
CASINO AIRPORT,07/04/2017,3.2,4.0, ,25.1,15.2,90,59,2.79,15.45
CASINO AIRPORT,08/04/2017,3.5,2.8, ,26.1,15.0,91,45,2.33,16.74
CASINO AIRPORT,09/04/2017,3.7,0.0, ,27.0,13.7,93,42,2.04,19.30
CASINO AIRPORT,10/04/2017,5.4,0.0, ,30.1,15.9,88,19,3.58,19.44
CASINO AIRPORT,11/04/2017,3.8,0.0, ,25.9,9.5,89,32,2.35,19.35
CASINO AIRPORT,12/04/2017,3.6,0.0, ,27.3,13.5,90,50,2.61,17.65
CASINO AIRPORT,13/04/2017,3.2,0.0, ,26.2,15.7,90,50,1.96,16.00
CASINO AIRPORT,14/04/2017,3.2,0.0, ,26.7,16.0,93,42,1.63,17.00
CASINO AIRPORT,15/04/2017,3.5,0.0, ,27.0,12.3,94,42,2.08,18.38
CASINO AIRPORT,16/04/2017,3.4,0.0, ,27.0,12.7,94,38,1.76,18.46
CASINO AIRPORT,17/04/2017,3.6,0.0, ,27.7,13.2,93,42,2.16,18.37
CASINO AIRPORT,18/04/2017,3.1,0.0, ,26.8,14.9,93,48,2.06,15.48
CASINO AIRPORT,19/04/2017,3.1,2.0, ,25.5,14.4,94,57,2.71,15.55
CASINO AIRPORT,20/04/2017,3.0,2.0, ,24.8,13.0,94,51,2.73,14.37
CASINO AIRPORT,21/04/2017,2.3,0.8, ,24.6,12.7,94,58,1.80,11.42
CASINO AIRPORT,22/04/2017,2.7,0.2, ,26.0,12.9,94,48,1.78,13.60
CASINO AIRPORT,23/04/2017,3.1,0.0, ,26.9,12.8,93,42,1.85,16.11
CASINO AIRPORT,24/04/2017,3.1,0.0, ,26.8,12.1,94,44,1.91,16.92
CASINO AIRPORT,25/04/2017,3.3,0.0, ,27.5,11.9,94,42,2.11,17.04
CASINO AIRPORT,26/04/2017,2.9,0.2, ,23.7,15.0,87,51,4.32,6.52
CASINO AIRPORT,27/04/2017,2.8,1.6, ,21.6,8.9,89,40,2.39,15.28
CASINO AIRPORT,28/04/2017,2.9,0.0, ,23.3,10.4,89,51,3.62,12.26
CASINO AIRPORT,29/04/2017,2.9,0.0, ,24.6,9.0,93,43,1.95,16.68
CASINO AIRPORT,30/04/2017,2.7,0.0, ,24.5,10.2,93,45,1.80,14.80
Totals:,,98.3,32.8, ,,,,,, 
