'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CESSNOCK AIRPORT New South Wales for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CESSNOCK AIRPORT,01/01/2015, , , ,34.7, ,100,24,2.73,31.26
CESSNOCK AIRPORT,02/01/2015,6.2,1.4, ,31.7,20.0,99,44,3.05,26.85
CESSNOCK AIRPORT,03/01/2015,7.4,0.0, ,33.9,18.6,100,27,2.81,31.32
CESSNOCK AIRPORT,04/01/2015,6.9,0.0, ,34.4,18.4,100,30,2.85,27.60
CESSNOCK AIRPORT,05/01/2015,3.8,0.0, ,26.9,21.8,96,58,4.21,13.91
CESSNOCK AIRPORT,06/01/2015,6.2,0.0, ,30.4,18.6,100,42,3.76,26.47
CESSNOCK AIRPORT,07/01/2015,7.3,0.0, ,31.6,19.1,100,33,3.80,31.27
CESSNOCK AIRPORT,08/01/2015,7.3,0.0, ,33.1,15.4,100,27,2.91,31.63
CESSNOCK AIRPORT,09/01/2015,6.3,0.0, ,35.2,18.1,100,28,2.48,23.55
CESSNOCK AIRPORT,10/01/2015, ,0.0, , ,19.8,100,39,2.48,14.19
CESSNOCK AIRPORT,11/01/2015, , , ,22.8, ,100,92,1.74,2.86
CESSNOCK AIRPORT,12/01/2015,3.5,19.2, ,25.9,20.1,100,64,4.08,14.76
CESSNOCK AIRPORT,13/01/2015,5.1,0.2, ,30.0,19.3,97,50,2.02,23.61
CESSNOCK AIRPORT,14/01/2015,7.7,8.8, ,33.9,21.6,100,29,4.19,28.76
CESSNOCK AIRPORT,15/01/2015,7.0,0.0, ,30.4,19.6,79,32,3.90,27.30
CESSNOCK AIRPORT,16/01/2015,7.6,0.0, ,33.0,20.8,82,17,2.83,30.85
CESSNOCK AIRPORT,17/01/2015,8.4,0.0, ,35.6,15.4,92,15,3.28,32.15
CESSNOCK AIRPORT,18/01/2015,6.6,0.0, ,31.7,14.2,100,28,2.66,29.75
CESSNOCK AIRPORT,19/01/2015,1.4,3.0, ,20.4,19.2,100,77,3.41,3.54
CESSNOCK AIRPORT,20/01/2015,4.8,20.0, ,25.9,17.5,100,52,4.34,22.46
CESSNOCK AIRPORT,21/01/2015,5.3,22.2, ,30.2,18.6,98,44,3.38,21.72
CESSNOCK AIRPORT,22/01/2015,5.5,0.0, ,29.5,19.3,100,45,3.75,22.93
CESSNOCK AIRPORT,23/01/2015,5.8,0.2, ,32.5,19.2,100,41,2.20,25.55
CESSNOCK AIRPORT,24/01/2015,6.5,1.0, ,32.6,20.0,100,40,2.81,28.36
CESSNOCK AIRPORT,25/01/2015,7.4,18.0, ,34.5,19.8,100,34,3.49,30.04
CESSNOCK AIRPORT,26/01/2015,1.8,0.0, ,22.6,22.1,99,66,4.36,3.13
CESSNOCK AIRPORT,27/01/2015,0.8,2.4, ,19.6,19.0,100,94,3.08,2.63
CESSNOCK AIRPORT,28/01/2015,2.9,19.2, ,21.6,17.1,100,53,3.69,10.55
CESSNOCK AIRPORT,29/01/2015,6.2,22.2, ,24.5,15.1,91,31,4.15,30.90
CESSNOCK AIRPORT,30/01/2015,5.0,3.6, ,26.6,10.8,99,35,2.06,25.74
CESSNOCK AIRPORT,31/01/2015,5.6,0.0, ,28.6,12.5,100,29,2.19,27.67
Totals:,,156.3,141.4, ,,,,,, 
