'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COBAR AIRPORT New South Wales for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COBAR AIRPORT,01/03/2011,7.8,0.0, ,31.5,22.6,60,26,5.07,24.86
COBAR AIRPORT,02/03/2011,6.7,0.0, ,29.0,18.0,53,22,3.57,25.47
COBAR AIRPORT,03/03/2011,6.0,0.0, ,26.0,17.3,40,25,4.16,17.79
COBAR AIRPORT,04/03/2011,7.0,0.0, ,30.4,13.9,59,15,3.66,25.77
COBAR AIRPORT,05/03/2011,8.4,0.0, ,32.6,13.4,59,13,4.43,28.78
COBAR AIRPORT,06/03/2011,8.2,0.0, ,30.8,17.5,58,26,5.81,27.79
COBAR AIRPORT,07/03/2011,7.9,0.0, ,30.2,19.0,54,25,5.11,27.90
COBAR AIRPORT,08/03/2011,5.0,0.0, ,28.1,18.3,79,34,4.12,14.89
COBAR AIRPORT,09/03/2011,4.2,3.2, ,27.4,17.2,90,50,4.37,14.48
COBAR AIRPORT,10/03/2011,3.2,2.8, ,26.4,19.0,93,55,3.42,10.83
COBAR AIRPORT,11/03/2011,4.0,4.2, ,28.6,19.2,95,58,2.17,19.45
COBAR AIRPORT,12/03/2011,5.9,4.4, ,31.8,20.6,87,41,3.99,22.84
COBAR AIRPORT,13/03/2011,6.2,0.4, ,32.7,20.5,87,35,3.37,25.19
COBAR AIRPORT,14/03/2011,6.7,0.0, ,34.7,19.5,82,25,3.19,25.60
COBAR AIRPORT,15/03/2011,7.0,0.0, ,34.9,22.0,74,29,4.17,22.06
COBAR AIRPORT,16/03/2011,5.2,0.0, ,32.1,21.3,81,40,2.55,20.96
COBAR AIRPORT,17/03/2011,4.7,0.0, ,28.3,21.3,70,28,3.28,12.92
COBAR AIRPORT,18/03/2011,4.3,0.0, ,27.0,15.6,63,24,2.20,16.34
COBAR AIRPORT,19/03/2011,3.1,0.6, ,24.3,16.6,89,50,2.12,13.51
COBAR AIRPORT,20/03/2011,5.4,2.4, ,31.3,16.1,94,35,3.19,22.70
COBAR AIRPORT,21/03/2011,4.3,0.0, ,29.8,20.9,93,51,3.87,16.15
COBAR AIRPORT,22/03/2011,2.9,3.4, ,24.9,16.0,95,64,3.73,12.20
COBAR AIRPORT,23/03/2011,4.5,1.6, ,25.0,13.5,96,36,3.62,21.61
COBAR AIRPORT,24/03/2011,4.0,0.2, ,23.1,12.0,86,45,4.27,17.81
COBAR AIRPORT,25/03/2011,5.1,0.0, ,22.5,14.8,69,42,5.69,22.71
COBAR AIRPORT,26/03/2011,4.5,0.0, ,25.4,7.6,88,35,2.67,24.45
COBAR AIRPORT,27/03/2011,5.7,0.0, ,28.6,12.8,74,28,4.06,22.32
COBAR AIRPORT,28/03/2011,5.3,0.0, ,29.3,15.0,74,29,3.27,21.97
COBAR AIRPORT,29/03/2011,5.4,0.0, ,29.7,17.7,67,28,3.53,19.21
COBAR AIRPORT,30/03/2011,4.6,0.0, ,30.2,15.8,89,32,2.88,17.15
COBAR AIRPORT,31/03/2011,5.5,0.6, ,28.0,14.7,80,28,3.87,23.21
Totals:,,168.7,23.8, ,,,,,, 
