'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COBAR AIRPORT New South Wales for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COBAR AIRPORT,01/01/2015,8.8,0.0, ,39.0,17.1,35,9,2.50,33.48
COBAR AIRPORT,02/01/2015,10.8,0.0, ,40.6,20.1,45,10,5.04,24.00
COBAR AIRPORT,03/01/2015,10.1,0.0, ,37.0,22.3,56,20,4.87,31.20
COBAR AIRPORT,04/01/2015,6.8,0.0, ,36.8,26.7,99,30,5.91,13.93
COBAR AIRPORT,05/01/2015,4.2,0.0, ,29.5,20.8,99,52,4.42,13.17
COBAR AIRPORT,06/01/2015,6.3,0.2, ,35.0,20.6,99,30,2.84,22.90
COBAR AIRPORT,07/01/2015,8.3,7.2, ,36.2,22.6,66,26,3.87,26.47
COBAR AIRPORT,08/01/2015,9.2,0.0, ,38.1,21.8,58,15,3.95,27.07
COBAR AIRPORT,09/01/2015,9.8,0.0, ,37.6,24.2,58,20,5.97,20.81
COBAR AIRPORT,10/01/2015, ,0.0, , ,24.0,100,44,3.85,3.56
COBAR AIRPORT,11/01/2015, , , , , , , , ,4.65
COBAR AIRPORT,19/01/2015, , , , , , , , ,31.03
COBAR AIRPORT,20/01/2015, , , , , , , , ,22.01
COBAR AIRPORT,21/01/2015, , , ,32.9, ,57,24,5.34,29.07
COBAR AIRPORT,22/01/2015,7.6,0.0, ,34.1,22.5,69,30,3.84,25.80
COBAR AIRPORT,23/01/2015,6.8,0.0, ,36.6,21.5,66,24,2.54,23.00
COBAR AIRPORT,24/01/2015,6.2,0.0, ,35.9,25.4,90,32,4.60,14.40
COBAR AIRPORT,25/01/2015,8.0,5.0, ,32.8,20.6,99,26,4.69,30.91
COBAR AIRPORT,26/01/2015,9.1,0.0, ,31.0,15.4,48,14,5.06,31.36
COBAR AIRPORT,27/01/2015,8.8,0.0, ,31.9,14.2,58,16,4.75,31.17
COBAR AIRPORT,28/01/2015,7.7,0.0, ,31.4,18.3,77,28,5.02,26.49
COBAR AIRPORT,29/01/2015,7.1,3.6, ,30.6,16.7,69,27,3.63,27.75
COBAR AIRPORT,30/01/2015,7.8,0.0, ,30.5,14.1,75,15,3.86,31.37
COBAR AIRPORT,31/01/2015,7.2,0.0, ,29.8,11.2,61,21,3.30,31.21
Totals:,,150.6,16, ,,,,,, 
