'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COBAR AIRPORT New South Wales for September 2016,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 October 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COBAR AIRPORT,01/09/2016,2.5,0.2, ,21.3,6.9,99,40,2.19,11.79
COBAR AIRPORT,02/09/2016,0.8,23.8, ,17.3,13.3,100,92,4.55,2.86
COBAR AIRPORT,03/09/2016,2.9,21.2, ,17.3,8.7,99,51,5.16,17.21
COBAR AIRPORT,04/09/2016,2.6,0.2, ,16.7,3.7,99,49,2.68,18.74
COBAR AIRPORT,05/09/2016,2.8,0.0, ,19.0,2.3,99,45,2.32,19.23
COBAR AIRPORT,06/09/2016,3.3,0.0, ,22.1,4.4,99,38,2.31,19.34
COBAR AIRPORT,07/09/2016,3.5,0.0, ,22.9,8.8,99,42,3.28,17.61
COBAR AIRPORT,08/09/2016,3.9,0.0, ,23.6,9.2,98,45,4.99,16.98
COBAR AIRPORT,09/09/2016,1.8,0.0, ,17.9,16.3,100,65,5.86,4.89
COBAR AIRPORT,10/09/2016,3.0,36.0, ,17.5,6.2,99,41,2.87,19.96
COBAR AIRPORT,11/09/2016,2.5,0.2, ,18.6,3.6,99,47,1.14,18.41
COBAR AIRPORT,12/09/2016,3.0,0.0, ,20.1,5.8,99,41,2.24,18.71
COBAR AIRPORT,13/09/2016,2.5,0.0, ,19.6,9.6,97,54,4.01,9.35
COBAR AIRPORT,14/09/2016,2.7,3.4, ,17.2,12.0,99,41,4.78,8.62
COBAR AIRPORT,15/09/2016,2.7,1.4, ,16.5,5.3,90,56,3.73,16.60
COBAR AIRPORT,16/09/2016,2.9,1.8, ,19.8,7.2,99,41,1.95,17.82
COBAR AIRPORT,17/09/2016,2.8,0.0, ,19.3,5.6,99,48,2.95,15.36
COBAR AIRPORT,18/09/2016,2.1,13.4, ,18.4,12.8,99,71,5.69,10.09
COBAR AIRPORT,19/09/2016,3.1,7.4, ,17.4,3.8,99,41,2.62,21.42
COBAR AIRPORT,20/09/2016,2.6,0.2, ,17.8,5.0,99,46,3.78,10.74
COBAR AIRPORT,21/09/2016,2.2,7.4, ,16.9,13.5,99,68,6.13,10.90
COBAR AIRPORT,22/09/2016,1.8,1.2, ,14.2,10.2,99,64,3.98,8.65
COBAR AIRPORT,23/09/2016,2.9,0.2, ,19.0,1.8,99,44,0.96,22.34
COBAR AIRPORT,24/09/2016,3.6,0.0, ,21.7,4.7,99,35,2.79,19.30
COBAR AIRPORT,25/09/2016,2.9,3.2, ,18.0,9.6,99,45,3.49,13.87
COBAR AIRPORT,26/09/2016,3.3,0.2, ,19.3,2.4,99,37,2.18,21.41
COBAR AIRPORT,27/09/2016,3.9,0.0, ,19.9,7.1,93,39,3.42,22.88
COBAR AIRPORT,28/09/2016,4.7,0.0, ,22.8,5.1,95,34,4.52,22.99
COBAR AIRPORT,29/09/2016,4.5,2.6, ,17.7,10.1,96,32,8.06,21.23
COBAR AIRPORT,30/09/2016,3.5,1.4, ,17.0,8.1,93,44,7.45,15.21
Totals:,,87.3,125.4, ,,,,,, 
