'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COFFS HARBOUR AIRPORT COMPARISON New South Wales for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COFFS HARBOUR AIRPORT COMPARISON,01/11/2013,4.7,0.0, ,25.2,10.4,97,40,0.00,31.31
COFFS HARBOUR AIRPORT COMPARISON,02/11/2013,4.8,0.0, ,26.4,15.5,86,49,0.00,29.84
COFFS HARBOUR AIRPORT COMPARISON,03/11/2013,4.5,0.0, ,31.8,17.1,85,34,0.00,25.90
COFFS HARBOUR AIRPORT COMPARISON,04/11/2013,4.1,0.0, ,23.2,17.0,73,48,0.00,25.79
COFFS HARBOUR AIRPORT COMPARISON,05/11/2013,3.1,0.0, ,22.8,13.5,76,48,0.00,19.29
COFFS HARBOUR AIRPORT COMPARISON,06/11/2013,4.7,0.0, ,23.5,16.3,86,51,0.00,29.09
COFFS HARBOUR AIRPORT COMPARISON,07/11/2013,5.3,0.0, ,25.6,12.4,88,50,0.00,33.16
COFFS HARBOUR AIRPORT COMPARISON,08/11/2013,5.7,0.0, ,25.9,15.3,91,58,0.00,33.41
COFFS HARBOUR AIRPORT COMPARISON,09/11/2013,5.1,0.0, ,30.8,16.8,88,36,0.00,29.80
COFFS HARBOUR AIRPORT COMPARISON,10/11/2013,2.8,0.2, ,24.4,18.3,97,70,0.00,14.71
COFFS HARBOUR AIRPORT COMPARISON,11/11/2013,3.7,36.6, ,26.4,16.7,98,58,0.00,20.69
COFFS HARBOUR AIRPORT COMPARISON,12/11/2013,3.4,60.8, ,26.3,17.8,98,66,0.00,17.95
COFFS HARBOUR AIRPORT COMPARISON,13/11/2013,4.8,24.2, ,26.4,18.4,95,62,0.00,27.20
COFFS HARBOUR AIRPORT COMPARISON,14/11/2013,4.3,0.6, ,24.4,18.5,96,67,0.00,24.46
COFFS HARBOUR AIRPORT COMPARISON,15/11/2013,4.1,0.0, ,24.5,15.0,98,64,0.00,24.04
COFFS HARBOUR AIRPORT COMPARISON,16/11/2013,3.0,14.0, ,23.7,17.7,97,73,0.00,16.02
COFFS HARBOUR AIRPORT COMPARISON,17/11/2013,3.5,16.4, ,22.7,11.6,98,54,0.00,21.72
COFFS HARBOUR AIRPORT COMPARISON,18/11/2013,2.9,25.0, ,23.3,15.2,98,73,0.00,15.71
COFFS HARBOUR AIRPORT COMPARISON,19/11/2013,4.9,15.8, ,25.1,13.4,96,54,0.00,30.54
COFFS HARBOUR AIRPORT COMPARISON,20/11/2013,5.0,0.0, ,24.8,17.7,94,66,0.00,29.02
COFFS HARBOUR AIRPORT COMPARISON,21/11/2013,5.4,0.0, ,25.2,15.2,98,65,0.00,32.08
COFFS HARBOUR AIRPORT COMPARISON,22/11/2013,3.8,0.0, ,25.9,17.8,94,63,0.00,21.05
COFFS HARBOUR AIRPORT COMPARISON,23/11/2013,2.6,4.0, ,26.0,19.6,95,65,0.00,12.88
COFFS HARBOUR AIRPORT COMPARISON,24/11/2013,5.0,35.6, ,25.2,16.2,96,66,0.00,28.78
COFFS HARBOUR AIRPORT COMPARISON,25/11/2013,4.3,0.2, ,24.7,14.9,97,62,0.00,25.06
COFFS HARBOUR AIRPORT COMPARISON,26/11/2013,4.6,6.2, ,23.6,15.5,86,51,0.00,28.38
COFFS HARBOUR AIRPORT COMPARISON,27/11/2013,5.7,0.0, ,23.8,15.1,89,50,0.00,34.67
COFFS HARBOUR AIRPORT COMPARISON,28/11/2013,6.1,0.0, ,26.9,12.5,96,60,0.00,35.88
COFFS HARBOUR AIRPORT COMPARISON,29/11/2013,2.5,0.0, ,31.3,19.4,97,39,0.00,11.90
COFFS HARBOUR AIRPORT COMPARISON,30/11/2013,2.4,40.4, ,22.8,15.7,97,60,0.00,12.79
Totals:,,126.8,280, ,,,,,, 
