'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COFFS HARBOUR MO New South Wales for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COFFS HARBOUR MO,01/11/2009,5.1,0.0,5.6,24.1,14.9,96,56,4.13,29.21
COFFS HARBOUR MO,02/11/2009,5.8,0.0,5.6,25.2,14.9,91,50,5.41,30.74
COFFS HARBOUR MO,03/11/2009,6.6,0.0,6.0,29.9,15.9,91,47,5.10,30.42
COFFS HARBOUR MO,04/11/2009,7.0,0.0,6.8,30.2,17.6,93,30,4.68,28.13
COFFS HARBOUR MO,05/11/2009,3.2,0.4,5.2,23.8,19.4,97,75,4.83,16.08
COFFS HARBOUR MO,06/11/2009,2.1,96.0, ,21.4,17.8,97,84,6.37,10.91
COFFS HARBOUR MO,07/11/2009,3.4,371.0, ,23.1,17.4,98,75,2.93,19.28
COFFS HARBOUR MO,08/11/2009,2.5,4.8,3.0,21.0,17.1,98,94,1.56,15.05
COFFS HARBOUR MO,09/11/2009,4.3,58.0, ,23.4,17.8,98,58,3.65,22.14
COFFS HARBOUR MO,10/11/2009,4.9,0.0,3.8,23.6,13.0,97,53,1.69,29.88
COFFS HARBOUR MO,11/11/2009,5.6,0.0,6.2,24.8,14.4,96,51,3.63,31.78
COFFS HARBOUR MO,12/11/2009, ,0.0,6.0,24.9,14.6,96,54,5.74, 
COFFS HARBOUR MO,13/11/2009,3.9,0.0,6.6,25.5,17.1,97,66,4.14,18.83
COFFS HARBOUR MO,14/11/2009,4.7,17.0,6.0,23.9,17.7,96,64,3.59,26.65
COFFS HARBOUR MO,15/11/2009,5.6,0.0,4.0,26.6,16.9,96,60,2.98,30.96
COFFS HARBOUR MO,16/11/2009, ,0.0,6.0,30.3,17.2,94,59,4.07, 
COFFS HARBOUR MO,17/11/2009, ,0.0,4.6,26.7,21.0,95,54,5.23, 
COFFS HARBOUR MO,18/11/2009, ,0.0,6.0,24.4,18.6,83,58,3.52, 
COFFS HARBOUR MO,19/11/2009, ,0.0,4.0,26.3,18.1,91,68,7.17, 
COFFS HARBOUR MO,20/11/2009, ,0.0,7.0,30.4,22.1,89,59,7.29, 
COFFS HARBOUR MO,21/11/2009, ,0.0,5.2,30.0,20.6,95,63,6.73, 
COFFS HARBOUR MO,22/11/2009, ,0.0,7.8,29.8,22.7,87,57,6.78, 
COFFS HARBOUR MO,23/11/2009, ,0.0,6.6,25.4,21.5,91,67,5.07, 
COFFS HARBOUR MO,24/11/2009, ,0.0,6.8,26.2,20.4,95,67,3.26, 
COFFS HARBOUR MO,25/11/2009, ,0.0,6.4,26.4,16.4,96,60,4.21, 
COFFS HARBOUR MO,26/11/2009, ,0.0,6.2,27.6,20.5,81,52,8.38, 
COFFS HARBOUR MO,27/11/2009, ,0.0,7.6,28.3,21.5,92,63,6.19, 
COFFS HARBOUR MO,28/11/2009,6.1,0.0,5.2,29.8,19.2,96,51,3.79,28.27
COFFS HARBOUR MO,29/11/2009,10.3,9.8,7.6,37.7,22.3,75,8,4.67,32.18
COFFS HARBOUR MO,30/11/2009,6.5,0.0,8.8,25.9,16.9,88,36,4.72,29.91
Totals:,,87.6,557,160.6,,,,,, 
