'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COFFS HARBOUR MO New South Wales for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COFFS HARBOUR MO,01/06/2010,3.6,0.0,2.4,21.7,14.4,73,49,6.01,14.50
COFFS HARBOUR MO,02/06/2010,1.5,4.0,3.4,16.2,14.6,97,70,4.41,8.00
COFFS HARBOUR MO,03/06/2010,1.4,59.4,1.6,16.9,14.1,97,78,5.38,7.46
COFFS HARBOUR MO,04/06/2010,2.4,33.4,0.6,20.7,13.9,94,64,5.99,12.20
COFFS HARBOUR MO,05/06/2010,3.2,1.8,2.4,21.7,14.9,93,50,6.77,14.09
COFFS HARBOUR MO,06/06/2010,3.0,0.0,3.0,19.4,8.9,92,35,4.57,14.86
COFFS HARBOUR MO,07/06/2010,3.5,0.0,3.0,19.7,10.8,67,47,6.50,14.08
COFFS HARBOUR MO,08/06/2010,2.2,0.0,3.0,18.9,9.9,94,51,3.14,14.54
COFFS HARBOUR MO,09/06/2010,2.6,0.2,1.8,22.3,9.7,96,33,2.95,14.08
COFFS HARBOUR MO,10/06/2010,2.6,0.0,2.0,17.9,4.2,92,27,3.17,14.76
COFFS HARBOUR MO,11/06/2010,1.9,0.0,2.0,18.7,4.8,97,43,2.47,12.33
COFFS HARBOUR MO,12/06/2010,2.7,0.0,1.6,18.0,5.3,97,40,4.83,14.64
COFFS HARBOUR MO,13/06/2010,2.2,0.0,2.4,17.7,9.5,92,52,4.76,11.94
COFFS HARBOUR MO,14/06/2010,1.5,4.0,1.8,16.4,12.8,95,75,4.75,11.38
COFFS HARBOUR MO,15/06/2010,1.4,3.8,0.4,17.4,9.8,97,71,3.41,10.61
COFFS HARBOUR MO,16/06/2010,1.7,0.8,0.8,19.7,7.5,100,57,2.20,13.81
COFFS HARBOUR MO,17/06/2010,2.2,0.0,1.6,19.0,10.1,96,50,4.53,8.20
COFFS HARBOUR MO,18/06/2010,2.3,0.0,1.0,20.7,8.7,96,38,2.82,13.86
COFFS HARBOUR MO,19/06/2010,1.9,0.0,2.2,18.0,5.3,99,42,2.13,14.37
COFFS HARBOUR MO,20/06/2010,2.0,0.0,1.8,19.0,5.3,99,35,2.09,14.25
COFFS HARBOUR MO,21/06/2010,2.2,0.0,1.6,19.7,6.2,99,50,3.55,13.74
COFFS HARBOUR MO,22/06/2010,1.7,4.4,2.2,17.8,13.6,96,71,5.26,11.36
COFFS HARBOUR MO,23/06/2010,2.0,11.0,1.6,18.1,13.0,96,61,4.91,10.34
COFFS HARBOUR MO,24/06/2010,1.8,5.2,1.0,19.1,12.2,96,60,3.02,12.25
COFFS HARBOUR MO,25/06/2010,2.1,0.0,1.0,20.6,8.2,99,52,3.00,13.32
COFFS HARBOUR MO,26/06/2010,2.1,0.0,1.6,21.6,10.0,97,51,3.24,10.04
COFFS HARBOUR MO,27/06/2010,1.9,1.6,1.2,17.9,13.3,97,59,3.92,10.77
COFFS HARBOUR MO,28/06/2010,2.1,0.0,2.2,17.4,8.6,97,51,3.81,14.39
COFFS HARBOUR MO,29/06/2010,1.8,0.0,2.0,16.4,3.6,99,40,2.04,14.57
COFFS HARBOUR MO,30/06/2010,2.0,0.0,1.6,16.7,1.3,96,35,2.28,14.49
Totals:,,65.5,129.6,54.8,,,,,, 
