'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COFFS HARBOUR MO New South Wales for December 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 January 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COFFS HARBOUR MO,01/12/2011,3.1,0.0,7.4,20.1,19.6,94,70,7.64,14.60
COFFS HARBOUR MO,02/12/2011,6.3,5.6,2.2,23.2,15.6,80,40,7.71,27.03
COFFS HARBOUR MO,03/12/2011,4.8,0.4,6.8,22.3,14.9,84,53,4.19,24.77
COFFS HARBOUR MO,04/12/2011,5.7,0.0,5.4,25.2,13.3,94,53,5.06,30.69
COFFS HARBOUR MO,05/12/2011,4.4,2.4,6.4,19.6,14.9,84,51,7.21,19.68
COFFS HARBOUR MO,06/12/2011,4.1,0.6,4.4,20.2,15.2,85,50,4.96,17.94
COFFS HARBOUR MO,07/12/2011,3.0,0.6,2.4,22.8,13.1,97,75,3.70,15.77
COFFS HARBOUR MO,08/12/2011,4.8,43.6,0.4,24.4,16.6,97,57,4.98,24.08
COFFS HARBOUR MO,09/12/2011,5.2,0.0,5.4,24.0,16.6,87,61,4.12,28.63
COFFS HARBOUR MO,10/12/2011,3.3,0.0,5.6,23.1,18.1,97,71,1.69,17.07
COFFS HARBOUR MO,11/12/2011,4.3,3.4,1.6,25.3,16.6,98,68,3.08,23.06
COFFS HARBOUR MO,12/12/2011,3.8,69.6, ,24.7,18.8,97,74,4.79,20.09
COFFS HARBOUR MO,13/12/2011,4.9,4.6,2.6,24.0,14.9,98,62,3.92,28.28
COFFS HARBOUR MO,14/12/2011, ,0.0,6.2,23.6,17.5,94,54,5.38, 
COFFS HARBOUR MO,15/12/2011,4.6,2.8,5.8,22.4,15.6,94,52,4.93,22.40
COFFS HARBOUR MO,16/12/2011,5.8,0.0,4.0,24.2,16.0,79,48,5.44,27.16
COFFS HARBOUR MO,17/12/2011,5.5,0.0,6.6,23.7,16.1,86,48,5.02,26.72
COFFS HARBOUR MO,18/12/2011,4.9,0.0,7.4,23.8,13.4,94,55,3.24,27.48
COFFS HARBOUR MO,19/12/2011,6.5,0.0,5.2,27.2,16.6,85,45,6.14,27.91
COFFS HARBOUR MO,20/12/2011,5.3,0.0,5.2,27.5,19.6,88,57,4.22,24.27
COFFS HARBOUR MO,21/12/2011,5.1,0.4,5.2,25.9,19.7,96,60,4.83,25.57
COFFS HARBOUR MO,22/12/2011,4.5,14.4,6.2,24.8,19.3,96,70,3.04,24.56
COFFS HARBOUR MO,23/12/2011,4.9,0.6,3.6,26.4,17.9,97,66,2.93,25.95
COFFS HARBOUR MO,24/12/2011,4.8,5.2,5.6,26.0,19.0,97,64,3.45,25.22
COFFS HARBOUR MO,25/12/2011,5.8,7.2,5.2,26.1,17.7,97,56,3.93,31.01
COFFS HARBOUR MO,26/12/2011,6.0,0.0,6.6,25.9,16.4,96,49,2.67,33.06
COFFS HARBOUR MO,27/12/2011,5.6,0.0,5.8,27.7,19.6,93,53,8.01,21.10
COFFS HARBOUR MO,28/12/2011,6.0,0.8,8.2,25.8,17.6,91,51,8.50,26.61
COFFS HARBOUR MO,29/12/2011,6.1, ,7.8,25.5,18.1,71,52,8.32,20.84
COFFS HARBOUR MO,30/12/2011,6.4,0.0,8.0,25.9,17.8,87,46,6.96,28.52
COFFS HARBOUR MO,31/12/2011,3.7,8.6,8.0,24.4,17.1,95,52,5.22,12.14
Totals:,,149.2,170.8,161.2,,,,,, 
