'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COFFS HARBOUR MO New South Wales for December 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 January 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COFFS HARBOUR MO,01/12/2014,5.6,0.0,8.0,27.4,17.1,90,48,5.92,21.48
COFFS HARBOUR MO,02/12/2014,5.6,1.6,5.8,28.4,19.9,84,56,7.17,20.17
COFFS HARBOUR MO,03/12/2014,6.2,0.4,5.2,27.6,20.9,84,58,7.57,26.27
COFFS HARBOUR MO,04/12/2014,4.3,0.0,5.8,29.7,21.7,99,60,5.61,14.58
COFFS HARBOUR MO,05/12/2014,4.0,20.0,1.8,29.6,19.3,99,63,5.31,13.91
COFFS HARBOUR MO,06/12/2014,2.6,0.2,1.4,26.0,20.5,99,66,4.56,7.31
COFFS HARBOUR MO,07/12/2014,5.7,6.6,11.4,28.5,20.5,99,63,6.19,27.84
COFFS HARBOUR MO,08/12/2014,4.0,0.2,6.6,30.1,21.4,99,60,4.77,13.50
COFFS HARBOUR MO,09/12/2014,3.3,0.0,4.0,26.4,19.7,99,72,3.39,15.09
COFFS HARBOUR MO,10/12/2014,4.8,0.4,3.0,31.0,21.1,99,72,4.04,22.52
COFFS HARBOUR MO,11/12/2014,4.1,0.0,4.8,31.0,25.5,100,55,4.79,12.25
COFFS HARBOUR MO,12/12/2014,4.2,34.8,7.0,24.5,18.7,93,67,11.08,17.75
COFFS HARBOUR MO,13/12/2014,2.3,3.8,5.2,22.3,16.0,99,68,6.03,6.17
COFFS HARBOUR MO,14/12/2014,3.9,8.6,2.2,24.2,16.5,100,62,3.36,19.32
COFFS HARBOUR MO,15/12/2014,5.2,0.2,4.2,25.1,15.1,100,56,2.36,29.31
COFFS HARBOUR MO,16/12/2014,6.6,0.0,5.6,31.1,15.3,99,55,6.00,30.23
COFFS HARBOUR MO,17/12/2014,6.9,3.6,7.2,33.6,21.7,99,49,6.16,25.66
COFFS HARBOUR MO,18/12/2014,3.5,0.4,6.0,27.7,19.8,100,82,6.13,18.46
COFFS HARBOUR MO,19/12/2014,7.0,36.4,9.5,31.0,18.5,99,44,5.00,30.06
COFFS HARBOUR MO,20/12/2014,3.0,0.0,12.1,25.1,19.8,100,73,3.72,13.39
COFFS HARBOUR MO,21/12/2014,4.1,0.8,5.0,26.0,18.9,100,69,4.18,21.16
COFFS HARBOUR MO,22/12/2014,5.3,0.0,4.4,26.6,17.7,99,63,3.29,28.63
COFFS HARBOUR MO,23/12/2014,4.7,0.0,7.2,26.8,17.4,99,58,5.20,21.10
COFFS HARBOUR MO,24/12/2014,5.2,0.0, ,27.9,20.0,91,67,5.23,24.88
COFFS HARBOUR MO,25/12/2014,4.7,0.0,5.2,28.1,20.5,100,72,6.23,24.14
COFFS HARBOUR MO,26/12/2014,3.6,5.6,6.2,29.7,21.6,100,76,5.52,15.36
COFFS HARBOUR MO,27/12/2014,0.7,18.2,6.4,20.4,19.6,100,98,5.18,2.89
COFFS HARBOUR MO,28/12/2014,0.7,42.2,3.2,24.1,16.8,100,100,5.02,3.08
COFFS HARBOUR MO,29/12/2014,3.2,80.4, ,27.7,17.9,100,93,3.17,18.43
COFFS HARBOUR MO,30/12/2014,6.3,11.2, ,34.2,17.8,100,52,2.97,27.68
COFFS HARBOUR MO,31/12/2014,2.5,0.0,4.0,27.3,22.2,99,83,6.07,10.63
Totals:,,133.8,275.6,158.4,,,,,, 
