'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CONDOBOLIN AIRPORT New South Wales for August 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CONDOBOLIN AIRPORT,01/08/2009,1.6,0.0, ,14.8,3.4,96,59,2.32,13.16
CONDOBOLIN AIRPORT,02/08/2009,1.6,0.0, ,16.7,6.2,93,49,1.35,14.52
CONDOBOLIN AIRPORT,03/08/2009,1.8,0.0, ,16.3,2.6,90,49,2.09,15.00
CONDOBOLIN AIRPORT,04/08/2009,1.6,0.0, ,17.2,1.9,92,46,1.30,13.41
CONDOBOLIN AIRPORT,05/08/2009,1.9,0.0, ,18.7,0.9,93,39,1.41,15.29
CONDOBOLIN AIRPORT,06/08/2009,3.0,0.0, ,19.9,4.6,89,34,3.82,15.11
CONDOBOLIN AIRPORT,07/08/2009,4.0,0.0, ,19.2,8.4,76,32,6.97,13.60
CONDOBOLIN AIRPORT,08/08/2009,2.0,0.0, ,13.9,-1.8,88,31,1.98,16.20
CONDOBOLIN AIRPORT,09/08/2009,1.8,0.0, ,18.5,-3.4,86,25,1.00,15.84
CONDOBOLIN AIRPORT,10/08/2009,3.1,0.0, ,20.4,0.4,86,25,3.19,13.87
CONDOBOLIN AIRPORT,11/08/2009,3.7,0.0, ,19.7,10.5,84,31,5.33,15.47
CONDOBOLIN AIRPORT,12/08/2009,2.6,0.2, ,18.1,4.7,88,36,2.93,14.23
CONDOBOLIN AIRPORT,13/08/2009,2.1,0.0, ,17.8,1.6,87,51,2.28,14.74
CONDOBOLIN AIRPORT,14/08/2009,2.2,0.0, ,19.0,0.8,90,36,1.62,16.71
CONDOBOLIN AIRPORT,15/08/2009,3.1,0.0, ,21.8,0.8,88,28,2.71,16.91
CONDOBOLIN AIRPORT,16/08/2009,5.0,0.0, ,23.7,9.8,68,26,6.51,8.09
CONDOBOLIN AIRPORT,17/08/2009,3.0,0.0, ,16.8,5.4,81,32,3.94,16.61
CONDOBOLIN AIRPORT,18/08/2009,2.0,0.0, ,17.7,-1.3,83,35,1.24,17.39
CONDOBOLIN AIRPORT,19/08/2009,2.5,0.0, ,21.1,-0.7,86,22,1.44,16.68
CONDOBOLIN AIRPORT,20/08/2009,2.8,0.0, ,22.7,6.6,72,22,1.55,16.91
CONDOBOLIN AIRPORT,21/08/2009,5.3,0.0, ,25.4,8.9,88,23,6.84,9.43
CONDOBOLIN AIRPORT,22/08/2009,3.0,0.8, ,21.2,10.8,93,45,3.86,13.62
CONDOBOLIN AIRPORT,23/08/2009,4.6,0.0, ,26.7,13.3,78,35,4.64,15.79
CONDOBOLIN AIRPORT,24/08/2009,2.5,0.0, ,18.4,15.6,84,55,4.92,6.11
CONDOBOLIN AIRPORT,25/08/2009,4.6,1.8, ,16.7,8.6,63,28,7.53,18.34
CONDOBOLIN AIRPORT,26/08/2009,3.2,0.0, ,17.7,2.1,86,33,3.66,18.39
CONDOBOLIN AIRPORT,27/08/2009,3.8,0.0, ,22.8,0.1,82,19,2.80,18.72
CONDOBOLIN AIRPORT,28/08/2009,3.9,0.0, ,24.9,1.5,77,16,2.46,17.93
CONDOBOLIN AIRPORT,29/08/2009,4.0,6.4, ,23.1,12.2,87,45,7.07,10.94
CONDOBOLIN AIRPORT,30/08/2009,3.5,1.4, ,14.7,7.8,79,35,6.14,18.52
CONDOBOLIN AIRPORT,31/08/2009,2.6,0.0, ,16.2,7.3,85,39,2.86,13.44
Totals:,,92.4,10.6, ,,,,,, 
