'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CONDOBOLIN AIRPORT New South Wales for January 2012,,,,,,,,,,
Issued at 22:33 GMT on Wednesday 01 February 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CONDOBOLIN AIRPORT,01/01/2012,7.2,0.0, ,32.8,15.6,90,20,2.31,32.30
CONDOBOLIN AIRPORT,02/01/2012,8.3,0.0, ,35.2,18.8,88,19,3.27,31.88
CONDOBOLIN AIRPORT,03/01/2012,8.5,0.0, ,37.6,19.9,82,18,3.18,30.58
CONDOBOLIN AIRPORT,04/01/2012,7.5,0.0, ,35.1,24.6,64,20,3.58,21.80
CONDOBOLIN AIRPORT,05/01/2012,8.0,0.0, ,35.3,17.3,68,18,3.12,28.89
CONDOBOLIN AIRPORT,06/01/2012,7.5,0.0, ,31.7,14.9,60,11,2.30,33.60
CONDOBOLIN AIRPORT,07/01/2012,9.1,0.0, ,36.2,15.9,79,21,4.65,29.78
CONDOBOLIN AIRPORT,08/01/2012,6.9,0.4, ,35.1,23.3,83,33,5.00,17.18
CONDOBOLIN AIRPORT,09/01/2012,7.8,0.0, ,27.1,16.7,75,19,5.73,29.41
CONDOBOLIN AIRPORT,10/01/2012,7.2,0.0, ,28.2,13.6,66,23,4.60,26.59
CONDOBOLIN AIRPORT,11/01/2012,8.7,0.0, ,25.2,14.7,56,19,8.30,30.30
CONDOBOLIN AIRPORT,12/01/2012,7.2,0.0, ,26.3,8.6,63,18,3.93,32.24
CONDOBOLIN AIRPORT,13/01/2012,7.1,0.0, ,30.0,10.8,72,16,3.32,28.36
CONDOBOLIN AIRPORT,14/01/2012,7.7,0.0, ,32.2,13.0,67,10,2.95,30.99
CONDOBOLIN AIRPORT,15/01/2012,8.2,0.0, ,32.1,15.0,75,21,5.20,26.32
CONDOBOLIN AIRPORT,16/01/2012,7.1,0.0, ,32.5,14.7,90,25,4.55,22.66
CONDOBOLIN AIRPORT,17/01/2012,8.4,0.0, ,33.0,16.4,73,17,4.13,30.51
CONDOBOLIN AIRPORT,18/01/2012, ,0.0, , ,20.3,65,17,4.29,30.14
CONDOBOLIN AIRPORT,19/01/2012, , , ,38.7, ,75,14,2.39,26.83
CONDOBOLIN AIRPORT,20/01/2012,8.7,0.0, ,37.1,22.3,99,19,5.35,24.32
CONDOBOLIN AIRPORT,21/01/2012,7.3,7.8, ,32.2,19.3,91,34,5.21,25.39
CONDOBOLIN AIRPORT,22/01/2012,7.7,0.2, ,31.3,18.1,96,27,5.04,29.59
CONDOBOLIN AIRPORT,23/01/2012,7.9,0.0, ,32.5,15.2,86,23,4.73,27.91
CONDOBOLIN AIRPORT,24/01/2012,6.4,0.0, ,31.6,16.5,81,29,3.84,21.46
CONDOBOLIN AIRPORT,25/01/2012,5.5,0.0, ,29.6,21.0,80,47,4.82,17.80
CONDOBOLIN AIRPORT,26/01/2012,4.2,0.0, ,27.2,20.8,96,59,4.94,16.38
CONDOBOLIN AIRPORT,27/01/2012,5.2,4.2, ,29.3,18.5,89,37,4.85,14.01
CONDOBOLIN AIRPORT,28/01/2012,5.0,0.2, ,30.3,20.5,81,45,4.45,13.58
CONDOBOLIN AIRPORT,29/01/2012,2.8,0.0, ,24.5,21.9,99,68,5.84,9.66
CONDOBOLIN AIRPORT,30/01/2012,6.7,11.2, ,33.8,21.1,99,43,7.58,18.03
CONDOBOLIN AIRPORT,31/01/2012,7.1,0.0, ,28.4,16.7,83,26,4.71,28.66
Totals:,,206.9,24, ,,,,,, 
