'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CONDOBOLIN AIRPORT New South Wales for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CONDOBOLIN AIRPORT,01/01/2013,9.8,0.0, ,39.2,15.5,33,5,3.23,33.22
CONDOBOLIN AIRPORT,02/01/2013,10.2,0.0, ,36.9,18.3,25,8,4.19,31.10
CONDOBOLIN AIRPORT,03/01/2013,8.8,0.0, ,37.4,14.5,53,13,3.12,31.17
CONDOBOLIN AIRPORT,04/01/2013,11.4,0.0, ,41.6,21.3,53,15,4.91,30.99
CONDOBOLIN AIRPORT,05/01/2013,11.4,0.0, ,44.4,27.9,30,11,4.08,29.94
CONDOBOLIN AIRPORT,06/01/2013,11.5,0.0, ,44.1,27.6,33,7,4.09,30.94
CONDOBOLIN AIRPORT,07/01/2013,12.7,0.0, ,41.2,25.1,37,12,5.98,30.82
CONDOBOLIN AIRPORT,08/01/2013,15.5,0.0, ,43.5,28.6,46,7,8.42,28.64
CONDOBOLIN AIRPORT,09/01/2013,9.6,0.4, ,28.8,17.7,60,11,6.97,30.54
CONDOBOLIN AIRPORT,10/01/2013,7.1,0.0, ,34.1,9.0,46,9,2.05,30.55
CONDOBOLIN AIRPORT,11/01/2013,10.0,0.0, ,41.7,17.5,60,7,3.43,30.65
CONDOBOLIN AIRPORT,12/01/2013,10.9,0.0, ,44.1,20.9,26,5,3.92,26.15
CONDOBOLIN AIRPORT,13/01/2013,11.0,0.0, ,38.2,21.1,40,13,5.82,24.94
CONDOBOLIN AIRPORT,14/01/2013,9.2,0.0, ,31.1,13.2,78,10,5.81,29.91
CONDOBOLIN AIRPORT,15/01/2013,8.6,0.0, ,34.4,15.1,58,18,3.88,30.16
CONDOBOLIN AIRPORT,16/01/2013,8.2,0.0, ,39.5,17.9,45,14,2.71,26.47
CONDOBOLIN AIRPORT,17/01/2013,9.8,0.0, ,43.3,20.8,37,9,3.11,29.63
CONDOBOLIN AIRPORT,18/01/2013,13.7,0.0, ,45.9,25.9,35,11,6.62,22.28
CONDOBOLIN AIRPORT,19/01/2013,4.1,1.2, ,29.0,20.4,85,31,2.94,9.59
CONDOBOLIN AIRPORT,20/01/2013,7.7,1.8, ,35.4,18.7,90,24,3.66,27.44
CONDOBOLIN AIRPORT,21/01/2013,8.4,0.0, ,37.3,21.4,71,19,4.39,22.38
CONDOBOLIN AIRPORT,22/01/2013,10.4,0.0, ,39.7,21.7,63,9,4.52,29.39
CONDOBOLIN AIRPORT,23/01/2013,9.2,0.0, ,37.9,20.2,71,9,3.71,29.52
CONDOBOLIN AIRPORT,24/01/2013,10.0,0.0, ,37.7,21.3,62,14,4.87,29.01
CONDOBOLIN AIRPORT,25/01/2013,9.7,0.0, ,39.7,23.1,62,12,3.98,29.10
CONDOBOLIN AIRPORT,26/01/2013,8.1,0.0, ,38.5,26.6,76,21,4.74,18.28
CONDOBOLIN AIRPORT,27/01/2013,7.6,2.2, ,33.9,22.5,80,16,3.99,23.72
CONDOBOLIN AIRPORT,28/01/2013,7.4,0.0, ,32.5,18.0,63,30,4.03,25.31
CONDOBOLIN AIRPORT,29/01/2013,9.2,0.0, ,32.6,20.8,73,16,5.85,28.87
CONDOBOLIN AIRPORT,30/01/2013,7.1,0.0, ,32.1,12.8,54,10,2.58,28.68
CONDOBOLIN AIRPORT,31/01/2013,9.7,0.0, ,38.4,11.3,41,5,3.80,28.70
Totals:,,298,5.6, ,,,,,, 
