'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COOMA AIRPORT New South Wales for June 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COOMA AIRPORT,01/06/2009,0.9,1.2, ,10.6,3.3,99,68,2.96,9.19
COOMA AIRPORT,02/06/2009,0.7,0.6, ,10.5,2.9,99,83,2.43,6.43
COOMA AIRPORT,03/06/2009,0.8,1.6, ,11.4,6.5,99,84,3.78,8.40
COOMA AIRPORT,04/06/2009,0.8,0.6, ,11.8,5.7,99,81,3.08,8.33
COOMA AIRPORT,05/06/2009,0.6,7.0, ,8.0,6.4,99,89,5.32,7.08
COOMA AIRPORT,06/06/2009,1.2,2.0, ,11.9,0.7,99,49,2.73,11.53
COOMA AIRPORT,07/06/2009,1.3,0.0, ,10.3,1.5,99,56,4.72,11.29
COOMA AIRPORT,08/06/2009,1.4,0.0, ,10.4,2.4,88,53,4.47,11.23
COOMA AIRPORT,09/06/2009,1.4,0.0, ,7.7,1.7,87,52,5.04,8.48
COOMA AIRPORT,10/06/2009,1.5,0.0, ,5.0,-1.2,89,47,8.55,10.97
COOMA AIRPORT,11/06/2009,1.5,0.2, ,7.5,-2.8,82,56,6.47,11.83
COOMA AIRPORT,12/06/2009,1.2,0.0, ,9.6,-5.1,99,47,3.11,11.83
COOMA AIRPORT,13/06/2009,1.8,0.0, ,10.2,-2.9,99,24,3.82,7.87
COOMA AIRPORT,14/06/2009,1.6,0.0, ,12.1,-1.2,90,39,3.38,11.46
COOMA AIRPORT,15/06/2009,1.0,0.0, ,9.6,-4.1,93,63,3.63,8.70
COOMA AIRPORT,16/06/2009,1.0,0.0, ,8.6,0.9,99,60,3.35,9.67
COOMA AIRPORT,17/06/2009,0.9,0.0, ,9.8,-6.0,99,55,1.99,11.64
COOMA AIRPORT,18/06/2009,0.8,0.0, ,9.9,-4.2,99,60,1.77,11.69
COOMA AIRPORT,19/06/2009,0.9,0.0, ,10.2,-2.2,99,60,2.79,11.29
COOMA AIRPORT,20/06/2009,1.9,0.0, ,12.8,-0.3,99,42,5.93,11.36
COOMA AIRPORT,21/06/2009,0.7,0.2, ,11.0,6.8,99,80,2.75,7.35
COOMA AIRPORT,22/06/2009,1.0,0.0, ,13.0,-1.3,99,53,2.03,11.33
COOMA AIRPORT,23/06/2009,1.1,0.0, ,11.9,-3.6,99,55,2.54,11.61
COOMA AIRPORT,24/06/2009,1.0,0.0, ,11.5,-3.2,99,56,2.63,10.03
COOMA AIRPORT,25/06/2009,1.2,0.0, ,10.6,-4.9,97,44,2.57,11.46
COOMA AIRPORT,26/06/2009,1.1,0.0, ,10.5,-3.7,99,50,2.62,10.85
COOMA AIRPORT,27/06/2009,0.6,0.0, ,9.9,-1.5,99,65,0.87,8.17
COOMA AIRPORT,28/06/2009,0.8,0.2, ,10.7,4.4,99,66,1.67,8.73
COOMA AIRPORT,29/06/2009,1.5,0.0, ,13.0,0.5,93,52,4.36,10.73
COOMA AIRPORT,30/06/2009,2.4,0.0, ,15.2,5.5,89,48,7.75,10.21
Totals:,,34.6,13.6, ,,,,,, 
