'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COOMA AIRPORT New South Wales for February 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 March 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COOMA AIRPORT,01/02/2011,8.9,0.0, ,33.2,15.7,87,21,5.52,32.00
COOMA AIRPORT,02/02/2011,5.1,0.0, ,31.7,16.1,98,39,3.64,17.09
COOMA AIRPORT,03/02/2011,6.3,25.0, ,29.6,18.6,99,47,4.18,28.61
COOMA AIRPORT,04/02/2011,4.1,14.2, ,29.7,17.9,98,40,3.21,12.39
COOMA AIRPORT,05/02/2011,4.1,16.2, ,27.0,19.2,99,55,4.52,16.09
COOMA AIRPORT,06/02/2011,2.3,7.0, ,12.3,12.0,97,63,5.69,12.35
COOMA AIRPORT,07/02/2011,5.0,0.8, ,20.9,1.4,99,35,2.41,32.68
COOMA AIRPORT,08/02/2011,4.3,0.0, ,20.4,6.9,99,41,2.54,26.09
COOMA AIRPORT,09/02/2011,5.0,0.0, ,22.8,8.9,96,44,3.99,27.41
COOMA AIRPORT,10/02/2011,4.3,0.0, ,25.5,11.4,99,46,3.86,18.49
COOMA AIRPORT,11/02/2011,2.5,0.4, ,20.9,14.6,97,57,3.33,8.30
COOMA AIRPORT,12/02/2011,2.2,17.6, ,18.2,13.0,99,71,4.27,10.30
COOMA AIRPORT,13/02/2011,3.8,0.8, ,19.2,12.0,99,52,3.82,21.43
COOMA AIRPORT,14/02/2011,4.7,0.2, ,20.2,6.4,99,45,3.42,30.33
COOMA AIRPORT,15/02/2011,4.4,0.0, ,22.4,8.0,99,56,4.62,26.25
COOMA AIRPORT,16/02/2011,2.3,0.2, ,19.6,12.7,99,73,3.83,11.47
COOMA AIRPORT,17/02/2011,3.4,9.8, ,24.0,13.8,99,62,3.40,16.50
COOMA AIRPORT,18/02/2011,3.6,51.0, ,23.6,13.5,99,58,2.98,18.34
COOMA AIRPORT,19/02/2011,4.5,0.4, ,25.1,15.4,96,52,6.99,16.95
COOMA AIRPORT,20/02/2011,5.2,3.2, ,23.0,14.8,97,40,5.06,26.33
COOMA AIRPORT,21/02/2011,4.0,0.0, ,17.0,8.4,97,52,5.21,27.16
COOMA AIRPORT,22/02/2011,4.3,0.0, ,18.4,2.2,96,39,2.92,29.02
COOMA AIRPORT,23/02/2011, , , ,23.2, ,99,28,1.66,29.75
COOMA AIRPORT,24/02/2011,5.1,0.0, ,25.5,5.6,99,32,1.94,29.40
COOMA AIRPORT,25/02/2011,4.6,0.0, ,24.3,10.9,99,34,2.62,23.31
COOMA AIRPORT,26/02/2011,5.0,7.0, ,25.6,9.1,99,36,2.96,26.35
COOMA AIRPORT,27/02/2011,2.6,0.6, ,21.6,15.5,99,60,2.79,11.01
COOMA AIRPORT,28/02/2011,4.3,0.2, ,25.5,12.6,99,53,3.58,21.91
Totals:,,115.9,154.6, ,,,,,, 
