'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COOMA AIRPORT New South Wales for April 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COOMA AIRPORT,01/04/2014,2.6,0.0, ,22.1,8.5,99,31,1.66,12.86
COOMA AIRPORT,02/04/2014,3.8,0.0, ,25.2,8.3,99,34,3.06,18.28
COOMA AIRPORT,03/04/2014,1.5,0.0, ,19.5,11.3,100,67,3.74,3.44
COOMA AIRPORT,04/04/2014,0.6,35.8, ,13.1,9.9,100,99,4.28,4.11
COOMA AIRPORT,05/04/2014,1.0,23.8, ,14.2,10.0,100,82,3.36,3.90
COOMA AIRPORT,06/04/2014,2.0,10.0, ,17.0,6.2,100,65,3.18,12.46
COOMA AIRPORT,07/04/2014,2.6,0.0, ,16.3,8.6,98,52,4.06,15.83
COOMA AIRPORT,08/04/2014,2.9,0.0, ,20.2,6.6,99,44,2.85,16.69
COOMA AIRPORT,09/04/2014,1.4,0.8, ,16.8,11.9,99,70,2.05,6.54
COOMA AIRPORT,10/04/2014,0.9,1.8, ,15.4,12.1,100,91,4.07,4.77
COOMA AIRPORT,11/04/2014,1.2,19.4, ,16.0,13.0,100,83,6.09,4.97
COOMA AIRPORT,12/04/2014,1.6,17.4, ,15.0,10.2,99,72,6.71,8.11
COOMA AIRPORT,13/04/2014,1.8,0.8, ,14.8,8.3,99,69,4.76,11.15
COOMA AIRPORT,14/04/2014,2.0,0.0, ,14.2,2.1,99,54,3.84,11.85
COOMA AIRPORT,15/04/2014,1.6,0.0, ,14.1,0.6,99,67,3.65,10.96
COOMA AIRPORT,16/04/2014,1.8,1.2, ,14.7,1.4,99,58,1.66,15.59
COOMA AIRPORT,17/04/2014,1.9,0.0, ,15.6,1.8,99,43,1.54,15.10
COOMA AIRPORT,18/04/2014,2.3,0.0, ,16.6,0.7,99,49,4.06,11.80
COOMA AIRPORT,19/04/2014,1.9,0.0, ,11.8,1.0,96,57,4.15,15.01
COOMA AIRPORT,20/04/2014,2.0,0.2, ,15.1,-1.8,99,50,2.60,14.36
COOMA AIRPORT,21/04/2014,1.9,0.0, ,15.7,-1.1,96,54,2.66,12.79
COOMA AIRPORT,22/04/2014,3.0,0.0, ,21.2,4.3,99,30,3.23,12.69
COOMA AIRPORT,23/04/2014,2.2,0.0, ,17.9,6.5,95,55,4.20,11.05
COOMA AIRPORT,24/04/2014,3.3,0.0, ,17.2,10.1,98,27,5.95,14.43
COOMA AIRPORT,25/04/2014,1.9,0.0, ,15.9,2.9,99,64,4.57,14.14
COOMA AIRPORT,26/04/2014,2.5,0.0, ,17.0,7.7,99,47,5.30,12.18
COOMA AIRPORT,27/04/2014,1.2,0.0, ,11.0,5.3,99,66,3.30,6.46
COOMA AIRPORT,28/04/2014,2.6,0.2, ,19.4,1.7,99,47,4.17,13.51
COOMA AIRPORT,29/04/2014,2.1,0.0, ,19.4,5.5,99,54,4.16,7.69
COOMA AIRPORT,30/04/2014,1.4,2.2, ,11.3,7.3,99,70,5.36,9.55
Totals:,,59.5,113.6, ,,,,,, 
