'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COOMA AIRPORT New South Wales for August 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 September 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COOMA AIRPORT,01/08/2016,1.6,0.2, ,12.7,-1.1,99,56,4.66,9.66
COOMA AIRPORT,02/08/2016,1.3,3.4, ,7.4,2.4,99,61,6.95,9.33
COOMA AIRPORT,03/08/2016,1.2,0.0, ,8.2,-1.1,99,66,7.21,8.71
COOMA AIRPORT,04/08/2016,1.0,1.6, ,8.3,0.7,99,69,4.16,7.98
COOMA AIRPORT,05/08/2016,1.2,0.2, ,9.6,-0.6,100,49,1.65,12.62
COOMA AIRPORT,06/08/2016,1.1,0.0, ,9.2,-0.2,99,55,1.82,10.58
COOMA AIRPORT,07/08/2016,1.1,0.0, ,8.6,1.0,99,54,1.86,8.38
COOMA AIRPORT,08/08/2016,1.8,0.0, ,13.2,-4.8,99,36,2.38,12.91
COOMA AIRPORT,09/08/2016,2.8,0.2, ,15.7,-3.0,99,25,4.74,10.33
COOMA AIRPORT,10/08/2016,2.9,0.0, ,13.1,5.0,80,34,6.81,13.39
COOMA AIRPORT,11/08/2016,2.4,0.0, ,11.3,0.2,87,29,4.48,13.55
COOMA AIRPORT,12/08/2016,2.2,0.0, ,11.3,-6.9,97,27,4.12,11.84
COOMA AIRPORT,13/08/2016,2.1,0.0, ,11.8,-2.4,89,42,4.34,13.80
COOMA AIRPORT,14/08/2016,1.9,0.0, ,13.7,-3.9,97,30,2.21,13.56
COOMA AIRPORT,15/08/2016,2.5,0.0, ,16.6,-5.5,99,28,2.92,14.08
COOMA AIRPORT,16/08/2016,2.9,0.0, ,16.3,-4.3,98,19,3.53,14.23
COOMA AIRPORT,17/08/2016,1.7,0.2, ,14.1,-1.3,95,53,3.87,5.63
COOMA AIRPORT,18/08/2016,2.4,0.2, ,16.3,-4.6,99,36,3.25,14.53
COOMA AIRPORT,19/08/2016,3.1,0.0, ,16.4,2.7,91,40,7.60,10.86
COOMA AIRPORT,20/08/2016,1.9,1.2, ,8.9,-0.4,94,49,5.11,14.27
COOMA AIRPORT,21/08/2016,2.0,0.0, ,11.2,-1.5,88,54,4.98,13.40
COOMA AIRPORT,22/08/2016,1.1,0.0, ,8.4,1.4,99,66,3.24,6.41
COOMA AIRPORT,23/08/2016,1.6,2.8, ,9.4,0.8,99,57,3.76,12.26
COOMA AIRPORT,24/08/2016,0.9,0.0, ,7.2,-2.6,99,75,1.69,7.94
COOMA AIRPORT,25/08/2016,1.7,2.6, ,8.6,-2.7,99,47,4.69,9.97
COOMA AIRPORT,26/08/2016,1.7,2.8, ,9.6,-1.3,99,49,2.92,12.97
COOMA AIRPORT,27/08/2016,2.7,0.0, ,13.3,-6.3,99,25,3.83,15.92
COOMA AIRPORT,28/08/2016,2.5,0.0, ,12.3,1.8,80,40,4.40,13.80
COOMA AIRPORT,29/08/2016,2.4,0.0, ,15.1,-5.0,96,36,2.82,15.19
COOMA AIRPORT,30/08/2016,2.6,0.0, ,16.4,1.9,99,37,4.47,9.56
COOMA AIRPORT,31/08/2016,2.8,0.0, ,16.2,7.6,85,51,6.01,13.35
Totals:,,61.1,15.4, ,,,,,, 
