'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONABARABRAN AIRPORT New South Wales for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONABARABRAN AIRPORT,01/05/2012,3.0,0.0, ,21.7,8.3,86,42,3.26,14.40
COONABARABRAN AIRPORT,02/05/2012,1.6,0.0, ,18.4,10.4,100,63,3.03,5.70
COONABARABRAN AIRPORT,03/05/2012,2.0,8.4, ,18.0,11.6,100,58,3.51,9.75
COONABARABRAN AIRPORT,04/05/2012,3.2,0.0, ,17.5,5.5,75,32,4.28,15.43
COONABARABRAN AIRPORT,05/05/2012,2.8,0.0, ,16.5,5.5,89,42,4.69,15.29
COONABARABRAN AIRPORT,06/05/2012,2.8,0.0, ,16.6,5.8,86,40,4.42,15.04
COONABARABRAN AIRPORT,07/05/2012,2.7,0.0, ,18.7,7.2,80,30,2.91,13.31
COONABARABRAN AIRPORT,08/05/2012,2.7,0.0, ,21.2,8.3,72,31,2.38,13.57
COONABARABRAN AIRPORT,09/05/2012,2.8,0.0, ,23.6,11.8,52,28,1.88,13.43
COONABARABRAN AIRPORT,10/05/2012,3.1,0.0, ,24.2,12.7,51,24,2.22,13.25
COONABARABRAN AIRPORT,11/05/2012,4.1,0.0, ,23.7,13.8,50,27,3.98,13.19
COONABARABRAN AIRPORT,12/05/2012,3.3,0.0, ,19.2,11.4,72,35,4.58,12.96
COONABARABRAN AIRPORT,13/05/2012,2.6,0.0, ,13.4,4.1,77,44,5.83,12.91
COONABARABRAN AIRPORT,14/05/2012,2.4,0.0, ,14.2,3.7,91,36,4.09,12.82
COONABARABRAN AIRPORT,15/05/2012,2.4,0.0, ,16.2,3.5,66,35,2.89,12.71
COONABARABRAN AIRPORT,16/05/2012,2.5,0.0, ,18.0,6.7,72,30,2.60,12.60
COONABARABRAN AIRPORT,17/05/2012,2.4,0.0, ,19.5,7.2,88,26,2.25,12.51
COONABARABRAN AIRPORT,18/05/2012,2.8,0.0, ,19.6,9.7,47,20,2.37,12.34
COONABARABRAN AIRPORT,19/05/2012,2.7,0.0, ,18.9,8.8,47,24,2.41,12.03
COONABARABRAN AIRPORT,20/05/2012,2.6,0.0, ,17.9,7.8,55,29,2.73,12.07
COONABARABRAN AIRPORT,21/05/2012,2.4,0.0, ,18.8,6.8,79,29,2.55,11.92
COONABARABRAN AIRPORT,22/05/2012,2.7,0.0, ,18.4,8.5,61,27,2.80,12.01
COONABARABRAN AIRPORT,23/05/2012,3.1,0.0, ,19.9,8.9,51,24,3.13,11.88
COONABARABRAN AIRPORT,24/05/2012,1.9,14.4, ,14.3,9.8,100,42,5.05,2.42
COONABARABRAN AIRPORT,25/05/2012,1.7,35.6, ,12.3,8.6,100,53,5.15,9.16
COONABARABRAN AIRPORT,26/05/2012,1.7,0.0, ,12.7,4.7,80,58,4.25,8.26
COONABARABRAN AIRPORT,27/05/2012,1.9,0.0, ,14.7,6.1,96,50,4.03,11.08
COONABARABRAN AIRPORT,28/05/2012,2.0,0.0, ,15.7,4.7,94,49,3.70,11.57
COONABARABRAN AIRPORT,29/05/2012,2.0,0.0, ,17.6,4.8,99,51,3.55,11.13
COONABARABRAN AIRPORT,30/05/2012,2.0,0.0, ,17.8,6.0,100,47,3.39,11.33
COONABARABRAN AIRPORT,31/05/2012,2.1,0.0, ,17.2,6.7,94,41,3.21,11.19
Totals:,,78,58.4, ,,,,,, 
