'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONABARABRAN AIRPORT New South Wales for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONABARABRAN AIRPORT,01/09/2014,3.5,0.0, ,19.6,9.8,70,29,2.84,18.11
COONABARABRAN AIRPORT,02/09/2014,2.6,1.4, ,13.0,8.7,99,42,7.27,11.97
COONABARABRAN AIRPORT,03/09/2014,3.5,0.8, ,13.5,3.0,89,30,6.79,19.73
COONABARABRAN AIRPORT,04/09/2014,3.2,0.0, ,15.2,3.6,78,32,3.57,18.84
COONABARABRAN AIRPORT,05/09/2014,3.2,0.0, ,15.6,5.1,83,35,3.95,18.79
COONABARABRAN AIRPORT,06/09/2014,2.9,0.0, ,16.5,4.0,98,46,4.75,17.45
COONABARABRAN AIRPORT,07/09/2014,3.6,0.0, ,18.0,6.2,87,35,4.11,19.34
COONABARABRAN AIRPORT,08/09/2014,3.7,0.0, ,19.0,6.9,88,37,4.24,19.31
COONABARABRAN AIRPORT,09/09/2014,4.1,0.0, ,21.1,10.2,88,47,7.39,17.94
COONABARABRAN AIRPORT,10/09/2014,3.7,3.6, ,18.5,11.7,88,45,5.84,18.29
COONABARABRAN AIRPORT,11/09/2014,4.1,0.0, ,19.4,7.8,76,36,4.46,20.60
COONABARABRAN AIRPORT,12/09/2014,3.9,0.0, ,20.5,8.6,78,36,3.44,20.66
COONABARABRAN AIRPORT,13/09/2014,3.8,0.0, ,21.5,7.6,93,30,3.28,18.78
COONABARABRAN AIRPORT,14/09/2014,4.3,0.0, ,22.0,9.1,82,26,3.46,20.87
COONABARABRAN AIRPORT,15/09/2014,4.4,0.0, ,23.4,11.2,57,23,2.59,20.92
COONABARABRAN AIRPORT,16/09/2014,4.7,0.0, ,19.5,13.1,72,30,5.36,20.49
COONABARABRAN AIRPORT,17/09/2014,3.9,0.0, ,17.2,8.4,73,36,5.30,17.76
COONABARABRAN AIRPORT,18/09/2014,4.5,0.0, ,16.3,6.2,63,24,5.27,22.16
COONABARABRAN AIRPORT,19/09/2014,3.7,0.0, ,15.9,4.8,69,26,3.82,18.56
COONABARABRAN AIRPORT,20/09/2014,4.3,0.0, ,19.1,5.4,69,18,3.35,22.59
COONABARABRAN AIRPORT,21/09/2014,4.1,0.0, ,19.3,5.2,84,27,3.95,19.65
COONABARABRAN AIRPORT,22/09/2014,4.0,0.0, ,20.3,7.8,86,31,3.53,20.10
COONABARABRAN AIRPORT,23/09/2014,4.4,0.0, ,21.9,8.8,77,24,3.25,20.80
COONABARABRAN AIRPORT,24/09/2014,4.7,0.0, ,22.5,10.5,90,37,5.57,20.55
COONABARABRAN AIRPORT,25/09/2014,1.9,10.2, ,16.8,12.6,100,70,6.21,7.38
COONABARABRAN AIRPORT,26/09/2014,3.7,2.6, ,19.6,10.3,100,43,4.34,19.87
COONABARABRAN AIRPORT,27/09/2014,4.1,0.0, ,19.4,7.6,79,38,4.05,21.60
COONABARABRAN AIRPORT,28/09/2014,4.4,0.0, ,22.4,9.2,69,34,2.91,21.81
COONABARABRAN AIRPORT,29/09/2014,5.2,0.0, ,25.2,11.5,63,29,3.50,22.18
COONABARABRAN AIRPORT,30/09/2014,6.7,0.0, ,27.1,16.3,50,24,6.01,16.54
Totals:,,118.8,18.6, ,,,,,, 
