'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONABARABRAN AIRPORT New South Wales for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONABARABRAN AIRPORT,01/03/2015,7.1,0.0, ,33.6,20.9,97,37,5.78,24.10
COONABARABRAN AIRPORT,02/03/2015,5.5,6.8, ,28.7,15.2,100,48,4.55,25.51
COONABARABRAN AIRPORT,03/03/2015,6.7,0.0, ,33.1,16.1,91,35,4.59,24.47
COONABARABRAN AIRPORT,04/03/2015,8.9,0.0, ,34.7,21.1,71,20,6.09,24.48
COONABARABRAN AIRPORT,05/03/2015,8.7,0.0, ,25.9,19.9,31,19,7.04,25.92
COONABARABRAN AIRPORT,06/03/2015,7.4,0.0, ,25.4,10.0,41,15,5.76,25.84
COONABARABRAN AIRPORT,07/03/2015,6.7,0.0, ,30.4,13.0,62,20,3.74,25.48
COONABARABRAN AIRPORT,08/03/2015,5.7,0.0, ,29.0,18.0,53,28,3.60,17.68
COONABARABRAN AIRPORT,09/03/2015,7.1,0.0, ,32.9,20.2,34,15,3.22,25.14
COONABARABRAN AIRPORT,10/03/2015,6.1,0.0, ,31.9,19.0,71,29,4.16,17.96
COONABARABRAN AIRPORT,11/03/2015,5.4,0.0, ,31.2,17.4,79,32,3.44,18.50
COONABARABRAN AIRPORT,12/03/2015,5.3,0.0, ,31.7,18.2,82,34,3.88,15.32
COONABARABRAN AIRPORT,13/03/2015,4.5,1.4, ,28.2,15.7,95,42,4.27,15.29
COONABARABRAN AIRPORT,14/03/2015,5.2,0.4, ,27.5,12.2,97,27,3.07,24.31
COONABARABRAN AIRPORT,15/03/2015,6.5,0.0, ,30.1,16.6,77,17,4.34,20.75
COONABARABRAN AIRPORT,16/03/2015,5.3,0.0, ,27.2,11.4,90,29,3.40,24.18
COONABARABRAN AIRPORT,17/03/2015,4.5,0.0, ,25.8,13.7,73,44,4.41,15.30
COONABARABRAN AIRPORT,18/03/2015,8.6,0.0, ,32.8,17.6,85,20,7.76,22.08
COONABARABRAN AIRPORT,19/03/2015,6.3,0.0, ,32.7,18.6,51,17,2.94,23.27
COONABARABRAN AIRPORT,20/03/2015,8.1,0.0, ,36.9,22.7,67,15,4.86,19.60
COONABARABRAN AIRPORT,21/03/2015,5.4,0.0, ,28.5,15.2,95,44,5.94,20.93
COONABARABRAN AIRPORT,22/03/2015,5.3,0.0, ,29.4,13.7,100,35,4.42,20.04
COONABARABRAN AIRPORT,23/03/2015,5.7,0.0, ,30.4,15.3,83,30,4.18,20.06
COONABARABRAN AIRPORT,24/03/2015,5.6,0.0, ,31.3,19.1,100,42,7.06,16.19
COONABARABRAN AIRPORT,25/03/2015,5.4,38.8, ,26.5,10.5,75,16,3.49,22.55
COONABARABRAN AIRPORT,26/03/2015,5.5,0.0, ,24.4,13.7,50,25,4.10,21.96
COONABARABRAN AIRPORT,27/03/2015,5.8,0.0, ,22.7,8.3,51,23,5.42,22.70
COONABARABRAN AIRPORT,28/03/2015,5.1,0.0, ,25.3,10.1,63,22,3.61,20.45
COONABARABRAN AIRPORT,29/03/2015,5.0,0.0, ,27.4,12.1,49,19,2.80,20.28
COONABARABRAN AIRPORT,30/03/2015,3.5,0.4, ,25.8,15.2,98,30,2.99,10.55
COONABARABRAN AIRPORT,31/03/2015,3.2,0.0, ,24.5,13.7,100,45,3.37,12.36
Totals:,,185.1,47.8, ,,,,,, 
