'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONABARABRAN AIRPORT New South Wales for November 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 December 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONABARABRAN AIRPORT,01/11/2016,5.1,0.0, ,19.0,5.8,68,31,4.41,27.72
COONABARABRAN AIRPORT,02/11/2016,5.4,0.0, ,20.6,9.3,60,35,3.62,28.48
COONABARABRAN AIRPORT,03/11/2016,5.6,0.0, ,23.1,11.4,61,32,2.96,28.43
COONABARABRAN AIRPORT,04/11/2016,6.3,0.0, ,25.1,12.3,58,24,3.49,28.71
COONABARABRAN AIRPORT,05/11/2016,7.1,0.0, ,20.8,15.0,48,22,6.35,28.46
COONABARABRAN AIRPORT,06/11/2016,6.5,0.0, ,21.9,10.3,49,23,5.03,28.88
COONABARABRAN AIRPORT,07/11/2016,6.8,0.0, ,27.9,13.0,53,20,3.30,28.98
COONABARABRAN AIRPORT,08/11/2016,6.9,0.0, ,30.1,17.3,70,31,4.95,22.27
COONABARABRAN AIRPORT,09/11/2016,3.0,3.2, ,22.0,16.5,96,48,3.92,9.20
COONABARABRAN AIRPORT,10/11/2016,5.5,7.2, ,26.0,11.9,95,35,2.81,27.59
COONABARABRAN AIRPORT,11/11/2016,6.3,0.0, ,28.8,17.3,60,37,3.66,24.34
COONABARABRAN AIRPORT,12/11/2016,6.4,5.0, ,29.5,16.8,95,44,5.58,26.12
COONABARABRAN AIRPORT,13/11/2016,7.1,0.2, ,24.2,16.5,86,23,6.72,29.44
COONABARABRAN AIRPORT,14/11/2016,3.3,0.0, ,16.6,9.7,84,59,6.33,15.79
COONABARABRAN AIRPORT,15/11/2016,5.2,0.4, ,21.4,9.3,86,27,3.89,25.35
COONABARABRAN AIRPORT,16/11/2016,6.3,0.4, ,25.8,11.6,62,31,3.29,29.75
COONABARABRAN AIRPORT,17/11/2016,6.1,0.0, ,26.6,11.0,92,29,3.13,29.67
COONABARABRAN AIRPORT,18/11/2016,7.2,0.0, ,30.0,13.9,60,23,3.38,29.74
COONABARABRAN AIRPORT,19/11/2016,7.2,0.0, ,30.9,17.9,53,22,3.40,26.45
COONABARABRAN AIRPORT,20/11/2016,7.6,0.0, ,31.2,16.3,73,27,4.55,27.34
COONABARABRAN AIRPORT,21/11/2016,8.4,0.0, ,30.7,18.8,53,20,4.67,29.38
COONABARABRAN AIRPORT,22/11/2016,8.2,0.0, ,31.1,18.6,40,18,3.94,29.18
COONABARABRAN AIRPORT,23/11/2016,8.6,0.0, ,30.6,18.9,74,22,6.96,25.91
COONABARABRAN AIRPORT,24/11/2016,6.7,0.0, ,23.0,7.7,70,22,5.88,29.36
COONABARABRAN AIRPORT,25/11/2016,6.6,0.0, ,24.0,10.4,50,23,4.66,26.04
COONABARABRAN AIRPORT,26/11/2016,7.7,0.0, ,28.2,11.6,51,16,4.22,29.89
COONABARABRAN AIRPORT,27/11/2016,7.6,0.0, ,29.9,14.9,33,14,3.22,29.83
COONABARABRAN AIRPORT,28/11/2016,7.6,0.0, ,30.4,15.4,83,15,3.89,29.48
COONABARABRAN AIRPORT,29/11/2016,8.6,0.0, ,30.8,16.8,63,14,5.06,28.37
COONABARABRAN AIRPORT,30/11/2016,8.2,0.0, ,32.1,14.6,81,15,4.54,27.99
Totals:,,199.1,16.4, ,,,,,, 
