'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COONAMBLE AIRPORT New South Wales for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COONAMBLE AIRPORT,01/12/2009,7.8,0.0, ,29.8,13.6,72,22,4.29,31.00
COONAMBLE AIRPORT,02/12/2009,8.5,0.0, ,29.7,12.0,68,14,4.61,33.32
COONAMBLE AIRPORT,03/12/2009,8.4,0.0, ,32.6,15.1,60,16,3.26,34.01
COONAMBLE AIRPORT,04/12/2009,10.3,0.0, ,37.8,14.4,54,9,4.22,32.96
COONAMBLE AIRPORT,05/12/2009,10.7,0.0, ,34.4,17.8,56,4,5.20,33.80
COONAMBLE AIRPORT,06/12/2009,10.1,0.0, ,35.7,17.5,24,7,3.85,34.29
COONAMBLE AIRPORT,07/12/2009,11.0,0.0, ,39.5,15.0,38,6,4.06,34.33
COONAMBLE AIRPORT,08/12/2009,15.4,0.0, ,42.1,18.6,40,5,8.04,31.18
COONAMBLE AIRPORT,09/12/2009,9.8,0.0, ,34.1,16.3,65,10,4.92,32.64
COONAMBLE AIRPORT,10/12/2009,6.8,0.0, ,31.6,18.3,53,15,4.20,13.42
COONAMBLE AIRPORT,11/12/2009,9.5,0.0, ,28.8,15.9,61,12,6.55,32.83
COONAMBLE AIRPORT,12/12/2009,9.9,0.0, ,32.7,12.2,32,7,4.86,32.77
COONAMBLE AIRPORT,13/12/2009,10.9,0.0, ,36.1,16.2,39,9,4.95,34.05
COONAMBLE AIRPORT,14/12/2009,9.6,0.0, ,37.9,20.5,56,11,3.67,31.38
COONAMBLE AIRPORT,15/12/2009,10.1,0.0, ,38.5,22.5,64,10,4.00,33.00
COONAMBLE AIRPORT,16/12/2009,11.3,0.0, ,39.2,24.0,57,13,5.08,33.41
COONAMBLE AIRPORT,17/12/2009,12.5,0.0, ,40.0,26.4,50,17,6.71,31.02
COONAMBLE AIRPORT,18/12/2009,4.4,0.4, ,27.0,22.7,97,45,4.99,13.88
COONAMBLE AIRPORT,19/12/2009,8.4,2.4, ,32.1,17.7,98,12,3.98,33.57
COONAMBLE AIRPORT,20/12/2009,9.4,0.0, ,35.9,15.2,57,13,3.92,32.78
COONAMBLE AIRPORT,21/12/2009,9.9,0.0, ,36.4,21.8,81,18,5.20,31.71
COONAMBLE AIRPORT,22/12/2009,9.1,5.8, ,33.9,18.5,93,28,6.28,32.31
COONAMBLE AIRPORT,23/12/2009,9.0,0.0, ,37.9,17.2,81,13,2.95,34.02
COONAMBLE AIRPORT,24/12/2009,10.6,0.0, ,37.1,22.5,58,23,6.44,27.31
COONAMBLE AIRPORT,25/12/2009,4.1,0.0, ,26.5,25.3,99,31,4.53,9.58
COONAMBLE AIRPORT,26/12/2009,1.7,74.6, ,23.5,21.0,99,97,4.78,9.71
COONAMBLE AIRPORT,27/12/2009,5.2,37.0, ,31.7,20.4,99,59,5.48,19.96
COONAMBLE AIRPORT,28/12/2009,3.0,34.4, ,25.9,21.1,99,90,4.18,16.81
COONAMBLE AIRPORT,29/12/2009,6.7,6.6, ,31.4,20.3,99,53,3.92,31.38
COONAMBLE AIRPORT,30/12/2009,4.3,0.0, ,26.9,20.7,88,62,4.86,16.56
COONAMBLE AIRPORT,31/12/2009,4.4,0.4, ,26.8,21.3,98,54,4.68,17.29
Totals:,,262.8,161.6, ,,,,,, 
