'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COORANBONG (LAKE MACQUARIE) New South Wales for November 2010,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 December 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COORANBONG (LAKE MACQUARIE),01/11/2010,2.5,1.8, ,21.7,17.0,95,68,1.08,12.60
COORANBONG (LAKE MACQUARIE),02/11/2010,3.3,38.8, ,19.9,13.3,95,47,1.83,17.72
COORANBONG (LAKE MACQUARIE),03/11/2010,4.4,0.0, ,24.0,7.3,97,39,1.13,27.73
COORANBONG (LAKE MACQUARIE),04/11/2010,3.0,13.8, ,19.5,14.1,95,61,1.69,17.08
COORANBONG (LAKE MACQUARIE),05/11/2010,2.5,65.4, ,17.9,12.4,95,71,1.38,14.79
COORANBONG (LAKE MACQUARIE),06/11/2010,2.9,26.2, ,19.2,13.2,95,72,0.96,17.62
COORANBONG (LAKE MACQUARIE),07/11/2010,4.1,3.8, ,21.8,8.4,97,65,1.13,27.39
COORANBONG (LAKE MACQUARIE),08/11/2010,5.8,0.0, ,30.8,12.7,96,36,1.72,29.66
COORANBONG (LAKE MACQUARIE),09/11/2010,4.2,17.4, ,25.2,17.1,94,60,1.12,23.36
COORANBONG (LAKE MACQUARIE),10/11/2010,4.3,0.2, ,27.3,16.2,96,54,1.27,22.14
COORANBONG (LAKE MACQUARIE),11/11/2010,4.7,22.4, ,27.4,17.1,96,61,1.04,25.81
COORANBONG (LAKE MACQUARIE),12/11/2010,5.6,0.0, ,28.9,14.8,96,52,1.30,30.93
COORANBONG (LAKE MACQUARIE),13/11/2010,5.7,0.0, ,32.9,16.0,96,44,1.54,27.71
COORANBONG (LAKE MACQUARIE),14/11/2010,5.8,0.0, ,32.4,20.8,93,42,1.35,27.80
COORANBONG (LAKE MACQUARIE),15/11/2010,3.0,0.0, ,28.7,19.5,95,55,0.56,13.91
COORANBONG (LAKE MACQUARIE),16/11/2010,3.9,49.4, ,23.6,18.0,95,64,1.27,21.49
COORANBONG (LAKE MACQUARIE),17/11/2010,3.1,1.0, ,21.6,16.7,94,63,0.93,17.03
COORANBONG (LAKE MACQUARIE),18/11/2010,3.2,0.0, ,22.9,13.8,96,62,0.61,18.27
COORANBONG (LAKE MACQUARIE),19/11/2010,2.6,0.0, ,19.6,15.3,96,66,1.60,13.30
COORANBONG (LAKE MACQUARIE),20/11/2010,4.5,3.2, ,22.6,10.7,96,55,1.02,28.11
COORANBONG (LAKE MACQUARIE),21/11/2010,4.9,0.0, ,23.3,9.9,96,54,1.69,31.23
COORANBONG (LAKE MACQUARIE),22/11/2010,4.8,0.0, ,24.3,10.7,97,55,1.69,29.43
COORANBONG (LAKE MACQUARIE),23/11/2010,4.9,0.0, ,24.3,11.4,96,59,1.85,29.44
COORANBONG (LAKE MACQUARIE),24/11/2010,5.4,0.0, ,26.1,11.8,96,54,1.82,32.10
COORANBONG (LAKE MACQUARIE),25/11/2010,5.8,0.0, ,28.0,13.2,96,46,1.52,32.27
COORANBONG (LAKE MACQUARIE),26/11/2010,5.3,0.0, ,29.5,12.7,96,51,1.06,29.35
COORANBONG (LAKE MACQUARIE),27/11/2010,5.2,0.0, ,27.6,15.2,95,57,1.59,27.96
COORANBONG (LAKE MACQUARIE),28/11/2010,3.8,0.0, ,27.5,16.6,93,46,0.84,18.88
COORANBONG (LAKE MACQUARIE),29/11/2010,3.7,0.0, ,25.3,17.5,93,65,1.31,18.77
COORANBONG (LAKE MACQUARIE),30/11/2010,3.2,0.8, ,24.0,17.4,91,71,1.81,15.87
Totals:,,126.1,244.2, ,,,,,, 
