'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COORANBONG (LAKE MACQUARIE) New South Wales for August 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COORANBONG (LAKE MACQUARIE),01/08/2013,1.3,0.4, ,19.1,3.8,99,53,0.47,14.32
COORANBONG (LAKE MACQUARIE),02/08/2013,1.5,0.0, ,21.3,3.0,99,34,0.61,13.93
COORANBONG (LAKE MACQUARIE),03/08/2013,2.2,0.0, ,19.3,4.2,96,33,1.62,16.35
COORANBONG (LAKE MACQUARIE),04/08/2013,2.2,0.0, ,19.4,5.3,90,29,1.69,16.07
COORANBONG (LAKE MACQUARIE),05/08/2013,1.9,0.0, ,19.3,2.0,97,37,1.09,16.68
COORANBONG (LAKE MACQUARIE),06/08/2013,2.4,0.0, ,23.3,2.7,98,27,1.69,15.25
COORANBONG (LAKE MACQUARIE),07/08/2013,1.6,0.0, ,18.8,8.3,95,50,0.83,14.11
COORANBONG (LAKE MACQUARIE),08/08/2013,1.6,11.4, ,14.0,8.3,97,50,2.12,9.58
COORANBONG (LAKE MACQUARIE),09/08/2013, ,2.0, ,18.7,8.4,74,34,1.70, 
COORANBONG (LAKE MACQUARIE),10/08/2013,2.7,0.0, ,23.5,11.0,95,29,1.54,17.50
COORANBONG (LAKE MACQUARIE),11/08/2013,2.0,0.0, ,22.7,2.5,97,27,0.54,17.86
COORANBONG (LAKE MACQUARIE),12/08/2013,3.6,0.0, ,27.3,6.0,98,22,2.66,13.20
COORANBONG (LAKE MACQUARIE),13/08/2013,2.7,0.0, ,21.9,2.5,92,24,1.58,18.43
COORANBONG (LAKE MACQUARIE),14/08/2013,2.4,0.0, ,22.6,4.2,95,21,1.11,17.71
COORANBONG (LAKE MACQUARIE),15/08/2013,2.8,0.0, ,18.3,4.2,94,24,2.23,18.84
COORANBONG (LAKE MACQUARIE),16/08/2013,2.3,0.0, ,20.2,0.0,97,30,0.97,19.04
COORANBONG (LAKE MACQUARIE),17/08/2013,2.9,0.0, ,23.4,5.2,97,30,1.87,18.21
COORANBONG (LAKE MACQUARIE),18/08/2013,2.7,0.0, ,22.5,2.9,93,25,1.25,19.38
COORANBONG (LAKE MACQUARIE),19/08/2013, ,0.0, , ,3.1,94,25,2.31,18.12
COORANBONG (LAKE MACQUARIE),20/08/2013, , , ,17.3, ,70,22,2.94,19.90
COORANBONG (LAKE MACQUARIE),21/08/2013,2.0,0.0, ,17.9,2.0,92,30,1.03,17.35
COORANBONG (LAKE MACQUARIE),22/08/2013,2.2,0.0, ,18.8,0.3,96,32,1.25,17.21
COORANBONG (LAKE MACQUARIE),23/08/2013,3.1,0.0, ,20.0,7.1,69,34,3.04,14.42
COORANBONG (LAKE MACQUARIE),24/08/2013,2.9,0.0, ,22.2,11.7,95,35,1.50,19.59
COORANBONG (LAKE MACQUARIE),25/08/2013,2.8,0.0, ,24.6,3.2,98,30,0.86,20.56
COORANBONG (LAKE MACQUARIE),26/08/2013, ,0.0, , ,3.3,98,40,0.48,20.32
COORANBONG (LAKE MACQUARIE),27/08/2013, , , , , ,98,36,0.55,20.72
COORANBONG (LAKE MACQUARIE),28/08/2013, , , , , ,98,33,0.81,20.72
COORANBONG (LAKE MACQUARIE),29/08/2013, , , , , ,98,55,1.10,19.88
COORANBONG (LAKE MACQUARIE),30/08/2013, , , , , ,94,25,1.27,21.03
COORANBONG (LAKE MACQUARIE),31/08/2013, , , , , ,95,25,0.62,17.85
Totals:,,51.8,13.8, ,,,,,, 
