'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COORANBONG (LAKE MACQUARIE) New South Wales for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COORANBONG (LAKE MACQUARIE),01/07/2016,1.8,0.0, ,16.7,6.8,79,33,2.09,11.38
COORANBONG (LAKE MACQUARIE),02/07/2016,1.2,0.0, ,17.9,4.9,94,32,0.86,11.51
COORANBONG (LAKE MACQUARIE),03/07/2016,0.9,0.0, ,17.4,-0.4,97,37,0.53,11.54
COORANBONG (LAKE MACQUARIE),04/07/2016,0.9,0.0, ,18.2,-1.3,97,37,0.44,10.24
COORANBONG (LAKE MACQUARIE),05/07/2016,1.3,3.0, ,19.0,5.9,98,51,1.39,9.14
COORANBONG (LAKE MACQUARIE),06/07/2016,2.3,0.0, ,16.6,8.9,68,45,3.71,11.26
COORANBONG (LAKE MACQUARIE),07/07/2016,1.4,3.8, ,17.0,12.6,92,58,2.07,7.59
COORANBONG (LAKE MACQUARIE),08/07/2016,0.8,5.6, ,16.5,12.2,97,77,0.54,4.86
COORANBONG (LAKE MACQUARIE),09/07/2016,1.1,6.6, ,18.1,8.1,97,60,0.69,10.96
COORANBONG (LAKE MACQUARIE),10/07/2016,0.9,0.0, ,19.1,5.0,99,62,0.35,9.07
COORANBONG (LAKE MACQUARIE),11/07/2016,1.6,0.0, ,23.8,8.4,99,36,1.15,10.85
COORANBONG (LAKE MACQUARIE),12/07/2016,2.8,0.0, ,20.6,11.9,85,25,3.45,10.57
COORANBONG (LAKE MACQUARIE),13/07/2016,3.0,0.0, ,15.7,10.6,60,19,3.86,12.04
COORANBONG (LAKE MACQUARIE),14/07/2016,1.4,0.0, ,16.8,-0.8,93,23,1.18,11.96
COORANBONG (LAKE MACQUARIE),15/07/2016,1.2,0.0, ,17.4,-1.4,94,32,0.47,14.90
COORANBONG (LAKE MACQUARIE),16/07/2016,0.8,0.0, ,17.8,1.6,97,58,0.31,7.88
COORANBONG (LAKE MACQUARIE),17/07/2016,0.9,2.2, ,19.1,8.6,99,72,0.29,7.88
COORANBONG (LAKE MACQUARIE),18/07/2016,1.4,0.2, ,24.6,5.9,99,49,0.58,12.36
COORANBONG (LAKE MACQUARIE),19/07/2016,1.4,0.0, ,25.3,9.5,99,51,0.58,10.87
COORANBONG (LAKE MACQUARIE),20/07/2016,0.7,17.4, ,18.4,14.9,99,89,0.34,3.58
COORANBONG (LAKE MACQUARIE),21/07/2016,1.1,13.4, ,20.5,14.1,98,72,0.54,7.47
COORANBONG (LAKE MACQUARIE),22/07/2016,2.4,0.2, ,25.4,8.0,99,51,2.74,12.00
COORANBONG (LAKE MACQUARIE),23/07/2016,3.2,2.4, ,17.9,15.9,81,25,4.49,12.80
COORANBONG (LAKE MACQUARIE),24/07/2016,1.1,0.0, ,13.3,1.2,94,38,1.02,7.32
COORANBONG (LAKE MACQUARIE),25/07/2016,2.2,0.0, ,18.1,1.8,95,26,2.35,12.98
COORANBONG (LAKE MACQUARIE),26/07/2016,1.7,0.0, ,19.3,2.7,95,37,1.29,12.97
COORANBONG (LAKE MACQUARIE),27/07/2016,2.3,0.0, ,19.2,5.9,94,27,2.48,12.79
COORANBONG (LAKE MACQUARIE),28/07/2016,1.6,0.0, ,19.5,3.6,93,33,0.98,13.27
COORANBONG (LAKE MACQUARIE),29/07/2016,1.4,0.0, ,18.9,-0.3,97,32,0.81,13.35
COORANBONG (LAKE MACQUARIE),30/07/2016,1.2,0.0, ,20.2,1.1,98,41,0.34,12.48
COORANBONG (LAKE MACQUARIE),31/07/2016,1.4,0.0, ,21.3,3.1,99,33,0.56,11.83
Totals:,,47.4,54.8, ,,,,,, 
