'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COWRA AIRPORT New South Wales for January 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 February 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COWRA AIRPORT,01/01/2011,7.6,0.0, ,35.9,16.4,92,31,1.98,33.96
COWRA AIRPORT,02/01/2011,7.0,0.0, ,34.9,19.7,86,32,2.70,27.70
COWRA AIRPORT,03/01/2011,5.0,0.0, ,28.2,17.8,90,49,2.70,21.94
COWRA AIRPORT,04/01/2011,7.1,4.4, ,29.8,15.6,85,32,2.96,33.70
COWRA AIRPORT,05/01/2011,7.0,0.0, ,30.7,15.8,88,26,2.61,32.09
COWRA AIRPORT,06/01/2011,6.9,0.0, ,29.0,16.1,85,38,3.30,32.91
COWRA AIRPORT,07/01/2011,6.1,0.0, ,29.7,13.6,80,40,2.89,27.24
COWRA AIRPORT,08/01/2011,7.2,0.0, ,31.3,16.9,82,31,2.64,32.76
COWRA AIRPORT,09/01/2011,5.7,0.0, ,31.3,16.6,85,51,3.79,22.51
COWRA AIRPORT,10/01/2011,6.2,1.0, ,31.2,18.3,87,44,4.18,24.00
COWRA AIRPORT,11/01/2011,5.4,3.6, ,31.1,19.4,94,51,4.12,20.51
COWRA AIRPORT,12/01/2011,6.6,0.0, ,32.1,21.1,75,49,4.31,24.91
COWRA AIRPORT,13/01/2011,5.9,0.0, ,31.2,23.0,81,51,4.27,21.32
COWRA AIRPORT,14/01/2011,6.1,0.0, ,29.4,21.3,71,48,5.08,20.23
COWRA AIRPORT,15/01/2011,4.5,0.0, ,29.3,21.2,89,58,2.48,18.70
COWRA AIRPORT,16/01/2011,7.2,0.0, ,34.2,20.9,90,29,2.06,31.82
COWRA AIRPORT,17/01/2011,8.8,0.0, ,33.1,18.8,90,21,4.51,33.77
COWRA AIRPORT,18/01/2011,6.6,0.0, ,29.7,8.5,88,23,1.86,34.39
COWRA AIRPORT,19/01/2011,7.0,0.0, ,31.5,13.5,88,23,2.15,33.59
COWRA AIRPORT,20/01/2011,7.6,0.0, ,32.9,17.1,85,28,3.24,32.12
COWRA AIRPORT,21/01/2011,7.1,0.0, ,33.7,17.0,79,28,2.08,32.01
COWRA AIRPORT,22/01/2011,6.8,0.0, ,34.8,17.2,91,26,2.65,26.53
COWRA AIRPORT,23/01/2011,6.8,7.4, ,33.0,17.4,96,34,2.55,30.09
COWRA AIRPORT,24/01/2011,7.8,0.2, ,34.2,20.7,77,27,4.95,22.63
COWRA AIRPORT,25/01/2011,7.2,0.0, ,35.0,15.0,85,20,1.96,32.16
COWRA AIRPORT,26/01/2011,8.4,0.0, ,41.4,17.5,87,20,3.22,25.70
COWRA AIRPORT,27/01/2011,8.5,0.0, ,36.6,18.3,85,13,3.06,32.51
COWRA AIRPORT,28/01/2011,8.1,0.0, ,34.4,10.5,79,17,2.96,33.28
COWRA AIRPORT,29/01/2011,7.3,0.0, ,33.1,13.4,84,19,2.32,33.01
COWRA AIRPORT,30/01/2011,7.1,0.0, ,35.0,14.5,85,23,1.98,32.24
COWRA AIRPORT,31/01/2011,7.3,0.0, ,38.5,15.5,81,18,1.64,31.99
Totals:,,213.9,16.6, ,,,,,, 
