'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COWRA AIRPORT New South Wales for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COWRA AIRPORT,01/08/2011,2.5,0.0,1.6,21.4,-0.1,99,30,2.43,13.24
COWRA AIRPORT,02/08/2011,1.9,0.0,1.6,20.7,-0.9,98,34,1.70,9.90
COWRA AIRPORT,03/08/2011,2.9,0.0,2.0,24.5,5.5,86,28,2.42,12.43
COWRA AIRPORT,04/08/2011, ,0.0,3.6,24.1,1.8,95,29,1.90, 
COWRA AIRPORT,05/08/2011,3.2,0.0,3.6,24.1,-0.7,99,33,3.35,11.77
COWRA AIRPORT,06/08/2011,1.5,0.0,3.4,17.6,7.2,97,57,2.50,4.34
COWRA AIRPORT,07/08/2011,1.8,10.8,1.8,17.1,4.1,99,34,1.73,11.68
COWRA AIRPORT,08/08/2011,1.3,1.2,1.3,13.2,3.6,99,61,2.62,8.34
COWRA AIRPORT,09/08/2011,1.3,0.6,1.4,11.8,5.4,99,51,2.09,5.60
COWRA AIRPORT,10/08/2011,1.6,1.6,0.4,13.8,3.3,99,52,2.73,8.96
COWRA AIRPORT,11/08/2011,1.2,0.0,1.2,12.3,6.2,94,69,2.59,7.40
COWRA AIRPORT,12/08/2011,2.4,0.2,0.8,17.2,5.7,91,39,2.92,13.84
COWRA AIRPORT,13/08/2011,1.6,0.0,3.2,16.1,-1.2,99,43,1.50,10.54
COWRA AIRPORT,14/08/2011,1.9,0.0,1.6,17.8,4.1,94,41,1.68,13.35
COWRA AIRPORT,15/08/2011,1.8,0.0,2.8,17.8,-0.3,99,39,1.61,11.38
COWRA AIRPORT,16/08/2011,2.3,0.0,0.8,19.8,7.2,88,36,1.75,13.66
COWRA AIRPORT,17/08/2011,1.1,0.8,2.0,14.5,7.9,99,69,2.63,2.99
COWRA AIRPORT,18/08/2011,1.5,34.0,9.4,12.5,8.0,98,69,5.02,8.07
COWRA AIRPORT,19/08/2011,1.9,2.4,1.4,16.0,5.7,99,56,3.27,11.04
COWRA AIRPORT,20/08/2011,2.7,0.2,1.4,18.1,6.5,90,47,4.47,13.95
COWRA AIRPORT,21/08/2011,3.0,0.0,3.6,17.8,5.0,91,35,4.01,16.80
COWRA AIRPORT,22/08/2011,2.7,0.0,3.8,18.4,2.0,92,42,3.12,16.91
COWRA AIRPORT,23/08/2011,2.5,0.0,3.2,18.3,2.6,93,41,2.37,17.10
COWRA AIRPORT,24/08/2011,2.1,0.0,2.8,20.0,-0.2,99,51,1.15,17.33
COWRA AIRPORT,25/08/2011,2.5,0.0,2.2,20.6,1.0,99,42,1.73,17.63
COWRA AIRPORT,26/08/2011,2.8,0.0,3.2,23.1,1.6,97,31,1.69,17.51
COWRA AIRPORT,27/08/2011,2.6,0.0,2.2,21.4,1.7,95,38,1.97,15.16
COWRA AIRPORT,28/08/2011,2.5,0.0,3.8,20.2,3.7,93,42,1.61,17.00
COWRA AIRPORT,29/08/2011,2.5,0.0,2.2,19.8,1.7,99,36,1.67,17.97
COWRA AIRPORT,30/08/2011,2.6,0.0,3.2,17.3,3.8,98,43,2.52,18.10
COWRA AIRPORT,31/08/2011,2.3,0.0,3.6,18.5,-0.7,97,42,1.33,18.70
Totals:,,64.5,51.8,79.1,,,,,, 
