'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COWRA AIRPORT New South Wales for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COWRA AIRPORT,01/11/2012,4.9,0.0,8.0,25.8,10.3,87,29,3.95,16.41
COWRA AIRPORT,02/11/2012,5.4,0.0,3.4,23.9,1.2,85,24,2.83,29.89
COWRA AIRPORT,03/11/2012,4.5,0.0,7.2,23.4,6.6,84,37,2.90,22.04
COWRA AIRPORT,04/11/2012,5.4,0.0,3.6,29.1,9.2,87,28,1.55,28.93
COWRA AIRPORT,05/11/2012,6.5,0.0,6.8,33.2,7.9,90,24,2.33,28.30
COWRA AIRPORT,06/11/2012,4.3,0.0,7.6,28.9,15.7,97,33,2.26,16.41
COWRA AIRPORT,07/11/2012,2.7,9.8,0.0,21.6,16.9,99,80,2.29,15.00
COWRA AIRPORT,08/11/2012,5.2,6.4,0.2,26.1,13.7,99,35,2.03,27.26
COWRA AIRPORT,09/11/2012,6.3,0.2,7.2,25.2,13.4,95,21,3.77,29.93
COWRA AIRPORT,10/11/2012,5.7,0.0,7.2,25.3,5.3,86,20,2.32,30.96
COWRA AIRPORT,11/11/2012,6.3,0.0,8.0,25.8,7.1,84,19,3.31,31.21
COWRA AIRPORT,12/11/2012,6.9,0.0,7.6,29.7,7.1,88,23,3.25,31.30
COWRA AIRPORT,13/11/2012,7.5,0.0,7.2,31.0,11.3,82,11,3.34,30.92
COWRA AIRPORT,14/11/2012,6.5,0.0,10.8,27.1,10.8,85,21,3.07,31.12
COWRA AIRPORT,15/11/2012,6.3,0.0,7.6,29.8,7.3,84,14,2.20,29.43
COWRA AIRPORT,16/11/2012,4.4,0.0,6.8,22.7,14.7,78,32,2.30,19.58
COWRA AIRPORT,17/11/2012,5.9,0.0,2.0,26.4,6.0,93,24,2.52,30.96
COWRA AIRPORT,18/11/2012,7.5,0.0,6.8,26.7,10.5,86,15,5.06,31.85
COWRA AIRPORT,19/11/2012,6.3,0.0,10.4,24.5,5.3,82,30,4.93,30.96
COWRA AIRPORT,20/11/2012,7.2,0.0,9.0,27.9,11.7,78,25,4.21,32.21
COWRA AIRPORT,21/11/2012,7.7,0.0,9.6,31.5,11.5,74,19,3.69,30.80
COWRA AIRPORT,22/11/2012,7.5,0.0,7.6,30.3,12.7,79,15,3.20,32.31
COWRA AIRPORT,23/11/2012,7.0,0.0,8.2,31.6,9.7,82,13,2.31,32.42
COWRA AIRPORT,24/11/2012,6.7,0.0,8.0,33.1,11.6,79,23,1.97,31.12
COWRA AIRPORT,25/11/2012,7.3,0.0,8.2,36.4,11.5,81,19,1.98,31.54
COWRA AIRPORT,26/11/2012,8.6,0.0,8.4,36.8,16.0,72,17,4.12,25.77
COWRA AIRPORT,27/11/2012,5.8,0.0,11.6,33.1,17.0,96,36,3.56,19.63
COWRA AIRPORT,28/11/2012, ,6.2,3.0, ,16.3,92,29,2.79,29.12
COWRA AIRPORT,29/11/2012, , ,8.4,37.7, ,87,26,2.69,32.98
COWRA AIRPORT,30/11/2012,8.3,0.2,8.8,39.3,23.6,80,21,3.87,23.75
Totals:,,174.6,22.8,209.2,,,,,, 
