'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COWRA AIRPORT New South Wales for August 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COWRA AIRPORT,01/08/2013,1.5,0.0,2.8,16.5,1.1,99,45,1.02,15.16
COWRA AIRPORT,02/08/2013,1.8,0.0,2.2,16.6,1.7,99,50,2.77,12.90
COWRA AIRPORT,03/08/2013,1.7,0.0,2.0,13.0,2.3,99,51,3.06,12.93
COWRA AIRPORT,04/08/2013,2.0,0.0,1.2,14.6,6.2,92,51,3.93,12.99
COWRA AIRPORT,05/08/2013, ,0.0,2.4, ,1.3,99,57,2.90,10.68
COWRA AIRPORT,06/08/2013, , ,2.2, , ,99,70,3.50,5.05
COWRA AIRPORT,07/08/2013, , ,1.0, , ,100,69,1.60,9.71
COWRA AIRPORT,08/08/2013, , ,1.6, , ,99,65,4.08,10.58
COWRA AIRPORT,09/08/2013, , ,1.8,11.0,-0.4,99,69,1.18, 
COWRA AIRPORT,10/08/2013, , ,1.2, , ,98,51,1.41,16.98
COWRA AIRPORT,11/08/2013, , ,1.6, , ,99,57,1.33,14.08
COWRA AIRPORT,12/08/2013, , ,1.4, , ,100,53,3.48,7.04
COWRA AIRPORT,13/08/2013, , ,1.0, , ,95,52,2.84,17.11
COWRA AIRPORT,14/08/2013, , ,2.0,18.2, ,99,40,3.66,17.49
COWRA AIRPORT,15/08/2013,2.0,1.0,3.4,13.7,3.0,98,57,2.88,17.55
COWRA AIRPORT,16/08/2013,2.7,0.0,2.0,17.3,-1.8,99,36,2.90,18.32
COWRA AIRPORT,17/08/2013,2.3,3.4,3.4,16.7,5.3,94,47,2.60,16.59
COWRA AIRPORT,18/08/2013,2.6,0.0,2.6,17.5,1.2,99,43,3.23,18.25
COWRA AIRPORT,19/08/2013,2.0,0.8,3.8,13.0,0.2,88,55,4.64,10.27
COWRA AIRPORT,20/08/2013,1.9,1.8,1.6,9.9,2.0,90,57,4.25,16.61
COWRA AIRPORT,21/08/2013,1.5,0.0,1.6,11.9,0.2,95,62,2.79,10.54
COWRA AIRPORT,22/08/2013,2.0,0.0,2.6,14.0,3.9,93,57,4.36,12.01
COWRA AIRPORT,23/08/2013,1.4,0.8,1.2,13.3,5.2,96,76,5.17,10.09
COWRA AIRPORT,24/08/2013,1.9,0.2,1.2,14.5,9.4,94,64,3.39,12.25
COWRA AIRPORT,25/08/2013,2.1,0.0,2.4,15.4,8.8,95,62,2.40,17.48
COWRA AIRPORT,26/08/2013,2.0,0.0,2.8,16.7,0.4,99,52,1.35,18.27
COWRA AIRPORT,27/08/2013,2.3,0.0,2.6,20.0,4.4,99,44,0.78,19.58
COWRA AIRPORT,28/08/2013,2.7,0.0,1.6,22.3,1.7,100,38,1.18,19.87
COWRA AIRPORT,29/08/2013,3.4,0.0,3.2,23.0,8.3,83,41,3.54,14.37
COWRA AIRPORT,30/08/2013,3.6,0.0,3.8,21.5,12.6,94,42,3.52,20.36
COWRA AIRPORT,31/08/2013,2.6,0.0,4.2,20.9,3.5,99,44,1.84,17.47
Totals:,,46,8,68.4,,,,,, 
