'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COWRA AIRPORT New South Wales for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COWRA AIRPORT,01/05/2016,3.3,5.2, ,23.4,14.8,100,39,4.70,12.68
COWRA AIRPORT,02/05/2016,1.8,0.4,4.4,17.9,6.0,98,44,1.28,15.06
COWRA AIRPORT,03/05/2016,2.8,0.0,3.0,21.2,5.1,99,42,3.54,15.08
COWRA AIRPORT,04/05/2016,2.6,0.0,3.0,19.6,11.2,85,40,3.03,14.40
COWRA AIRPORT,05/05/2016,1.9,0.0,2.8,20.4,5.1,95,45,1.26,15.09
COWRA AIRPORT,06/05/2016,2.0,0.0,2.6,23.4,5.8,99,38,1.24,14.90
COWRA AIRPORT,07/05/2016,2.0,0.0,2.0,22.6,6.6,99,48,1.67,12.16
COWRA AIRPORT,08/05/2016,1.0,0.2,1.4,18.6,13.4,100,76,1.84,3.68
COWRA AIRPORT,09/05/2016,1.3,28.2, ,18.0,15.4,100,74,5.58,3.57
COWRA AIRPORT,10/05/2016,1.5,12.0,0.6,16.8,13.2,93,73,5.17,5.35
COWRA AIRPORT,11/05/2016,1.8,1.2,1.6,15.4,5.7,99,55,4.36,9.50
COWRA AIRPORT,12/05/2016,1.4,0.2,1.8,16.4,10.4,99,74,4.22,8.17
COWRA AIRPORT,13/05/2016,1.9,0.0,2.0,19.9,9.7,99,55,2.19,14.13
COWRA AIRPORT,14/05/2016,1.5,0.0,2.4,21.2,6.3,99,54,0.85,14.23
COWRA AIRPORT,15/05/2016,1.9,0.2,1.0,22.1,7.1,99,56,2.12,13.90
COWRA AIRPORT,16/05/2016,1.6,0.2,2.2,20.6,4.8,99,52,1.46,11.46
COWRA AIRPORT,17/05/2016,1.8,0.0,1.4,22.3,8.3,98,52,1.83,12.47
COWRA AIRPORT,18/05/2016, ,0.2,2.4, ,4.7, , , ,10.37
COWRA AIRPORT,19/05/2016, ,0.0,1.2,18.5, ,99,46,1.65,12.28
COWRA AIRPORT,20/05/2016,1.4,0.0,2.2,17.4,8.0,99,61,2.24,9.45
COWRA AIRPORT,21/05/2016,1.3,0.2,2.0,19.3,4.4,100,57,1.21,11.29
COWRA AIRPORT,22/05/2016,1.6,0.0,0.8,23.6,4.9,100,52,1.30,11.92
COWRA AIRPORT,23/05/2016,2.1,0.2,2.0,17.7,9.1,100,40,3.52,8.97
COWRA AIRPORT,24/05/2016,1.6,0.4,2.6,15.4,5.3,90,53,2.90,10.01
COWRA AIRPORT,25/05/2016,1.1,0.0,2.4,14.4,1.2,100,63,1.38,10.53
COWRA AIRPORT,26/05/2016,1.0,7.4,1.0,12.8,6.8,100,75,4.29,4.72
COWRA AIRPORT,27/05/2016,1.6,6.4,0.8,13.3,6.0,97,57,4.81,8.98
COWRA AIRPORT,28/05/2016,1.1,3.8, ,12.5,6.1,99,70,3.26,6.93
COWRA AIRPORT,29/05/2016,1.2,1.8, ,12.2,5.7,99,62,2.63,11.46
COWRA AIRPORT,30/05/2016,1.1,0.0,1.8,12.9,3.0,97,58,1.55,11.52
COWRA AIRPORT,31/05/2016,1.5,0.2,1.8,16.9,1.6,99,56,2.50,11.35
Totals:,,48.7,68.4,53.2,,,,,, 
