'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DENILIQUIN AIRPORT New South Wales for February 2011,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 March 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DENILIQUIN AIRPORT,01/02/2011,12.4,0.0, ,41.1,24.1,61,16,6.33,32.10
DENILIQUIN AIRPORT,02/02/2011,5.9,0.0, ,34.3,20.4,93,44,4.73,17.69
DENILIQUIN AIRPORT,03/02/2011,7.1,0.0, ,37.9,21.0,100,39,3.66,24.73
DENILIQUIN AIRPORT,04/02/2011,4.1,7.8, ,31.6,23.1,100,65,3.33,16.37
DENILIQUIN AIRPORT,05/02/2011,1.4,24.0, ,23.1,22.0,100,99,4.82,8.05
DENILIQUIN AIRPORT,06/02/2011,5.8,18.2, ,21.5,12.5,100,38,7.53,32.25
DENILIQUIN AIRPORT,07/02/2011,6.2,0.0, ,24.6,9.1,96,33,4.46,32.23
DENILIQUIN AIRPORT,08/02/2011,6.3,0.0, ,26.3,12.4,99,38,4.78,31.68
DENILIQUIN AIRPORT,09/02/2011,6.3,0.0, ,30.5,12.5,99,44,3.97,29.21
DENILIQUIN AIRPORT,10/02/2011,7.3,0.0, ,34.7,19.5,83,46,5.51,25.37
DENILIQUIN AIRPORT,11/02/2011,3.6,0.2, ,30.8,23.5,100,67,5.07,12.58
DENILIQUIN AIRPORT,12/02/2011,5.3,8.4, ,24.8,14.5,99,53,5.95,28.51
DENILIQUIN AIRPORT,13/02/2011,6.0,0.0, ,25.4,10.4,95,44,5.59,31.43
DENILIQUIN AIRPORT,14/02/2011,6.1,0.0, ,30.1,12.4,100,48,4.00,29.95
DENILIQUIN AIRPORT,15/02/2011,7.0,0.0, ,30.5,18.0,79,42,5.25,28.12
DENILIQUIN AIRPORT,16/02/2011,3.1,0.0, ,24.1,19.4,100,65,4.89,12.89
DENILIQUIN AIRPORT,17/02/2011,4.9,0.0, ,29.4,17.7,100,49,2.74,23.12
DENILIQUIN AIRPORT,18/02/2011,5.3,0.0, ,31.4,17.6,100,46,3.84,21.04
DENILIQUIN AIRPORT,19/02/2011,5.2,9.6, ,27.9,22.2,100,55,5.93,23.30
DENILIQUIN AIRPORT,20/02/2011,5.9,1.4, ,26.6,15.4,100,44,6.27,27.73
DENILIQUIN AIRPORT,21/02/2011,4.8,0.0, ,21.8,7.6,97,46,6.75,26.09
DENILIQUIN AIRPORT,22/02/2011,5.8,0.0, ,25.0,10.1,91,40,5.00,29.51
DENILIQUIN AIRPORT,23/02/2011,5.9,0.0, ,29.1,10.7,100,35,3.05,29.31
DENILIQUIN AIRPORT,24/02/2011,6.0,0.0, ,31.7,10.5,100,26,2.27,28.71
DENILIQUIN AIRPORT,25/02/2011,6.2,0.0, ,32.9,16.2,79,28,2.72,25.40
DENILIQUIN AIRPORT,26/02/2011,6.0,0.0, ,32.8,16.0,93,32,2.63,26.27
DENILIQUIN AIRPORT,27/02/2011,4.3,2.0, ,29.0,20.4,100,55,2.70,19.86
DENILIQUIN AIRPORT,28/02/2011,6.4,0.2, ,33.2,17.5,100,40,4.48,24.33
Totals:,,160.6,71.8, ,,,,,, 
