'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DENILIQUIN AIRPORT New South Wales for April 2013,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 May 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DENILIQUIN AIRPORT,01/04/2013,3.8,0.0, ,23.1,8.3,90,35,3.13,19.90
DENILIQUIN AIRPORT,02/04/2013,4.4,0.0, ,25.2,10.0,82,36,4.22,17.13
DENILIQUIN AIRPORT,03/04/2013,4.9,0.0, ,22.5,8.9,84,26,5.17,21.50
DENILIQUIN AIRPORT,04/04/2013,4.7,0.0, ,26.4,7.6,79,32,3.82,20.56
DENILIQUIN AIRPORT,05/04/2013,4.9,0.0, ,27.4,11.8,83,30,4.03,19.94
DENILIQUIN AIRPORT,06/04/2013,5.0,0.0, ,28.5,13.7,73,24,3.48,18.53
DENILIQUIN AIRPORT,07/04/2013,4.2,0.0, ,28.5,12.3,74,25,2.75,14.57
DENILIQUIN AIRPORT,08/04/2013,4.9,0.2, ,29.4,15.5,71,21,3.20,17.11
DENILIQUIN AIRPORT,09/04/2013,4.7,0.4, ,27.7,16.2,72,25,3.47,17.14
DENILIQUIN AIRPORT,10/04/2013,4.5,0.0, ,29.6,12.2,74,19,2.60,18.80
DENILIQUIN AIRPORT,11/04/2013,4.7,0.0, ,28.9,13.2,64,21,2.97,18.39
DENILIQUIN AIRPORT,12/04/2013,5.1,0.0, ,30.7,12.7,86,18,3.28,18.74
DENILIQUIN AIRPORT,13/04/2013,5.3,0.0, ,29.4,16.6,46,19,3.84,11.19
DENILIQUIN AIRPORT,14/04/2013,4.8,0.0, ,30.8,15.0,86,17,3.62,9.56
DENILIQUIN AIRPORT,15/04/2013,3.9,0.8, ,22.1,11.4,95,33,4.89,17.97
DENILIQUIN AIRPORT,16/04/2013,3.6,0.0, ,22.3,8.2,87,34,3.61,17.66
DENILIQUIN AIRPORT,17/04/2013,3.4,0.0, ,21.4,6.6,84,30,3.31,16.88
DENILIQUIN AIRPORT,18/04/2013,4.1,0.0, ,22.0,7.2,89,39,6.23,17.43
DENILIQUIN AIRPORT,19/04/2013,4.4,0.0, ,18.7,5.2,75,24,6.33,18.39
DENILIQUIN AIRPORT,20/04/2013,3.3,0.0, ,21.1,2.9,84,25,2.92,17.50
DENILIQUIN AIRPORT,21/04/2013,3.9,0.0, ,22.4,5.3,83,30,4.67,14.55
DENILIQUIN AIRPORT,22/04/2013,2.9,0.4, ,20.0,10.0,93,41,4.19,11.52
DENILIQUIN AIRPORT,23/04/2013,3.7,0.0, ,20.6,11.9,92,31,5.15,16.85
DENILIQUIN AIRPORT,24/04/2013,3.1,0.0, ,19.8,7.0,68,30,3.42,11.49
DENILIQUIN AIRPORT,25/04/2013,3.5,0.0, ,22.3,8.7,85,35,4.09,14.66
DENILIQUIN AIRPORT,26/04/2013,3.3,0.0, ,23.3,9.0,85,39,3.66,14.63
DENILIQUIN AIRPORT,27/04/2013,4.2,0.0, ,26.1,8.2,86,26,3.99,15.87
DENILIQUIN AIRPORT,28/04/2013,4.4,0.0, ,24.4,16.1,71,23,4.74,10.39
DENILIQUIN AIRPORT,29/04/2013,1.4,0.0, ,16.6,10.6,93,57,1.97,5.55
DENILIQUIN AIRPORT,30/04/2013,2.1,0.8, ,18.7,6.5,98,35,2.35,9.76
Totals:,,121.1,2.6, ,,,,,, 
