'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DENILIQUIN AIRPORT New South Wales for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DENILIQUIN AIRPORT,01/10/2013,5.2,4.2, ,18.4,11.4,98,16,8.16,21.87
DENILIQUIN AIRPORT,02/10/2013,5.1,0.0, ,21.4,5.3,94,30,7.21,22.00
DENILIQUIN AIRPORT,03/10/2013,4.4,4.8, ,17.5,4.4,94,33,6.23,26.15
DENILIQUIN AIRPORT,04/10/2013,4.4,0.0, ,21.9,1.3,99,23,1.86,28.64
DENILIQUIN AIRPORT,05/10/2013,6.7,0.0, ,27.9,8.1,73,14,4.52,25.25
DENILIQUIN AIRPORT,06/10/2013,4.6,0.0, ,21.7,6.2,89,35,5.26,21.39
DENILIQUIN AIRPORT,07/10/2013,5.2,0.0, ,21.4,3.6,100,27,4.25,29.30
DENILIQUIN AIRPORT,08/10/2013,5.4,0.0, ,23.2,7.0,95,25,3.32,29.59
DENILIQUIN AIRPORT,09/10/2013,9.4,0.0, ,32.3,7.5,83,7,5.65,29.65
DENILIQUIN AIRPORT,10/10/2013,9.5,0.0, ,32.4,17.2,94,7,8.35,21.47
DENILIQUIN AIRPORT,11/10/2013,5.1,0.6, ,21.6,4.7,100,28,3.29,30.26
DENILIQUIN AIRPORT,12/10/2013,6.7,0.0, ,27.9,4.5,90,12,3.18,30.74
DENILIQUIN AIRPORT,13/10/2013,5.8,0.0, ,21.0,7.1,65,29,8.37,19.13
DENILIQUIN AIRPORT,14/10/2013,4.4,0.2, ,18.0,3.7,89,30,5.71,21.84
DENILIQUIN AIRPORT,15/10/2013,5.4,0.0, ,22.4,1.4,95,23,3.12,31.49
DENILIQUIN AIRPORT,16/10/2013,10.0,0.0, ,28.9,8.7,50,5,7.76,29.27
DENILIQUIN AIRPORT,17/10/2013,6.6,0.0, ,18.3,13.2,81,8,9.00,27.49
DENILIQUIN AIRPORT,18/10/2013,5.6,0.2, ,23.5,0.8,91,11,2.46,31.81
DENILIQUIN AIRPORT,19/10/2013,8.6,0.0, ,29.4,5.9,58,5,4.57,32.28
DENILIQUIN AIRPORT,20/10/2013,10.6,0.0, ,35.3,12.7,43,6,5.33,30.93
DENILIQUIN AIRPORT,21/10/2013,7.5,0.0, ,30.3,21.3,47,17,5.14,15.52
DENILIQUIN AIRPORT,22/10/2013,3.8,0.0, ,26.8,16.0,96,46,4.47,10.75
DENILIQUIN AIRPORT,23/10/2013,4.7,0.6, ,21.2,12.9,88,43,7.99,17.98
DENILIQUIN AIRPORT,24/10/2013,5.8,0.2, ,18.2,6.8,74,22,6.89,29.70
DENILIQUIN AIRPORT,25/10/2013,5.0,0.0, ,19.8,1.5,91,27,4.45,29.14
DENILIQUIN AIRPORT,26/10/2013,5.6,0.0, ,21.7,3.1,92,22,3.73,31.11
DENILIQUIN AIRPORT,27/10/2013,4.0,0.0, ,21.7,3.5,87,24,2.39,18.75
DENILIQUIN AIRPORT,28/10/2013,9.1,1.2, ,31.5,11.5,88,9,6.77,25.32
DENILIQUIN AIRPORT,29/10/2013,7.2,0.0, ,21.9,11.8,76,26,10.35,30.51
DENILIQUIN AIRPORT,30/10/2013,6.6,0.0, ,24.5,3.9,91,20,4.61,32.00
DENILIQUIN AIRPORT,31/10/2013,6.9,0.0, ,25.3,4.5,87,20,4.85,31.94
Totals:,,194.9,12, ,,,,,, 
