'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DENILIQUIN AIRPORT New South Wales for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DENILIQUIN AIRPORT,01/07/2016,1.3,5.8, ,12.7,6.6,96,69,5.81,8.74
DENILIQUIN AIRPORT,02/07/2016,1.6,0.0, ,14.3,7.6,100,47,3.87,8.88
DENILIQUIN AIRPORT,03/07/2016,1.1,0.0, ,13.9,9.8,100,59,2.52,5.95
DENILIQUIN AIRPORT,04/07/2016,1.0,0.0, ,10.8,8.7,96,72,3.70,5.72
DENILIQUIN AIRPORT,05/07/2016,1.3,0.4, ,12.3,6.3,100,58,4.35,5.71
DENILIQUIN AIRPORT,06/07/2016,1.6,0.6, ,15.3,7.8,97,68,8.55,10.18
DENILIQUIN AIRPORT,07/07/2016,1.6,0.4, ,14.4,9.9,100,44,3.78,6.97
DENILIQUIN AIRPORT,08/07/2016,1.3,9.4, ,15.0,10.3,100,45,2.05,6.06
DENILIQUIN AIRPORT,09/07/2016,1.0,0.2, ,10.1,3.1,100,51,1.99,7.24
DENILIQUIN AIRPORT,10/07/2016,1.6,0.0, ,12.2,4.1,100,47,4.50,2.91
DENILIQUIN AIRPORT,11/07/2016,2.0,8.8, ,15.3,9.5,99,54,6.79,10.88
DENILIQUIN AIRPORT,12/07/2016,2.7,0.0, ,12.7,7.2,78,47,9.14,9.28
DENILIQUIN AIRPORT,13/07/2016,1.7,0.2, ,10.7,3.4,88,59,6.88,10.81
DENILIQUIN AIRPORT,14/07/2016,1.3,0.0, ,12.2,2.1,100,61,3.84,10.07
DENILIQUIN AIRPORT,15/07/2016,1.2,0.2, ,11.7,2.6,100,58,3.26,10.72
DENILIQUIN AIRPORT,16/07/2016,1.1,0.2, ,13.4,1.8,100,60,2.08,11.20
DENILIQUIN AIRPORT,17/07/2016,1.4,0.0, ,16.3,0.9,100,59,2.83,11.28
DENILIQUIN AIRPORT,18/07/2016,1.9,0.2, ,15.7,4.6,100,39,3.44,5.78
DENILIQUIN AIRPORT,19/07/2016,1.3,0.2, ,16.0,6.8,100,41,1.57,8.45
DENILIQUIN AIRPORT,20/07/2016,1.6,0.0, ,16.9,8.8,100,42,2.18,9.27
DENILIQUIN AIRPORT,21/07/2016,1.9,2.2, ,17.4,6.8,100,38,2.79,9.47
DENILIQUIN AIRPORT,22/07/2016,3.0,2.8, ,17.3,10.4,100,32,7.27,2.88
DENILIQUIN AIRPORT,23/07/2016,2.3,5.4, ,11.2,6.9,86,46,7.67,11.78
DENILIQUIN AIRPORT,24/07/2016,1.4,0.0, ,12.8,1.2,96,63,4.56,9.68
DENILIQUIN AIRPORT,25/07/2016,1.8,1.6, ,13.5,6.1,100,55,6.61,9.96
DENILIQUIN AIRPORT,26/07/2016,1.4,0.8, ,11.8,4.1,98,62,4.88,10.49
DENILIQUIN AIRPORT,27/07/2016,1.2,2.2, ,12.8,6.3,100,73,5.92,8.44
DENILIQUIN AIRPORT,28/07/2016,1.5,0.2, ,12.4,6.4,100,51,3.87,7.67
DENILIQUIN AIRPORT,29/07/2016,1.2,0.4, ,12.2,8.8,97,66,3.67,7.31
DENILIQUIN AIRPORT,30/07/2016,1.5,0.0, ,13.9,8.3,93,69,4.31,10.68
DENILIQUIN AIRPORT,31/07/2016,1.8,0.8, ,17.8,9.7,95,62,3.70,12.36
Totals:,,48.6,43, ,,,,,, 
