'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for April 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/04/2010,4.3,1.2, ,26.3,12.5,100,35,2.92,21.32
DUBBO AIRPORT,02/04/2010,4.7,0.0, ,26.8,11.7,97,35,3.39,22.85
DUBBO AIRPORT,03/04/2010,5.0,0.0, ,25.9,13.7,86,39,4.71,22.32
DUBBO AIRPORT,04/04/2010,4.8,0.0, ,24.4,11.8,92,40,5.46,22.39
DUBBO AIRPORT,05/04/2010,4.8,0.0, ,25.1,11.4,90,37,4.66,22.08
DUBBO AIRPORT,06/04/2010,2.1,0.0, ,19.9,15.6,98,71,4.46,9.80
DUBBO AIRPORT,07/04/2010,2.4,33.8, ,22.3,16.5,99,73,5.45,11.87
DUBBO AIRPORT,08/04/2010,4.0,0.6, ,24.9,19.1,100,48,4.55,19.67
DUBBO AIRPORT,09/04/2010,3.2,0.2, ,24.2,10.0,99,44,1.70,20.07
DUBBO AIRPORT,10/04/2010,3.3,0.0, ,25.5,14.0,98,49,2.22,18.36
DUBBO AIRPORT,11/04/2010,3.6,0.0, ,23.5,15.3,99,48,3.59,19.30
DUBBO AIRPORT,12/04/2010,3.7,0.0, ,18.9,6.8,88,31,3.71,20.88
DUBBO AIRPORT,13/04/2010,3.9,0.0, ,22.1,3.8,98,30,3.25,21.57
DUBBO AIRPORT,14/04/2010,4.3,0.0, ,24.8,8.0,92,31,3.41,21.27
DUBBO AIRPORT,15/04/2010,4.2,0.0, ,25.6,8.3,96,26,2.92,20.89
DUBBO AIRPORT,16/04/2010,4.6,0.0, ,25.2,11.7,85,35,4.49,20.43
DUBBO AIRPORT,17/04/2010,4.3,0.0, ,25.5,12.2,94,39,4.15,20.10
DUBBO AIRPORT,18/04/2010,4.2,0.0, ,26.3,13.4,94,41,4.04,19.66
DUBBO AIRPORT,19/04/2010,4.2,0.0, ,27.0,15.9,92,42,4.12,18.01
DUBBO AIRPORT,20/04/2010,4.3,0.0, ,26.3,14.3,93,36,4.08,19.45
DUBBO AIRPORT,21/04/2010,3.6,0.0, ,26.4,13.0,93,43,3.06,18.32
DUBBO AIRPORT,22/04/2010,3.7,0.0, ,27.5,11.3,98,40,2.64,19.10
DUBBO AIRPORT,23/04/2010,3.9,0.0, ,28.5,11.6,98,33,2.70,18.55
DUBBO AIRPORT,24/04/2010,3.5,0.0, ,27.0,13.9,95,45,3.96,11.83
DUBBO AIRPORT,25/04/2010,2.7,26.2, ,20.0,13.5,99,49,4.28,11.98
DUBBO AIRPORT,26/04/2010,2.9,0.2, ,20.5,4.8,99,36,2.27,19.27
DUBBO AIRPORT,27/04/2010,2.3,0.0, ,18.3,5.6,99,42,2.43,14.25
DUBBO AIRPORT,28/04/2010,2.8,0.0, ,21.4,4.7,99,41,2.26,18.64
DUBBO AIRPORT,29/04/2010,2.8,0.0, ,20.6,5.1,99,44,2.64,18.54
DUBBO AIRPORT,30/04/2010,2.8,0.0, ,21.4,4.8,99,42,2.25,18.45
Totals:,,110.9,62.2, ,,,,,, 
