'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for September 2010,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 October 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/09/2010,3.4,0.0, ,22.9,4.3,99,47,4.54,15.65
DUBBO AIRPORT,02/09/2010,4.2,0.4, ,26.4,13.2,96,38,3.90,18.32
DUBBO AIRPORT,03/09/2010,2.7,0.0, ,19.4,13.2,99,62,7.72,11.71
DUBBO AIRPORT,04/09/2010,1.2,18.0, ,17.5,13.3,100,84,8.96,4.23
DUBBO AIRPORT,05/09/2010,2.4,8.6, ,15.6,9.6,95,59,5.21,14.21
DUBBO AIRPORT,06/09/2010,2.4,0.0, ,16.4,4.3,99,49,2.47,15.87
DUBBO AIRPORT,07/09/2010,2.5,0.2, ,14.9,3.2,99,46,2.57,19.58
DUBBO AIRPORT,08/09/2010,3.5,0.2, ,18.5,3.2,96,35,3.94,21.22
DUBBO AIRPORT,09/09/2010,1.4,0.0, ,15.1,7.8,99,72,3.68,5.77
DUBBO AIRPORT,10/09/2010,3.3,9.0, ,20.8,11.0,100,53,5.01,18.39
DUBBO AIRPORT,11/09/2010,3.1,0.6, ,18.0,3.0,99,42,2.99,21.50
DUBBO AIRPORT,12/09/2010,3.2,0.0, ,19.1,2.6,99,38,2.87,20.28
DUBBO AIRPORT,13/09/2010,3.4,0.0, ,20.9,10.5,95,43,2.91,19.59
DUBBO AIRPORT,14/09/2010,2.8,9.0, ,23.0,12.0,99,58,3.42,12.81
DUBBO AIRPORT,15/09/2010,2.1,5.8, ,15.9,9.7,99,47,5.49,2.03
DUBBO AIRPORT,16/09/2010,2.5,0.0, ,15.1,3.9,96,54,4.93,14.43
DUBBO AIRPORT,17/09/2010, ,0.0, ,14.4,3.2,95,47,4.16, 
DUBBO AIRPORT,18/09/2010,2.8,0.0, ,16.2,0.7,99,52,3.42,21.18
DUBBO AIRPORT,19/09/2010,2.0,0.0, ,14.6,4.3,99,59,2.40,13.48
DUBBO AIRPORT,20/09/2010,3.8,0.0, ,19.9,3.7,99,36,3.23,23.22
DUBBO AIRPORT,21/09/2010,4.4,0.0, ,23.1,7.7,96,41,4.23,23.30
DUBBO AIRPORT,22/09/2010,4.3,0.0, ,23.7,9.6,97,46,4.19,23.54
DUBBO AIRPORT,23/09/2010,4.1,0.0, ,22.3,6.0,99,34,3.00,23.82
DUBBO AIRPORT,24/09/2010,3.7,0.0, ,21.8,3.1,99,44,2.45,23.75
DUBBO AIRPORT,25/09/2010,4.0,0.0, ,22.7,3.5,99,36,2.85,23.10
DUBBO AIRPORT,26/09/2010,4.5,0.0, ,24.7,5.9,99,27,2.59,24.42
DUBBO AIRPORT,27/09/2010,5.2,0.0, ,25.5,7.0,95,33,4.44,23.82
DUBBO AIRPORT,28/09/2010,4.3,0.0, ,22.2,5.2,99,33,3.08,24.32
DUBBO AIRPORT,29/09/2010,3.7,0.0, ,15.9,2.2,98,33,4.36,24.29
DUBBO AIRPORT,30/09/2010,3.8,0.0, ,17.4,-0.2,94,33,3.29,25.81
Totals:,,94.7,51.8, ,,,,,, 
