'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for August 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 September 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/08/2012,1.9,0.0, ,14.9,-1.5,97,41,2.71,11.92
DUBBO AIRPORT,02/08/2012,1.5,0.0, ,15.3,-3.2,99,34,1.14,13.32
DUBBO AIRPORT,03/08/2012,2.0,0.2, ,17.1,0.4,96,30,1.91,13.11
DUBBO AIRPORT,04/08/2012,2.1,0.0, ,18.6,-2.9,99,31,1.87,13.56
DUBBO AIRPORT,05/08/2012,2.8,0.0, ,20.3,-1.3,99,27,2.90,13.41
DUBBO AIRPORT,06/08/2012,2.3,0.0, ,15.3,2.9,90,40,3.25,13.87
DUBBO AIRPORT,07/08/2012,1.6,0.0, ,15.3,-4.0,99,39,1.32,14.02
DUBBO AIRPORT,08/08/2012,2.1,0.0, ,17.7,-2.7,98,35,1.91,13.90
DUBBO AIRPORT,09/08/2012,2.5,0.2, ,16.2,3.0,89,38,4.03,9.41
DUBBO AIRPORT,10/08/2012,2.6,1.0, ,13.8,3.4,90,43,5.58,14.41
DUBBO AIRPORT,11/08/2012,2.3,0.0, ,17.1,-1.9,99,37,2.69,14.60
DUBBO AIRPORT,12/08/2012,2.7,0.0, ,16.5,2.6,88,39,4.14,14.70
DUBBO AIRPORT,13/08/2012,2.5,0.0, ,17.6,0.3,95,38,2.92,14.86
DUBBO AIRPORT,14/08/2012,2.5,0.0, ,19.7,-0.6,99,31,2.24,14.10
DUBBO AIRPORT,15/08/2012,3.6,0.0, ,22.0,3.6,81,22,3.42,12.84
DUBBO AIRPORT,16/08/2012,2.1,0.0, ,16.9,-0.4,99,39,2.10,14.52
DUBBO AIRPORT,17/08/2012,3.2,0.0, ,16.1,2.2,83,34,5.56,11.83
DUBBO AIRPORT,18/08/2012,1.8,0.0, ,11.8,5.5,99,56,5.58,7.94
DUBBO AIRPORT,19/08/2012,2.1,0.2, ,15.3,0.8,99,39,2.22,15.29
DUBBO AIRPORT,20/08/2012,2.3,0.0, ,15.4,-2.0,99,34,2.35,15.72
DUBBO AIRPORT,21/08/2012,3.4,0.0, ,21.9,0.9,93,27,3.17,16.03
DUBBO AIRPORT,22/08/2012,4.1,0.0, ,24.1,4.1,97,37,5.47,14.03
DUBBO AIRPORT,23/08/2012,3.0,0.0, ,21.6,14.4,99,50,7.50,6.66
DUBBO AIRPORT,24/08/2012,3.1,8.2, ,16.7,2.1,92,32,4.12,16.59
DUBBO AIRPORT,25/08/2012,2.7,0.0, ,17.0,7.1,85,39,2.92,15.34
DUBBO AIRPORT,26/08/2012,2.2,0.0, ,16.0,0.5,99,43,2.68,12.89
DUBBO AIRPORT,27/08/2012,3.1,0.0, ,18.7,-1.1,99,28,3.09,17.13
DUBBO AIRPORT,28/08/2012,3.3,0.0, ,20.2,1.3,95,32,3.20,17.12
DUBBO AIRPORT,29/08/2012,4.5,0.0, ,23.7,0.9,95,27,4.97,15.73
DUBBO AIRPORT,30/08/2012,3.4,0.0, ,17.1,5.6,81,33,4.57,16.55
DUBBO AIRPORT,31/08/2012,3.0,0.0, ,15.3,-0.2,94,33,4.32,17.53
Totals:,,82.3,9.8, ,,,,,, 
