'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/09/2012,2.5,0.0, ,15.9,-2.0,99,34,2.15,17.22
DUBBO AIRPORT,02/09/2012,3.4,0.0, ,18.8,-2.3,98,23,3.20,18.41
DUBBO AIRPORT,03/09/2012,3.6,0.0, ,21.9,-2.5,96,19,2.58,18.32
DUBBO AIRPORT,04/09/2012,3.8,0.0, ,23.1,0.5,95,17,2.49,18.58
DUBBO AIRPORT,05/09/2012,6.8,0.0, ,25.7,2.0,81,22,8.64,18.64
DUBBO AIRPORT,06/09/2012,4.7,0.4, ,23.7,9.4,72,17,3.72,18.79
DUBBO AIRPORT,07/09/2012,3.8,0.0, ,18.4,4.6,66,31,4.72,13.93
DUBBO AIRPORT,08/09/2012,3.3,0.0, ,18.4,1.6,90,40,4.47,16.64
DUBBO AIRPORT,09/09/2012,3.5,0.0, ,19.4,7.2,89,38,3.52,19.35
DUBBO AIRPORT,10/09/2012,3.9,0.0, ,23.6,1.1,99,29,2.83,19.55
DUBBO AIRPORT,11/09/2012,4.1,0.0, ,23.8,3.0,93,24,2.89,19.75
DUBBO AIRPORT,12/09/2012,5.3,0.0, ,26.2,5.5,88,17,4.04,19.92
DUBBO AIRPORT,13/09/2012,2.8,0.0, ,17.7,8.4,91,43,5.15,7.01
DUBBO AIRPORT,14/09/2012,3.7,1.6, ,18.1,-0.9,97,24,3.72,20.51
DUBBO AIRPORT,15/09/2012,3.6,0.0, ,21.4,-0.3,95,28,2.44,20.61
DUBBO AIRPORT,16/09/2012,4.4,0.0, ,23.0,6.6,94,31,4.35,20.06
DUBBO AIRPORT,17/09/2012,4.1,0.0, ,23.8,5.4,96,27,2.92,20.23
DUBBO AIRPORT,18/09/2012,3.8,0.0, ,22.1,6.1,96,36,4.72,13.15
DUBBO AIRPORT,19/09/2012,3.7,2.8, ,21.7,2.3,100,33,2.70,20.59
DUBBO AIRPORT,20/09/2012,5.8,0.0, ,28.4,7.0,91,22,4.25,21.53
DUBBO AIRPORT,21/09/2012,5.2,0.0, ,26.8,11.7,88,29,4.36,20.05
DUBBO AIRPORT,22/09/2012,4.4,0.0, ,24.7,3.0,98,20,2.54,21.96
DUBBO AIRPORT,23/09/2012,6.2,0.0, ,28.5,4.3,91,18,4.38,22.21
DUBBO AIRPORT,24/09/2012,4.5,0.0, ,20.4,4.3,81,26,4.14,21.66
DUBBO AIRPORT,25/09/2012,5.1,0.0, ,23.5,1.6,90,21,4.05,22.61
DUBBO AIRPORT,26/09/2012,5.2,0.0, ,25.5,8.5,91,26,4.19,22.11
DUBBO AIRPORT,27/09/2012,5.8,0.0, ,28.4,7.9,84,32,4.69,21.98
DUBBO AIRPORT,28/09/2012,5.7,0.0, ,29.0,13.7,100,34,6.85,15.25
DUBBO AIRPORT,29/09/2012,3.8,26.8, ,19.0,12.9,100,39,6.36,16.34
DUBBO AIRPORT,30/09/2012,3.8,0.0, ,17.8,0.9,96,31,3.46,23.65
Totals:,,130.3,31.6, ,,,,,, 
