'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/11/2013,7.2,0.0, ,30.5,12.9,77,20,3.29,30.75
DUBBO AIRPORT,02/11/2013,8.3,0.0, ,33.4,10.6,66,9,3.51,31.58
DUBBO AIRPORT,03/11/2013,9.6,0.0, ,32.9,9.6,58,9,6.07,23.99
DUBBO AIRPORT,04/11/2013,8.0,0.0, ,25.1,7.4,57,10,5.40,33.19
DUBBO AIRPORT,05/11/2013,7.8,0.0, ,26.6,7.6,78,20,6.26,32.10
DUBBO AIRPORT,06/11/2013,7.9,0.0, ,30.0,11.7,70,23,4.42,32.19
DUBBO AIRPORT,07/11/2013,8.3,0.0, ,33.8,13.0,69,19,3.91,30.96
DUBBO AIRPORT,08/11/2013,11.4,0.0, ,37.4,18.6,77,14,7.78,27.23
DUBBO AIRPORT,09/11/2013,7.1,1.8, ,25.8,14.9,80,24,4.58,31.98
DUBBO AIRPORT,10/11/2013,6.8,0.0, ,27.6,9.9,71,30,5.18,26.33
DUBBO AIRPORT,11/11/2013,7.6,0.0, ,29.0,13.7,74,23,6.57,22.37
DUBBO AIRPORT,12/11/2013,7.4,0.0, ,27.7,14.7,86,12,4.68,28.36
DUBBO AIRPORT,13/11/2013,7.6,0.0, ,28.4,5.8,72,13,3.89,33.07
DUBBO AIRPORT,14/11/2013,7.7,0.0, ,27.8,8.4,81,13,4.12,33.96
DUBBO AIRPORT,15/11/2013,8.5,0.0, ,29.5,10.3,64,12,4.55,33.16
DUBBO AIRPORT,16/11/2013,6.1,0.0, ,25.5,11.7,82,30,5.38,23.42
DUBBO AIRPORT,17/11/2013,6.1,0.0, ,25.7,9.5,93,30,5.32,25.34
DUBBO AIRPORT,18/11/2013,6.4,0.0, ,27.7,11.6,86,26,4.38,25.15
DUBBO AIRPORT,19/11/2013,7.5,0.2, ,30.9,10.1,87,20,3.66,31.07
DUBBO AIRPORT,20/11/2013,8.5,0.0, ,33.8,14.6,85,14,3.73,32.83
DUBBO AIRPORT,21/11/2013,9.9,0.0, ,37.5,18.5,82,14,5.89,24.55
DUBBO AIRPORT,22/11/2013,9.3,0.8, ,33.9,19.3,76,22,6.61,26.89
DUBBO AIRPORT,23/11/2013,9.0,0.2, ,31.1,13.0,67,12,5.21,31.34
DUBBO AIRPORT,24/11/2013,7.5,0.0, ,27.7,9.0,66,21,4.51,31.96
DUBBO AIRPORT,25/11/2013,7.8,0.0, ,29.7,7.8,74,19,4.32,32.05
DUBBO AIRPORT,26/11/2013,9.4,0.0, ,30.1,10.7,66,10,5.48,34.81
DUBBO AIRPORT,27/11/2013,8.7,0.0, ,32.1,13.1,75,10,3.82,34.28
DUBBO AIRPORT,28/11/2013,10.8,0.0, ,36.9,13.2,59,12,5.36,32.85
DUBBO AIRPORT,29/11/2013,4.2,0.0, ,24.2,21.2,76,21,4.36,4.85
DUBBO AIRPORT,30/11/2013,8.2,0.0, ,29.2,10.4,87,21,5.50,33.21
Totals:,,240.6,3, ,,,,,, 
