'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for DUBBO AIRPORT New South Wales for January 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
DUBBO AIRPORT,01/01/2014,9.8,0.0, ,35.8,17.3,75,14,4.52,33.67
DUBBO AIRPORT,02/01/2014,9.6,0.0, ,38.8,22.6,51,10,4.30,24.64
DUBBO AIRPORT,03/01/2014,14.1,0.0, ,43.1,25.2,53,11,7.26,30.54
DUBBO AIRPORT,04/01/2014,10.1,0.0, ,29.6,18.0,45,14,6.42,34.15
DUBBO AIRPORT,05/01/2014,9.1,0.0, ,33.3,11.2,60,11,4.07,33.49
DUBBO AIRPORT,06/01/2014,9.7,0.0, ,28.3,17.4,49,13,6.21,34.59
DUBBO AIRPORT,07/01/2014,9.3,0.0, ,31.8,11.7,64,17,5.52,32.97
DUBBO AIRPORT,08/01/2014,9.8,0.0, ,32.3,17.1,68,30,8.72,29.48
DUBBO AIRPORT,09/01/2014,2.3,6.2, ,20.1,14.6,100,57,6.29,3.03
DUBBO AIRPORT,10/01/2014,6.4,19.0, ,29.2,15.2,90,40,4.60,26.04
DUBBO AIRPORT,11/01/2014,7.3,0.2, ,32.9,16.8,96,26,3.09,30.89
DUBBO AIRPORT,12/01/2014,8.8,0.0, ,36.6,18.7,79,22,3.84,31.30
DUBBO AIRPORT,13/01/2014,9.4,0.0, ,34.9,20.1,73,28,5.65,31.52
DUBBO AIRPORT,14/01/2014,9.6,0.0, ,35.4,18.2,79,18,5.16,31.97
DUBBO AIRPORT,15/01/2014,8.7,0.0, ,36.4,19.5,73,21,3.54,31.93
DUBBO AIRPORT,16/01/2014,8.9,0.0, ,37.4,21.1,54,19,3.26,31.88
DUBBO AIRPORT,17/01/2014,9.7,0.0, ,38.1,22.9,56,15,3.83,31.77
DUBBO AIRPORT,18/01/2014,9.6,0.0, ,39.0,20.1,70,14,3.79,31.75
DUBBO AIRPORT,19/01/2014,10.1,0.0, ,40.0,21.5,53,14,4.24,28.97
DUBBO AIRPORT,20/01/2014,10.9,0.0, ,38.7,21.2,71,14,5.59,30.93
DUBBO AIRPORT,21/01/2014,10.1,0.0, ,36.9,19.4,83,11,5.00,31.64
DUBBO AIRPORT,22/01/2014,9.5,0.0, ,33.8,19.7,70,24,7.42,24.73
DUBBO AIRPORT,23/01/2014,9.4,0.0, ,35.0,18.8,85,27,7.04,27.95
DUBBO AIRPORT,24/01/2014,3.2,12.6, ,27.2,19.6,99,54,4.91,6.82
DUBBO AIRPORT,25/01/2014,7.9,11.6, ,30.4,16.3,98,20,4.74,31.87
DUBBO AIRPORT,26/01/2014,8.7,0.2, ,29.7,15.9,73,29,7.41,31.29
DUBBO AIRPORT,27/01/2014,8.1,0.0, ,31.4,15.1,76,28,4.93,31.26
DUBBO AIRPORT,28/01/2014,7.9,0.0, ,33.8,17.4,79,24,3.53,31.09
DUBBO AIRPORT,29/01/2014,8.8,0.0, ,36.4,17.4,67,20,3.75,31.16
DUBBO AIRPORT,30/01/2014,9.5,0.0, ,37.0,17.9,51,10,3.91,31.56
DUBBO AIRPORT,31/01/2014,8.8,0.0, ,37.7,17.7,65,14,3.34,31.18
Totals:,,275.1,49.8, ,,,,,, 
