'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EVANS HEAD RAAF BOMBING RANGE New South Wales for December 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 January 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EVANS HEAD RAAF BOMBING RANGE,01/12/2014,6.2,0.0, ,28.9,16.8,97,49,5.19,27.84
EVANS HEAD RAAF BOMBING RANGE,02/12/2014,4.9,0.0, ,28.3,20.2,86,53,5.32,16.52
EVANS HEAD RAAF BOMBING RANGE,03/12/2014,6.2,0.0, ,29.8,17.7,98,55,5.52,28.44
EVANS HEAD RAAF BOMBING RANGE,04/12/2014,6.0,0.0, ,31.8,20.1,100,55,4.92,24.88
EVANS HEAD RAAF BOMBING RANGE,05/12/2014,1.0,27.6, ,25.4,18.5,100,97,3.43,3.96
EVANS HEAD RAAF BOMBING RANGE,06/12/2014,3.3,1.4, ,27.7,20.5,100,71,3.89,14.29
EVANS HEAD RAAF BOMBING RANGE,07/12/2014,5.2,1.4, ,29.6,20.0,100,64,4.08,24.78
EVANS HEAD RAAF BOMBING RANGE,08/12/2014,5.5,0.8, ,35.4,20.8,100,50,4.59,16.50
EVANS HEAD RAAF BOMBING RANGE,09/12/2014,4.7,20.8, ,30.9,19.2,100,58,3.35,19.46
EVANS HEAD RAAF BOMBING RANGE,10/12/2014,4.5,0.0, ,28.0,20.5,99,75,3.79,23.40
EVANS HEAD RAAF BOMBING RANGE,11/12/2014,3.3,0.0, ,32.7,19.9,100,59,3.97,7.94
EVANS HEAD RAAF BOMBING RANGE,12/12/2014,4.7,17.8, ,24.9,17.0,99,63,9.30,23.03
EVANS HEAD RAAF BOMBING RANGE,13/12/2014,2.4,8.0, ,21.7,16.2,99,66,7.49,5.02
EVANS HEAD RAAF BOMBING RANGE,14/12/2014,4.9,5.8, ,26.3,17.1,92,54,5.51,20.30
EVANS HEAD RAAF BOMBING RANGE,15/12/2014,6.0,0.0, ,27.2,17.1,86,49,4.01,28.60
EVANS HEAD RAAF BOMBING RANGE,16/12/2014,6.3,0.0, ,29.2,16.6,99,51,4.58,30.27
EVANS HEAD RAAF BOMBING RANGE,17/12/2014,9.2,4.6, ,38.1,20.2,100,30,5.25,30.10
EVANS HEAD RAAF BOMBING RANGE,18/12/2014,4.3,2.2, ,32.5,20.4,100,62,3.75,16.14
EVANS HEAD RAAF BOMBING RANGE,19/12/2014,7.6,2.8, ,32.3,19.4,100,38,5.13,31.22
EVANS HEAD RAAF BOMBING RANGE,20/12/2014,5.0,0.0, ,27.7,21.2,84,57,4.52,19.77
EVANS HEAD RAAF BOMBING RANGE,21/12/2014,5.5,0.0, ,27.4,20.1,85,58,4.03,25.03
EVANS HEAD RAAF BOMBING RANGE,22/12/2014,6.1,0.0, ,27.3,19.4,90,54,3.45,30.61
EVANS HEAD RAAF BOMBING RANGE,23/12/2014,4.1,0.0, ,26.7,19.1,88,57,2.92,17.20
EVANS HEAD RAAF BOMBING RANGE,24/12/2014,6.1,0.0, ,30.8,18.5,98,52,3.94,27.14
EVANS HEAD RAAF BOMBING RANGE,25/12/2014,5.3,0.0, ,30.0,20.7,97,58,4.74,22.61
EVANS HEAD RAAF BOMBING RANGE,26/12/2014,5.6,0.0, ,33.6,21.6,98,50,4.76,18.74
EVANS HEAD RAAF BOMBING RANGE,27/12/2014,0.6,12.0, ,21.5,18.3,100,99,9.18,2.85
EVANS HEAD RAAF BOMBING RANGE,28/12/2014,0.8,80.2, ,22.9,18.1,100,99,3.56,3.54
EVANS HEAD RAAF BOMBING RANGE,29/12/2014,4.2,25.0, ,30.5,19.7,100,72,2.76,19.61
EVANS HEAD RAAF BOMBING RANGE,30/12/2014,7.1,18.8, ,33.9,20.9,100,49,3.34,31.06
EVANS HEAD RAAF BOMBING RANGE,31/12/2014,4.7,0.0, ,28.8,21.0,99,79,5.44,25.06
Totals:,,151.3,229.2, ,,,,,, 
