'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EVANS HEAD RAAF BOMBING RANGE New South Wales for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EVANS HEAD RAAF BOMBING RANGE,01/03/2015,5.6,0.0, ,32.7,19.9,100,53,3.59,24.03
EVANS HEAD RAAF BOMBING RANGE,02/03/2015,3.4,2.2, ,27.0,21.2,100,78,6.13,17.51
EVANS HEAD RAAF BOMBING RANGE,03/03/2015,4.9,3.8, ,27.4,19.7,100,58,3.31,24.97
EVANS HEAD RAAF BOMBING RANGE,04/03/2015,5.2,0.0, ,30.7,19.0,98,59,3.92,24.62
EVANS HEAD RAAF BOMBING RANGE,05/03/2015,7.4,0.0, ,37.5,20.5,99,35,4.80,23.51
EVANS HEAD RAAF BOMBING RANGE,06/03/2015,4.3,0.0, ,30.0,19.9,97,59,3.92,17.48
EVANS HEAD RAAF BOMBING RANGE,07/03/2015,4.3,0.0, ,28.2,19.0,99,67,3.16,22.32
EVANS HEAD RAAF BOMBING RANGE,08/03/2015,5.1,0.0, ,30.7,19.1,98,61,4.37,23.94
EVANS HEAD RAAF BOMBING RANGE,09/03/2015,5.1,0.0, ,32.8,20.6,100,50,3.19,21.18
EVANS HEAD RAAF BOMBING RANGE,10/03/2015,4.1,10.2, ,28.7,20.6,100,75,2.46,21.45
EVANS HEAD RAAF BOMBING RANGE,11/03/2015,3.6,0.0, ,28.4,20.7,98,66,2.57,17.02
EVANS HEAD RAAF BOMBING RANGE,12/03/2015,4.7,0.0, ,28.3,20.0,99,60,3.07,23.87
EVANS HEAD RAAF BOMBING RANGE,13/03/2015,4.3,0.0, ,27.4,19.6,99,68,6.17,21.93
EVANS HEAD RAAF BOMBING RANGE,14/03/2015,4.3,0.0, ,25.6,18.1,98,61,6.85,20.69
EVANS HEAD RAAF BOMBING RANGE,15/03/2015,5.3,0.2, ,28.1,16.5,98,41,4.41,23.16
EVANS HEAD RAAF BOMBING RANGE,16/03/2015,4.8,2.6, ,25.2,17.3,89,52,6.21,20.20
EVANS HEAD RAAF BOMBING RANGE,17/03/2015,4.2,0.2, ,27.3,18.5,89,53,3.22,18.53
EVANS HEAD RAAF BOMBING RANGE,18/03/2015,3.4,3.2, ,29.1,18.6,99,58,3.73,11.67
EVANS HEAD RAAF BOMBING RANGE,19/03/2015,5.4,0.8, ,34.2,18.5,100,47,2.89,22.98
EVANS HEAD RAAF BOMBING RANGE,20/03/2015,5.1,0.0, ,33.4,22.1,100,60,3.56,21.98
EVANS HEAD RAAF BOMBING RANGE,21/03/2015,1.3,0.2, ,24.7,22.8,100,89,7.48,4.59
EVANS HEAD RAAF BOMBING RANGE,22/03/2015,1.8,7.8, ,23.8,18.6,100,82,3.70,7.88
EVANS HEAD RAAF BOMBING RANGE,23/03/2015,3.2,31.4, ,26.6,18.6,100,75,3.17,17.42
EVANS HEAD RAAF BOMBING RANGE,24/03/2015,4.8,0.2, ,30.9,18.1,100,52,3.76,21.19
EVANS HEAD RAAF BOMBING RANGE,25/03/2015,3.4,0.0, ,28.4,20.6,100,72,3.83,16.06
EVANS HEAD RAAF BOMBING RANGE,26/03/2015,3.6,8.6, ,30.6,20.3,100,72,2.85,17.37
EVANS HEAD RAAF BOMBING RANGE,27/03/2015,3.9,0.0, ,26.5,21.3,100,65,5.03,19.63
EVANS HEAD RAAF BOMBING RANGE,28/03/2015,3.7,0.0, ,26.3,18.5,97,69,4.02,19.94
EVANS HEAD RAAF BOMBING RANGE,29/03/2015,3.9,0.0, ,27.8,19.2,97,61,3.40,18.68
EVANS HEAD RAAF BOMBING RANGE,30/03/2015,3.0,0.0, ,27.5,17.7,98,66,3.20,12.97
EVANS HEAD RAAF BOMBING RANGE,31/03/2015,1.9,0.0, ,24.9,19.0,98,77,3.29,6.88
Totals:,,129,71.4, ,,,,,, 
