'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EVANS HEAD RAAF BOMBING RANGE New South Wales for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EVANS HEAD RAAF BOMBING RANGE,01/07/2016,2.8,0.0, ,22.1,11.3,98,36,3.58,13.23
EVANS HEAD RAAF BOMBING RANGE,02/07/2016,2.1,0.0, ,18.4,9.0,97,46,3.20,13.26
EVANS HEAD RAAF BOMBING RANGE,03/07/2016,1.9,0.0, ,18.7,6.9,98,54,2.70,13.29
EVANS HEAD RAAF BOMBING RANGE,04/07/2016,2.1,0.0, ,21.0,8.8,98,51,2.95,10.40
EVANS HEAD RAAF BOMBING RANGE,05/07/2016,1.6,3.8, ,18.3,13.7,100,61,3.71,5.62
EVANS HEAD RAAF BOMBING RANGE,06/07/2016,2.7,1.6, ,17.8,7.8,84,42,4.47,13.43
EVANS HEAD RAAF BOMBING RANGE,07/07/2016,2.8,0.0, ,21.4,8.4,84,47,3.98,13.47
EVANS HEAD RAAF BOMBING RANGE,08/07/2016,2.2,0.0, ,21.4,12.6,100,59,3.62,13.48
EVANS HEAD RAAF BOMBING RANGE,09/07/2016,2.1,4.6, ,19.0,11.0,99,65,5.05,13.53
EVANS HEAD RAAF BOMBING RANGE,10/07/2016,2.0,0.0, ,19.8,10.3,98,62,3.64,13.43
EVANS HEAD RAAF BOMBING RANGE,11/07/2016,1.6,0.0, ,21.4,11.1,99,72,3.08,9.13
EVANS HEAD RAAF BOMBING RANGE,12/07/2016,1.0,0.0, ,19.8,13.8,99,86,3.93,4.65
EVANS HEAD RAAF BOMBING RANGE,13/07/2016,1.7,0.0, ,15.4,13.6,97,40,2.86,4.82
EVANS HEAD RAAF BOMBING RANGE,14/07/2016,2.5,0.0, ,14.5,10.0,68,42,3.97,8.89
EVANS HEAD RAAF BOMBING RANGE,15/07/2016,2.1,0.0, ,17.5,8.2,87,61,3.95,13.66
EVANS HEAD RAAF BOMBING RANGE,16/07/2016,1.8,0.0, ,17.7,10.7,99,62,4.70,6.59
EVANS HEAD RAAF BOMBING RANGE,17/07/2016,1.0,8.8, ,19.2,13.5,100,98,2.73,8.74
EVANS HEAD RAAF BOMBING RANGE,18/07/2016,1.1,2.8, ,19.9,14.1,100,98,2.81,10.03
EVANS HEAD RAAF BOMBING RANGE,19/07/2016,2.4,0.6, ,25.3,13.2,100,62,2.78,14.22
EVANS HEAD RAAF BOMBING RANGE,20/07/2016,2.1,0.0, ,25.7,14.6,100,69,2.61,12.65
EVANS HEAD RAAF BOMBING RANGE,21/07/2016,1.1,3.8, ,19.5,16.9,100,87,3.15,6.53
EVANS HEAD RAAF BOMBING RANGE,22/07/2016,2.8,0.2, ,27.7,14.8,100,56,2.95,14.07
EVANS HEAD RAAF BOMBING RANGE,23/07/2016,4.7,0.0, ,27.8,16.9,99,27,5.53,13.71
EVANS HEAD RAAF BOMBING RANGE,24/07/2016,2.4,0.0, ,19.8,10.8,78,43,2.61,12.39
EVANS HEAD RAAF BOMBING RANGE,25/07/2016,3.1,0.0, ,22.1,9.5,81,35,3.21,14.72
EVANS HEAD RAAF BOMBING RANGE,26/07/2016,3.1,0.0, ,22.9,9.3,84,35,3.23,14.22
EVANS HEAD RAAF BOMBING RANGE,27/07/2016,2.8,0.0, ,20.2,12.5,72,43,3.64,9.36
EVANS HEAD RAAF BOMBING RANGE,28/07/2016,2.6,0.0, ,19.3,10.0,97,46,3.50,15.02
EVANS HEAD RAAF BOMBING RANGE,29/07/2016,3.2,0.0, ,24.5,6.5,97,34,3.09,15.11
EVANS HEAD RAAF BOMBING RANGE,30/07/2016,2.9,0.0, ,19.7,11.1,76,53,4.52,12.36
EVANS HEAD RAAF BOMBING RANGE,31/07/2016,3.2,0.0, ,24.6,9.7,98,36,3.15,15.28
Totals:,,71.5,26.2, ,,,,,, 
