'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORBES AIRPORT New South Wales for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORBES AIRPORT,01/08/2011,2.6,0.0, ,22.2,2.0,98,25,2.33,13.69
FORBES AIRPORT,02/08/2011,3.2,0.0, ,22.6,0.0,98,27,3.57,9.77
FORBES AIRPORT,03/08/2011,4.3,0.0, ,25.1,5.9,76,25,4.52,11.97
FORBES AIRPORT,04/08/2011, ,0.0, ,24.8,6.6,76,25,4.98, 
FORBES AIRPORT,05/08/2011,4.1,0.0, ,22.4,4.1,88,36,6.59,12.78
FORBES AIRPORT,06/08/2011,2.7,0.0, ,21.3,9.5,98,44,5.27,3.60
FORBES AIRPORT,07/08/2011,2.8,3.2, ,19.0,1.3,99,27,3.40,12.60
FORBES AIRPORT,08/08/2011,1.7,2.8, ,14.4,5.0,99,54,3.46,8.28
FORBES AIRPORT,09/08/2011,1.1,7.6, ,12.1,5.3,99,70,2.59,7.27
FORBES AIRPORT,10/08/2011,1.7,0.4, ,14.8,0.2,99,48,2.39,11.73
FORBES AIRPORT,11/08/2011,1.4,0.0, ,14.8,3.1,99,66,2.36,8.99
FORBES AIRPORT,12/08/2011,2.1,0.0, ,17.8,1.8,99,47,2.50,14.47
FORBES AIRPORT,13/08/2011,1.5,0.0, ,17.1,-1.5,99,49,1.07,10.85
FORBES AIRPORT,14/08/2011,2.1,0.0, ,19.1,2.1,99,31,1.55,13.93
FORBES AIRPORT,15/08/2011,2.0,0.0, ,19.6,0.3,99,37,1.57,11.65
FORBES AIRPORT,16/08/2011,2.7,0.0, ,21.0,8.4,98,31,2.62,14.07
FORBES AIRPORT,17/08/2011,1.7,1.0, ,15.2,8.6,99,63,6.26,3.25
FORBES AIRPORT,18/08/2011,1.4,27.0, ,12.4,5.6,99,71,4.78,9.88
FORBES AIRPORT,19/08/2011,1.8,7.4, ,15.9,7.4,100,67,3.82,13.27
FORBES AIRPORT,20/08/2011,3.2,0.0, ,19.7,5.5,98,41,4.73,16.83
FORBES AIRPORT,21/08/2011,3.0,0.0, ,18.6,2.9,99,35,3.71,16.67
FORBES AIRPORT,22/08/2011,2.7,0.0, ,17.9,4.0,93,39,3.09,17.09
FORBES AIRPORT,23/08/2011,2.5,0.0, ,18.2,2.5,98,46,2.73,17.23
FORBES AIRPORT,24/08/2011,2.2,0.0, ,20.1,-0.2,99,45,1.19,17.42
FORBES AIRPORT,25/08/2011,2.8,0.0, ,22.3,0.3,99,33,1.86,17.64
FORBES AIRPORT,26/08/2011,3.3,0.0, ,24.3,3.5,98,30,2.35,17.59
FORBES AIRPORT,27/08/2011,2.7,0.0, ,21.4,2.3,98,44,2.36,15.62
FORBES AIRPORT,28/08/2011,2.9,0.0, ,21.3,2.3,99,40,2.42,17.65
FORBES AIRPORT,29/08/2011,2.8,0.0, ,20.7,1.7,99,33,1.95,17.81
FORBES AIRPORT,30/08/2011,2.8,0.0, ,17.7,2.4,99,36,2.76,18.31
FORBES AIRPORT,31/08/2011,2.5,0.0, ,18.2,-2.0,99,27,1.51,18.82
Totals:,,74.3,49.4, ,,,,,, 
