'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORBES AIRPORT New South Wales for October 2012,,,,,,,,,,
Issued at 22:38 GMT on Thursday 01 November 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORBES AIRPORT,01/10/2012,3.6,0.4, ,19.7,1.2,99,34,2.36,23.60
FORBES AIRPORT,02/10/2012,3.6,0.4, ,22.1,2.4,99,32,1.41,23.75
FORBES AIRPORT,03/10/2012,4.1,1.6, ,25.5,4.2,99,29,1.67,23.91
FORBES AIRPORT,04/10/2012,5.9,0.0, ,29.4,6.0,98,18,3.29,24.09
FORBES AIRPORT,05/10/2012,7.5,0.0, ,32.4,11.0,79,16,4.56,24.22
FORBES AIRPORT,06/10/2012,5.2,0.0, ,27.5,14.9,84,35,4.49,18.01
FORBES AIRPORT,07/10/2012,4.6,0.0, ,19.1,7.6,86,32,5.18,24.51
FORBES AIRPORT,08/10/2012,4.0,0.0, ,19.8,1.7,98,30,2.78,24.41
FORBES AIRPORT,09/10/2012,4.1,0.0, ,21.1,6.0,95,29,2.26,24.66
FORBES AIRPORT,10/10/2012,4.1,0.0, ,21.6,2.4,94,27,2.28,24.33
FORBES AIRPORT,11/10/2012,2.7,6.2, ,13.3,6.9,98,52,4.64,17.97
FORBES AIRPORT,12/10/2012,4.6,1.4, ,19.3,3.6,99,28,5.42,23.43
FORBES AIRPORT,13/10/2012,4.2,0.0, ,19.8,3.4,98,33,3.45,24.22
FORBES AIRPORT,14/10/2012,4.2,0.0, ,22.4,5.4,98,27,1.80,25.83
FORBES AIRPORT,15/10/2012,5.8,0.0, ,28.2,4.5,97,17,3.08,25.55
FORBES AIRPORT,16/10/2012,8.5,0.0, ,31.9,10.3,66,11,5.77,21.45
FORBES AIRPORT,17/10/2012,5.9,0.0, ,23.2,10.9,83,15,4.35,26.33
FORBES AIRPORT,18/10/2012,5.4,0.0, ,28.4,3.2,92,18,2.36,24.60
FORBES AIRPORT,19/10/2012,8.2,0.0, ,34.2,11.5,80,14,4.40,26.78
FORBES AIRPORT,20/10/2012,7.1,0.0, ,29.5,10.7,76,14,4.00,27.75
FORBES AIRPORT,21/10/2012,4.4,0.2, ,25.5,10.5,86,30,2.45,19.28
FORBES AIRPORT,22/10/2012,5.9,0.4, ,20.9,5.8,77,18,5.45,28.08
FORBES AIRPORT,23/10/2012,5.4,0.0, ,24.4,3.2,83,23,3.02,28.02
FORBES AIRPORT,24/10/2012,6.3,0.0, ,28.1,4.5,86,17,3.14,28.30
FORBES AIRPORT,25/10/2012,9.4,0.0, ,33.0,8.9,72,12,5.90,28.31
FORBES AIRPORT,26/10/2012,5.8,0.0, ,22.8,12.7,72,20,4.56,23.18
FORBES AIRPORT,27/10/2012,6.2,0.0, ,23.6,4.8,79,15,4.26,28.40
FORBES AIRPORT,28/10/2012,5.9,0.0, ,26.8,4.1,81,19,2.83,28.54
FORBES AIRPORT,29/10/2012,5.7,0.0, ,27.3,7.9,85,27,3.28,25.32
FORBES AIRPORT,30/10/2012,6.3,0.0, ,29.6,14.3,83,24,3.20,25.67
FORBES AIRPORT,31/10/2012,7.5,1.4, ,33.4,11.9,91,14,3.37,28.60
Totals:,,172.1,12, ,,,,,, 
