'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORBES AIRPORT New South Wales for March 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORBES AIRPORT,01/03/2013,4.1,63.4, ,22.6,15.1,100,49,8.23,15.07
FORBES AIRPORT,02/03/2013,6.7,0.2, ,25.6,14.3,72,39,8.28,25.45
FORBES AIRPORT,03/03/2013,6.6,0.0, ,28.9,17.2,70,38,6.40,20.41
FORBES AIRPORT,04/03/2013,6.7,0.0, ,30.9,15.3,87,25,4.39,24.58
FORBES AIRPORT,05/03/2013,6.5,0.0, ,30.6,15.1,79,27,4.12,24.42
FORBES AIRPORT,06/03/2013,5.8,0.0, ,30.4,15.5,85,31,3.24,24.01
FORBES AIRPORT,07/03/2013,5.5,0.0, ,32.0,16.1,88,26,2.23,24.05
FORBES AIRPORT,08/03/2013,6.0,0.0, ,31.8,16.6,90,22,3.01,23.84
FORBES AIRPORT,09/03/2013,5.4,0.0, ,31.8,17.4,79,28,2.51,21.87
FORBES AIRPORT,10/03/2013,4.7,0.0, ,32.4,18.7,76,28,1.71,20.01
FORBES AIRPORT,11/03/2013,5.5,0.0, ,31.8,17.7,85,35,2.80,23.28
FORBES AIRPORT,12/03/2013,5.3,0.0, ,31.0,17.0,84,30,2.78,21.54
FORBES AIRPORT,13/03/2013,6.1,0.0, ,31.7,15.7,81,29,3.59,22.88
FORBES AIRPORT,14/03/2013,5.4,0.0, ,31.8,18.6,72,28,2.74,19.59
FORBES AIRPORT,15/03/2013,5.3,0.0, ,32.0,13.5,73,23,2.18,22.80
FORBES AIRPORT,16/03/2013,6.9,0.0, ,30.9,14.0,81,16,4.54,23.02
FORBES AIRPORT,17/03/2013,6.2,0.0, ,23.9,12.3,74,17,5.56,23.43
FORBES AIRPORT,18/03/2013,4.8,0.0, ,24.9,10.3,75,25,3.29,20.99
FORBES AIRPORT,19/03/2013,4.7,0.0, ,27.1,11.3,81,34,3.44,18.80
FORBES AIRPORT,20/03/2013,5.7,0.0, ,28.5,13.6,81,35,5.26,19.47
FORBES AIRPORT,21/03/2013,5.1,0.0, ,27.3,17.8,98,38,8.57,10.29
FORBES AIRPORT,22/03/2013,5.2,3.4, ,30.8,19.1,97,41,6.66,11.88
FORBES AIRPORT,23/03/2013,4.7,3.0, ,28.5,16.7,98,31,2.69,21.30
FORBES AIRPORT,24/03/2013,5.1,0.0, ,30.2,12.3,95,17,2.60,21.41
FORBES AIRPORT,25/03/2013,4.4,0.0, ,30.8,9.8,93,18,1.72,21.21
FORBES AIRPORT,26/03/2013,5.5,0.0, ,32.3,11.7,85,23,3.26,18.09
FORBES AIRPORT,27/03/2013,7.0,0.0, ,33.6,17.5,88,31,5.98,20.13
FORBES AIRPORT,28/03/2013, ,1.0, ,26.2,20.5,99,50,4.66, 
FORBES AIRPORT,29/03/2013, ,8.0, ,21.4,10.0,99,32,3.69, 
FORBES AIRPORT,30/03/2013, ,0.0, ,24.1,6.9,99,35,1.81, 
FORBES AIRPORT,31/03/2013, ,0.8, ,22.8,11.8,89,39,2.86, 
Totals:,,150.9,79.8, ,,,,,, 
