'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORBES AIRPORT New South Wales for October 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 November 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORBES AIRPORT,01/10/2014,4.7,0.0, ,18.6,6.5,77,24,5.10,22.10
FORBES AIRPORT,02/10/2014,4.0,0.0, ,22.2,0.6,93,32,2.67,22.32
FORBES AIRPORT,03/10/2014,3.7,0.0, ,24.5,1.7,95,29,1.38,22.48
FORBES AIRPORT,04/10/2014,4.2,0.0, ,27.7,3.3,94,19,1.46,22.62
FORBES AIRPORT,05/10/2014,6.7,0.0, ,32.8,6.1,88,12,3.37,22.81
FORBES AIRPORT,06/10/2014,8.5,0.0, ,32.9,9.8,69,17,6.03,22.24
FORBES AIRPORT,07/10/2014,5.0,1.8, ,22.7,13.8,93,34,5.12,22.76
FORBES AIRPORT,08/10/2014,5.1,0.0, ,22.7,5.0,92,24,4.41,23.32
FORBES AIRPORT,09/10/2014,4.3,0.0, ,24.8,3.1,94,24,1.90,23.52
FORBES AIRPORT,10/10/2014,4.9,0.2, ,28.3,3.1,94,20,2.16,22.71
FORBES AIRPORT,11/10/2014,5.3,0.0, ,31.8,6.2,84,17,2.09,22.07
FORBES AIRPORT,12/10/2014,7.3,0.0, ,33.1,8.8,86,19,4.73,19.77
FORBES AIRPORT,13/10/2014,3.6,15.4, ,21.6,15.9,97,41,5.65,10.71
FORBES AIRPORT,14/10/2014,2.2,0.2, ,14.0,4.7,98,58,4.24,11.55
FORBES AIRPORT,15/10/2014,4.3,5.8, ,19.6,6.2,94,32,3.82,23.98
FORBES AIRPORT,16/10/2014,4.4,0.0, ,20.7,2.9,96,31,3.27,25.34
FORBES AIRPORT,17/10/2014,4.5,0.0, ,22.0,3.7,97,27,2.32,26.78
FORBES AIRPORT,18/10/2014,5.0,0.0, ,25.0,4.6,96,25,2.62,26.71
FORBES AIRPORT,19/10/2014,5.1,0.0, ,29.5,6.6,95,19,1.55,26.41
FORBES AIRPORT,20/10/2014,7.6,0.0, ,34.0,9.7,92,12,3.59,26.62
FORBES AIRPORT,21/10/2014,6.3,0.0, ,28.5,10.9,84,31,4.35,26.49
FORBES AIRPORT,22/10/2014,6.3,0.0, ,30.9,9.2,92,27,3.28,26.44
FORBES AIRPORT,23/10/2014,6.2,0.6, ,33.7,13.6,86,18,3.14,18.70
FORBES AIRPORT,24/10/2014,10.3,0.0, ,36.9,17.9,68,11,6.32,23.65
FORBES AIRPORT,25/10/2014,7.4,0.0, ,37.0,11.3,80,11,2.86,24.47
FORBES AIRPORT,26/10/2014,8.1,0.0, ,35.8,14.1,67,9,3.42,27.32
FORBES AIRPORT,27/10/2014,7.4,0.0, ,31.0,13.9,61,21,6.25,12.91
FORBES AIRPORT,28/10/2014,6.1,0.0, ,25.1,6.3,76,22,4.31,26.47
FORBES AIRPORT,29/10/2014,5.5,0.0, ,28.1,7.5,82,21,2.13,26.63
FORBES AIRPORT,30/10/2014,6.3,0.0, ,32.7,8.4,81,13,2.30,25.81
FORBES AIRPORT,31/10/2014, ,0.0, , ,9.7,73,10,5.22,23.89
Totals:,,170.3,24, ,,,,,, 
