'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FOWLERS GAP New South Wales for August 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 September 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FOWLERS GAP,01/08/2012,1.9,0.0, ,15.9,-0.5,95,37,1.85,13.79
FOWLERS GAP,02/08/2012,2.1,0.0, ,17.5,-1.9,91,29,1.83,12.42
FOWLERS GAP,03/08/2012,3.1,0.0, ,20.9,3.8,75,25,2.85,14.03
FOWLERS GAP,04/08/2012,2.6,0.0, ,20.7,1.8,82,27,2.21,14.16
FOWLERS GAP,05/08/2012,4.6,0.0, ,22.5,7.5,63,24,5.24,13.64
FOWLERS GAP,06/08/2012,2.3,0.0, ,17.9,2.8,88,36,2.17,14.34
FOWLERS GAP,07/08/2012,2.7,0.0, ,19.5,1.5,88,28,2.53,14.46
FOWLERS GAP,08/08/2012,4.1,0.0, ,24.1,3.8,70,20,3.54,14.51
FOWLERS GAP,09/08/2012,3.5,0.0, ,16.9,10.1,83,35,6.40,14.54
FOWLERS GAP,10/08/2012,2.9,0.0, ,16.5,4.8,89,41,4.89,14.89
FOWLERS GAP,11/08/2012,2.5,0.0, ,16.0,3.4,92,45,4.62,13.01
FOWLERS GAP,12/08/2012,2.7,0.0, ,16.9,3.7,86,41,3.65,15.23
FOWLERS GAP,13/08/2012,2.4,0.0, ,20.3,0.3,92,28,1.66,15.14
FOWLERS GAP,14/08/2012,4.7,0.0, ,23.2,8.1,53,20,4.47,13.08
FOWLERS GAP,15/08/2012,3.0,0.0, ,19.3,4.9,85,30,2.90,15.66
FOWLERS GAP,16/08/2012,3.7,0.0, ,20.8,2.5,79,24,3.78,15.15
FOWLERS GAP,17/08/2012,3.9,0.0, ,15.7,6.9,73,34,8.39,14.24
FOWLERS GAP,18/08/2012,2.8,0.0, ,16.1,2.6,91,37,4.27,14.97
FOWLERS GAP,19/08/2012,2.0,0.0, ,16.4,3.8,86,46,2.07,11.49
FOWLERS GAP,20/08/2012,2.5,0.0, ,17.6,5.5,81,35,2.60,12.11
FOWLERS GAP,21/08/2012,4.7,0.0, ,23.7,5.1,70,19,4.53,14.53
FOWLERS GAP,22/08/2012,8.5,0.0, ,29.6,13.1,37,12,7.53,14.18
FOWLERS GAP,23/08/2012,4.7,6.0, ,19.9,14.0,90,26,8.26,16.68
FOWLERS GAP,24/08/2012,4.0,0.2, ,20.0,5.4,80,34,5.48,16.76
FOWLERS GAP,25/08/2012,2.2,0.0, ,17.0,3.2,93,45,1.81,15.55
FOWLERS GAP,26/08/2012,2.8,0.0, ,19.3,4.5,90,34,2.62,14.92
FOWLERS GAP,27/08/2012,2.8,0.0, ,19.4,1.0,91,26,1.84,17.51
FOWLERS GAP,28/08/2012,4.8,0.0, ,22.3,6.0,63,18,4.50,17.37
FOWLERS GAP,29/08/2012,6.3,0.0, ,24.8,13.9,50,18,5.93,17.43
FOWLERS GAP,30/08/2012,3.6,0.0, ,18.6,6.2,87,29,4.17,17.05
FOWLERS GAP,31/08/2012,3.6,0.0, ,18.0,4.1,79,31,4.05,18.13
Totals:,,108,6.2, ,,,,,, 
