'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FOWLERS GAP New South Wales for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FOWLERS GAP,01/06/2014,1.1,13.4, ,14.7,9.5,98,72,2.41,6.63
FOWLERS GAP,02/06/2014,1.3,0.2, ,16.1,7.2,99,62,2.12,9.64
FOWLERS GAP,03/06/2014,1.5,0.0, ,17.3,8.9,98,60,2.08,10.75
FOWLERS GAP,04/06/2014,1.3,0.2, ,16.9,6.2,98,58,1.46,10.51
FOWLERS GAP,05/06/2014,2.2,0.0, ,19.5,7.2,94,46,3.32,11.31
FOWLERS GAP,06/06/2014,2.4,0.0, ,16.4,7.3,89,48,5.31,12.49
FOWLERS GAP,07/06/2014,2.3,0.0, ,16.8,7.6,90,54,5.90,12.38
FOWLERS GAP,08/06/2014,1.9,0.0, ,16.0,7.2,97,53,4.66,9.59
FOWLERS GAP,09/06/2014,2.2,0.0, ,15.3,3.8,90,43,4.23,12.57
FOWLERS GAP,10/06/2014,2.1,0.0, ,18.6,5.5,87,44,3.05,11.79
FOWLERS GAP,11/06/2014,2.4,0.0, ,20.5,7.0,88,39,3.11,11.18
FOWLERS GAP,12/06/2014,2.4,0.0, ,18.4,10.8,92,49,5.49,4.58
FOWLERS GAP,13/06/2014,2.3,0.6, ,17.1,8.0,99,40,4.52,12.02
FOWLERS GAP,14/06/2014,2.4,0.2, ,16.5,8.9,96,47,5.96,11.75
FOWLERS GAP,15/06/2014,2.0,0.0, ,16.1,7.1,95,47,4.06,12.10
FOWLERS GAP,16/06/2014,1.4,0.0, ,16.3,4.4,95,52,1.84,10.15
FOWLERS GAP,17/06/2014,1.6,0.0, ,16.1,4.5,97,55,2.88,11.47
FOWLERS GAP,18/06/2014,1.6,0.0, ,16.5,4.6,95,50,2.56,12.14
FOWLERS GAP,19/06/2014,2.0,0.0, ,19.0,3.4,96,36,2.43,11.02
FOWLERS GAP,20/06/2014,2.5,0.0, ,20.4,2.0,91,30,2.96,12.03
FOWLERS GAP,21/06/2014,2.0,0.0, ,18.9,6.2,85,49,2.93,10.54
FOWLERS GAP,22/06/2014,1.8,0.0, ,19.0,2.9,92,40,2.12,12.05
FOWLERS GAP,23/06/2014,3.7,0.0, ,16.8,7.5,63,40,8.25,10.44
FOWLERS GAP,24/06/2014,3.0,0.0, ,16.9,6.2,77,48,7.52,11.88
FOWLERS GAP,25/06/2014,2.2,0.0, ,17.3,5.3,97,42,3.84,12.14
FOWLERS GAP,26/06/2014,1.7,0.0, ,17.6,2.0,91,44,2.13,12.15
FOWLERS GAP,27/06/2014, ,0.0, , ,4.7,81,33,6.63,9.85
FOWLERS GAP,28/06/2014, , , ,14.9, ,92,36,8.75,10.59
FOWLERS GAP,29/06/2014,2.4,0.4, ,14.8,7.6,87,48,6.48,10.27
FOWLERS GAP,30/06/2014,1.8,0.2, ,15.2,2.4,95,45,2.95,11.86
Totals:,,57.5,15.2, ,,,,,, 
