'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FOWLERS GAP New South Wales for June 2015,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 July 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FOWLERS GAP,01/06/2015,2.2,0.2, ,13.4,6.5,94,37,4.33,12.81
FOWLERS GAP,02/06/2015,1.3,0.0, ,11.7,0.7,92,46,1.79,12.95
FOWLERS GAP,03/06/2015,1.2,0.0, ,15.0,2.9,93,41,0.93,12.63
FOWLERS GAP,04/06/2015,1.9, , ,17.1,2.2,96,45,2.99,12.31
FOWLERS GAP,05/06/2015,2.0,0.0, ,17.1,5.5,95,47,3.52,12.29
FOWLERS GAP,06/06/2015,1.4,0.0, ,15.7,5.1,96,54,1.96,11.53
FOWLERS GAP,07/06/2015,1.8,0.0, ,18.7,2.3,97,42,2.11,12.38
FOWLERS GAP,08/06/2015,2.1,0.0, ,20.8,2.8,95,33,2.11,12.53
FOWLERS GAP,09/06/2015,2.3,0.0, ,20.5,5.5,89,45,3.07,12.04
FOWLERS GAP,10/06/2015,2.7,0.0, ,15.2,9.7,78,41,5.60,12.30
FOWLERS GAP,11/06/2015,1.9,0.0, ,15.1,3.4,86,41,3.12,12.01
FOWLERS GAP,12/06/2015,2.1,0.0, ,19.5,7.0,79,57,3.94,8.88
FOWLERS GAP,13/06/2015,2.2,0.0, ,21.6,8.8,88,42,2.88,8.09
FOWLERS GAP,14/06/2015,1.6,0.0, ,19.5,10.9,96,56,2.31,8.59
FOWLERS GAP,15/06/2015,1.4,4.8, ,20.1,11.5,99,65,1.60,9.78
FOWLERS GAP,16/06/2015,1.1,0.2, ,16.9,12.3,99,82,3.11,7.40
FOWLERS GAP,17/06/2015,1.3,8.0, ,15.9,8.4,98,72,3.56,7.92
FOWLERS GAP,18/06/2015,1.3,6.0, ,15.4,8.5,98,69,3.12,9.45
FOWLERS GAP,19/06/2015,1.7,1.0, ,14.3,6.8,98,52,3.97,11.75
FOWLERS GAP,20/06/2015,1.4,0.0, ,12.5,3.3,93,50,2.21,12.25
FOWLERS GAP,21/06/2015,1.2,0.0, ,13.5,-0.3,98,55,1.51,12.38
FOWLERS GAP,22/06/2015,2.3,0.2, ,16.8,2.4,94,45,4.71,12.00
FOWLERS GAP,23/06/2015,1.9,0.0, ,19.3,8.5,88,56,3.35,8.98
FOWLERS GAP,24/06/2015,1.6,1.0, ,16.2,8.8,96,65,3.77,11.20
FOWLERS GAP,25/06/2015,1.6,0.0, ,13.3,6.9,95,62,4.70,10.89
FOWLERS GAP,26/06/2015,1.6,0.0, ,14.9,3.2,97,52,2.98,12.29
FOWLERS GAP,27/06/2015,1.8,0.2, ,16.8,1.6,97,35,2.27,12.18
FOWLERS GAP,28/06/2015,1.9,0.0, ,16.1,2.7,98,47,3.38,12.26
FOWLERS GAP,29/06/2015,1.8,0.0, ,14.8,3.4,95,47,3.67,10.86
FOWLERS GAP,30/06/2015,1.3,2.2, ,13.1,6.6,94,64,2.91,8.41
Totals:,,51.9,23.8, ,,,,,, 
