'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FOWLERS GAP New South Wales for February 2016,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 March 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FOWLERS GAP,01/02/2016,8.8,0.0, ,36.7,17.0,60,15,3.69,29.60
FOWLERS GAP,02/02/2016,9.6,4.4, ,37.7,19.4,88,24,6.89,23.31
FOWLERS GAP,03/02/2016,8.4,1.4, ,30.6,18.8,71,33,7.80,26.05
FOWLERS GAP,04/02/2016,9.9,0.0, ,30.3,18.4,53,26,8.58,29.78
FOWLERS GAP,05/02/2016,11.5,0.0, ,35.4,19.5,44,18,7.70,28.88
FOWLERS GAP,06/02/2016,9.6,0.0, ,35.2,21.9,36,16,4.74,27.92
FOWLERS GAP,07/02/2016,8.7,0.0, ,37.1,20.4,61,12,3.48,29.06
FOWLERS GAP,08/02/2016,11.7,0.0, ,38.5,25.4,37,12,6.06,28.90
FOWLERS GAP,09/02/2016,10.7,0.0, ,39.2,25.6,31,12,4.66,29.03
FOWLERS GAP,10/02/2016,7.4,0.0, ,40.0,20.9,37,11,2.33,24.40
FOWLERS GAP,11/02/2016,9.6,0.0, ,40.2,26.2,24,9,3.75,25.25
FOWLERS GAP,12/02/2016,8.6,0.0, ,40.9,22.5,27,10,2.92,26.92
FOWLERS GAP,13/02/2016,8.8,0.0, ,42.7,23.0,24,6,2.71,29.14
FOWLERS GAP,14/02/2016,11.3,0.0, ,36.4,23.3,51,15,7.13,27.77
FOWLERS GAP,15/02/2016,9.4,0.0, ,32.2,19.9,43,20,6.35,25.16
FOWLERS GAP,16/02/2016,8.9,0.0, ,29.5,17.9,54,23,7.07,27.92
FOWLERS GAP,17/02/2016,8.8,0.0, ,29.3,16.4,37,19,5.98,26.97
FOWLERS GAP,18/02/2016,7.2,0.0, ,33.6,16.0,48,18,2.88,27.21
FOWLERS GAP,19/02/2016,7.6,0.0, ,36.5,18.0,41,13,2.76,27.07
FOWLERS GAP,20/02/2016,10.3,0.0, ,35.4,21.2,49,18,6.45,27.04
FOWLERS GAP,21/02/2016,10.1,0.0, ,39.5,21.1,33,12,4.44,27.48
FOWLERS GAP,22/02/2016,9.6,0.0, ,41.1,25.2,23,12,3.94,24.32
FOWLERS GAP,23/02/2016,12.0,0.0, ,41.3,29.7,24,12,5.81,25.77
FOWLERS GAP,24/02/2016,13.0,0.0, ,42.0,29.1,22,13,6.80,23.44
FOWLERS GAP,25/02/2016,10.8,0.0, ,39.8,28.2,39,19,5.81,23.26
FOWLERS GAP,26/02/2016,10.1,0.0, ,32.9,21.1,48,22,7.93,24.22
FOWLERS GAP,27/02/2016,9.7,0.0, ,33.0,19.3,50,15,6.35,26.68
FOWLERS GAP,28/02/2016,10.2,0.0, ,34.6,19.9,47,14,6.44,26.40
FOWLERS GAP,29/02/2016,10.8,0.0, ,36.3,20.7,31,12,6.24,25.68
Totals:,,283.1,5.8, ,,,,,, 
