'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FOWLERS GAP New South Wales for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FOWLERS GAP,01/07/2016,1.7,0.0, ,14.9,4.6,92,47,2.78,12.44
FOWLERS GAP,02/07/2016,1.1,0.0, ,15.7,1.6,97,52,0.85,12.51
FOWLERS GAP,03/07/2016,1.4,0.0, ,15.5,1.4,98,52,1.79,12.55
FOWLERS GAP,04/07/2016,1.0,0.0, ,12.2,4.0,97,69,2.12,5.62
FOWLERS GAP,05/07/2016,1.8,1.4, ,13.5,5.1,96,61,7.03,10.66
FOWLERS GAP,06/07/2016,1.7,0.0, ,14.9,6.7,97,60,4.58,12.44
FOWLERS GAP,07/07/2016,1.2,0.0, ,14.3,3.7,98,67,2.35,9.06
FOWLERS GAP,08/07/2016,1.4,0.0, ,15.8,4.6,98,52,1.44,12.72
FOWLERS GAP,09/07/2016,1.5,0.0, ,16.5,1.5,98,48,1.80,12.63
FOWLERS GAP,10/07/2016,1.7,0.0, ,15.7,6.7,98,61,4.98,6.62
FOWLERS GAP,11/07/2016,3.2,3.4, ,17.8,9.0,91,35,6.42,12.95
FOWLERS GAP,12/07/2016,2.9,0.0, ,14.0,6.7,76,44,8.02,10.02
FOWLERS GAP,13/07/2016,2.1,0.0, ,13.5,2.7,88,37,3.55,12.96
FOWLERS GAP,14/07/2016,1.5,0.0, ,13.8,0.2,95,46,2.08,13.14
FOWLERS GAP,15/07/2016,1.8,0.0, ,13.8,-1.3,96,45,2.54,15.26
FOWLERS GAP,16/07/2016,1.9,0.0, ,14.2,2.1,95,53,4.67,13.28
FOWLERS GAP,17/07/2016,2.2,0.0, ,20.9,2.4,96,49,2.76,13.35
FOWLERS GAP,18/07/2016,1.9,0.0, ,23.3,6.8,94,57,1.67,13.39
FOWLERS GAP,19/07/2016,1.9,0.0, ,24.1,13.2,99,64,2.19,10.81
FOWLERS GAP,20/07/2016,1.9,24.4, ,21.8,16.2,99,68,3.40,11.08
FOWLERS GAP,21/07/2016,1.3,0.2, ,20.8,14.5,99,86,2.50,9.39
FOWLERS GAP,22/07/2016,3.9,0.0, ,25.1,14.7,95,47,7.80,11.94
FOWLERS GAP,23/07/2016,2.8,0.0, ,15.3,8.3,73,48,5.87,13.45
FOWLERS GAP,24/07/2016,2.9,0.0, ,16.6,5.4,90,39,5.72,12.59
FOWLERS GAP,25/07/2016,2.5,0.0, ,15.1,4.5,84,44,4.78,14.03
FOWLERS GAP,26/07/2016,2.5,0.0, ,17.3,5.0,92,45,4.42,13.19
FOWLERS GAP,27/07/2016,2.2,0.0, ,15.2,6.7,90,51,4.90,12.38
FOWLERS GAP,28/07/2016,1.7,0.0, ,16.1,3.0,95,47,1.49,14.32
FOWLERS GAP,29/07/2016,1.6,0.0, ,17.8,1.3,96,41,1.01,14.43
FOWLERS GAP,30/07/2016,2.1,0.0, ,18.7,2.2,95,37,2.12,12.69
FOWLERS GAP,31/07/2016,3.2,0.0, ,21.4,5.0,85,29,3.43,13.68
Totals:,,62.5,29.4, ,,,,,, 
