'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GLEN INNES AIRPORT New South Wales for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GLEN INNES AIRPORT,01/01/2013,5.9,0.0, ,26.9,11.9,99,26,2.45,28.94
GLEN INNES AIRPORT,02/01/2013,6.9,0.0, ,30.4,9.5,98,29,3.77,29.49
GLEN INNES AIRPORT,03/01/2013,4.9,0.0, ,24.1,15.5,97,64,6.45,26.74
GLEN INNES AIRPORT,04/01/2013,6.2,0.0, ,25.6,13.6,96,44,5.23,30.99
GLEN INNES AIRPORT,05/01/2013,6.0,0.0, ,27.4,13.5,96,52,4.36,29.77
GLEN INNES AIRPORT,06/01/2013,5.9,0.0, ,25.0,13.8,94,51,5.75,30.74
GLEN INNES AIRPORT,07/01/2013,6.2,0.0, ,24.9,14.0,94,44,5.83,30.34
GLEN INNES AIRPORT,08/01/2013,6.4,0.2, ,27.6,9.6,99,33,3.66,30.97
GLEN INNES AIRPORT,09/01/2013,7.8,0.0, ,31.1,13.3,92,30,5.71,29.68
GLEN INNES AIRPORT,10/01/2013,7.6,0.0, ,31.9,14.2,98,33,5.23,29.64
GLEN INNES AIRPORT,11/01/2013,7.2,0.0, ,31.7,15.4,98,36,3.92,30.82
GLEN INNES AIRPORT,12/01/2013,7.3,0.0, ,33.4,15.4,96,35,4.78,26.37
GLEN INNES AIRPORT,13/01/2013,8.0,3.2, ,32.7,15.1,94,32,5.21,30.55
GLEN INNES AIRPORT,14/01/2013,3.9,8.0, ,25.8,16.6,95,65,5.97,16.01
GLEN INNES AIRPORT,15/01/2013,4.0,0.0, ,22.1,12.6,94,66,6.74,21.05
GLEN INNES AIRPORT,16/01/2013,5.9,0.0, ,28.9,11.2,98,34,3.43,25.44
GLEN INNES AIRPORT,17/01/2013,5.8,0.0, ,31.2,11.3,98,33,2.95,23.14
GLEN INNES AIRPORT,18/01/2013,7.0,0.0, ,32.4,13.5,98,31,3.16,30.39
GLEN INNES AIRPORT,19/01/2013,6.5,0.0, ,34.1,15.9,97,32,4.56,19.36
GLEN INNES AIRPORT,20/01/2013,4.0,25.4, ,24.6,16.9,98,66,5.83,19.16
GLEN INNES AIRPORT,21/01/2013,4.1,0.0, ,24.8,15.8,95,66,5.00,19.63
GLEN INNES AIRPORT,22/01/2013,5.2,19.8, ,26.9,15.1,97,47,3.26,24.03
GLEN INNES AIRPORT,23/01/2013,4.3,1.0, ,25.4,15.9,98,56,4.35,19.47
GLEN INNES AIRPORT,24/01/2013,5.1,3.0, ,25.6,15.1,96,56,6.51,23.34
GLEN INNES AIRPORT,25/01/2013,4.1,0.2, ,24.0,14.9,97,67,6.61,20.37
GLEN INNES AIRPORT,26/01/2013,3.3,0.2, ,22.8,16.4,98,75,7.94,17.12
GLEN INNES AIRPORT,27/01/2013,0.9,16.6, ,18.5,17.7,98,94,7.04,2.73
GLEN INNES AIRPORT,28/01/2013,3.2,80.6, ,22.6,16.9,98,76,10.60,17.57
GLEN INNES AIRPORT,29/01/2013,5.3,7.4, ,26.3,17.1,99,51,4.46,24.89
GLEN INNES AIRPORT,30/01/2013,5.9,0.2, ,27.9,11.2,99,43,3.51,28.56
GLEN INNES AIRPORT,31/01/2013,6.3,0.0, ,29.2,14.6,97,33,3.16,29.07
Totals:,,171.1,165.8, ,,,,,, 
