'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GLEN INNES AIRPORT New South Wales for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GLEN INNES AIRPORT,01/12/2013,5.5,0.0, ,19.5,7.8,96,42,5.66,34.66
GLEN INNES AIRPORT,02/12/2013,6.5,0.0, ,23.0,6.6,98,33,3.84,37.15
GLEN INNES AIRPORT,03/12/2013,7.5,0.0, ,25.4,5.2,100,16,3.53,39.06
GLEN INNES AIRPORT,04/12/2013,6.8,0.0, ,25.6,10.2,100,32,3.92,35.27
GLEN INNES AIRPORT,05/12/2013,4.3,3.0, ,20.1,13.4,98,46,9.07,17.40
GLEN INNES AIRPORT,06/12/2013,5.9,3.6, ,17.7,2.9,85,31,4.52,38.76
GLEN INNES AIRPORT,07/12/2013,6.4,0.0, ,22.9,1.3,98,26,3.00,38.17
GLEN INNES AIRPORT,08/12/2013,7.1,0.0, ,25.9,6.0,98,23,2.96,37.77
GLEN INNES AIRPORT,09/12/2013,6.8,0.0, ,27.3,7.4,100,31,3.28,35.22
GLEN INNES AIRPORT,10/12/2013,5.3,0.4, ,26.6,13.2,97,43,4.22,23.22
GLEN INNES AIRPORT,11/12/2013,6.1,2.8, ,28.3,11.5,99,34,4.49,25.05
GLEN INNES AIRPORT,12/12/2013,5.1,0.0, ,24.7,9.3,100,18,2.58,23.09
GLEN INNES AIRPORT,13/12/2013,6.7,0.2, ,27.7,8.6,100,24,3.78,30.23
GLEN INNES AIRPORT,14/12/2013,7.6,0.0, ,28.2,10.6,100,19,4.58,33.58
GLEN INNES AIRPORT,15/12/2013,7.6,0.0, ,28.5,12.8,97,23,5.25,32.11
GLEN INNES AIRPORT,16/12/2013,3.5,0.0, ,22.1,14.7,98,61,6.85,14.56
GLEN INNES AIRPORT,17/12/2013,6.7,13.4, ,23.0,12.3,99,35,5.32,36.08
GLEN INNES AIRPORT,18/12/2013,7.0,0.2, ,24.0,8.4,99,36,4.84,38.45
GLEN INNES AIRPORT,19/12/2013,8.1,0.0, ,25.5,9.3,95,18,4.94,39.09
GLEN INNES AIRPORT,20/12/2013,8.0,0.0, ,30.2,6.1,100,22,3.25,37.92
GLEN INNES AIRPORT,21/12/2013,8.2,0.0, ,32.1,8.4,96,22,3.46,35.81
GLEN INNES AIRPORT,22/12/2013,8.5,0.0, ,31.4,11.8,94,13,3.12,37.62
GLEN INNES AIRPORT,23/12/2013,7.0,0.0, ,28.2,8.2,98,29,3.42,34.35
GLEN INNES AIRPORT,24/12/2013,4.9,0.0, ,27.6,10.6,99,35,3.11,19.66
GLEN INNES AIRPORT,25/12/2013,3.6,0.4, ,24.0,15.6,99,60,4.27,15.78
GLEN INNES AIRPORT,26/12/2013,4.6,0.2, ,26.0,14.0,99,47,3.81,19.58
GLEN INNES AIRPORT,27/12/2013,8.2,0.8, ,29.4,14.1,99,14,4.33,35.39
GLEN INNES AIRPORT,28/12/2013,8.1,0.0, ,30.4,12.0,98,25,4.52,35.42
GLEN INNES AIRPORT,29/12/2013,10.1,0.0, ,35.1,12.8,100,15,5.24,36.52
GLEN INNES AIRPORT,30/12/2013,8.5,0.0, ,31.2,14.1,95,28,6.15,33.34
GLEN INNES AIRPORT,31/12/2013,7.9,0.0, ,30.4,13.5,99,22,4.39,33.69
Totals:,,208.1,25, ,,,,,, 
