'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOSFORD (NARARA RESEARCH STATION) New South Wales for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOSFORD (NARARA RESEARCH STATION),01/10/2009,4.8,0.0, ,34.0,5.9,100,6,1.16,25.60
GOSFORD (NARARA RESEARCH STATION),02/10/2009,3.1,0.0, ,22.6,10.2,100,58,2.02,18.17
GOSFORD (NARARA RESEARCH STATION),03/10/2009,1.4,13.8, ,15.0,14.7,100,97,1.67,8.79
GOSFORD (NARARA RESEARCH STATION),04/10/2009,2.0,15.0, ,18.7,12.2,100,63,0.90,11.16
GOSFORD (NARARA RESEARCH STATION),05/10/2009,2.8,4.0, ,20.5,12.0,100,38,1.04,15.85
GOSFORD (NARARA RESEARCH STATION),06/10/2009,3.3,8.6, ,20.5,10.1,100,58,2.25,21.48
GOSFORD (NARARA RESEARCH STATION),07/10/2009,3.7,7.0, ,19.6,10.2,100,27,2.17,20.92
GOSFORD (NARARA RESEARCH STATION),08/10/2009,3.7,1.6, ,18.1,8.1,72,43,3.29,20.51
GOSFORD (NARARA RESEARCH STATION),09/10/2009,2.5,0.4, ,17.1,8.9,100,61,1.91,16.36
GOSFORD (NARARA RESEARCH STATION),10/10/2009,2.7,3.6, ,17.5,9.2,100,66,1.23,18.51
GOSFORD (NARARA RESEARCH STATION),11/10/2009,2.3,23.4, ,17.7,8.1,100,40,0.62,14.28
GOSFORD (NARARA RESEARCH STATION),12/10/2009,3.4,2.8, ,25.5,7.1,100,39,1.48,17.69
GOSFORD (NARARA RESEARCH STATION),13/10/2009,5.0,0.0, ,24.7,12.9,99,24,2.63,26.09
GOSFORD (NARARA RESEARCH STATION),14/10/2009,4.4,0.0, ,23.3,8.6,100,26,2.16,24.25
GOSFORD (NARARA RESEARCH STATION),15/10/2009,4.1,1.2, ,23.7,8.4,100,26,1.66,23.43
GOSFORD (NARARA RESEARCH STATION),16/10/2009,4.7,0.0, ,21.5,9.3,84,18,2.08,28.07
GOSFORD (NARARA RESEARCH STATION),17/10/2009,4.0,0.0, ,20.8,5.9,100,37,1.59,27.33
GOSFORD (NARARA RESEARCH STATION),18/10/2009,3.4,1.2, ,20.6,11.2,100,41,0.96,21.39
GOSFORD (NARARA RESEARCH STATION),19/10/2009,4.1,0.4, ,23.0,6.9,100,49,1.04,27.51
GOSFORD (NARARA RESEARCH STATION),20/10/2009,4.6,0.0, ,27.1,9.1,100,45,0.96,28.52
GOSFORD (NARARA RESEARCH STATION),21/10/2009,6.1,0.0, ,34.3,9.2,100,11,1.68,28.93
GOSFORD (NARARA RESEARCH STATION),22/10/2009,3.6,0.0, ,22.5,17.1,100,61,1.57,20.76
GOSFORD (NARARA RESEARCH STATION),23/10/2009,4.7,0.0, ,28.6,12.0,100,37,1.48,25.10
GOSFORD (NARARA RESEARCH STATION),24/10/2009,4.3,0.0, ,23.9,16.5,100,56,1.81,24.80
GOSFORD (NARARA RESEARCH STATION),25/10/2009,2.3,0.0, ,21.5,15.4,100,31,0.50,11.30
GOSFORD (NARARA RESEARCH STATION),26/10/2009,2.5,68.4, ,16.2,14.2,100,35,2.99,9.05
GOSFORD (NARARA RESEARCH STATION),27/10/2009,2.2,14.0, ,19.8,14.0,100,63,1.20,11.26
GOSFORD (NARARA RESEARCH STATION),28/10/2009,4.3,0.2, ,25.1,11.8,100,37,0.98,25.89
GOSFORD (NARARA RESEARCH STATION),29/10/2009,3.3,0.2, ,22.5,15.4,100,31,0.87,17.49
GOSFORD (NARARA RESEARCH STATION),30/10/2009,4.7,0.0, ,25.8,14.4,100,35,1.10,27.30
GOSFORD (NARARA RESEARCH STATION),31/10/2009,4.7,0.0, ,24.6,15.4,100,58,1.55,27.49
Totals:,,112.7,165.8, ,,,,,, 
