'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOSFORD (NARARA RESEARCH STATION) New South Wales for August 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 September 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOSFORD (NARARA RESEARCH STATION),01/08/2012,1.8,0.0, ,15.7,5.2,99,42,2.37,11.33
GOSFORD (NARARA RESEARCH STATION),02/08/2012,1.8,0.0, ,16.3,5.6,100,37,1.77,12.76
GOSFORD (NARARA RESEARCH STATION),03/08/2012,1.2,0.0, ,17.2,1.5,100,35,0.60,10.17
GOSFORD (NARARA RESEARCH STATION),04/08/2012,1.9,0.0, ,20.4,2.1,100,32,1.36,12.82
GOSFORD (NARARA RESEARCH STATION),05/08/2012,1.8,0.0, ,21.6,1.6,100,26,1.08,12.46
GOSFORD (NARARA RESEARCH STATION),06/08/2012,1.9,0.0, ,19.4,4.9,100,22,1.22,13.44
GOSFORD (NARARA RESEARCH STATION),07/08/2012,1.4,0.0, ,17.9,0.4,100,29,0.54,13.55
GOSFORD (NARARA RESEARCH STATION),08/08/2012,1.8,0.2, ,21.3,-0.3,100,26,0.97,13.71
GOSFORD (NARARA RESEARCH STATION),09/08/2012,2.3,0.0, ,19.5,6.3,81,25,1.83,11.48
GOSFORD (NARARA RESEARCH STATION),10/08/2012,2.0,0.0, ,15.6,5.2,99,40,3.08,9.52
GOSFORD (NARARA RESEARCH STATION),11/08/2012,1.7,8.0, ,15.6,9.0,98,53,3.05,7.08
GOSFORD (NARARA RESEARCH STATION),12/08/2012,1.6,1.4, ,15.9,11.0,98,57,2.53,7.32
GOSFORD (NARARA RESEARCH STATION),13/08/2012,1.7,0.0, ,18.3,8.5,100,46,0.96,13.41
GOSFORD (NARARA RESEARCH STATION),14/08/2012,1.4,0.0, ,18.5,2.0,100,31,0.43,12.71
GOSFORD (NARARA RESEARCH STATION),15/08/2012,2.3,0.0, ,22.5,5.3,100,29,1.52,12.52
GOSFORD (NARARA RESEARCH STATION),16/08/2012,1.8,0.0, ,19.3,5.4,100,32,0.89,14.46
GOSFORD (NARARA RESEARCH STATION),17/08/2012,2.5,0.0, ,21.9,2.8,100,22,1.80,12.00
GOSFORD (NARARA RESEARCH STATION),18/08/2012,2.5,0.0, ,17.2,7.0,74,40,2.71,13.51
GOSFORD (NARARA RESEARCH STATION),19/08/2012,2.2,0.0, ,19.3,7.5,100,36,1.65,14.97
GOSFORD (NARARA RESEARCH STATION),20/08/2012,1.8,0.0, ,18.7,2.4,100,38,0.84,15.38
GOSFORD (NARARA RESEARCH STATION),21/08/2012,2.1,0.0, ,21.7,4.6,100,27,0.91,15.43
GOSFORD (NARARA RESEARCH STATION),22/08/2012,2.1,0.0, ,24.7,6.3,100,39,0.86,12.76
GOSFORD (NARARA RESEARCH STATION),23/08/2012,3.8,0.0, ,29.9,9.1,100,24,2.26,15.53
GOSFORD (NARARA RESEARCH STATION),24/08/2012,2.7,9.4, ,19.6,9.4,100,26,2.12,16.18
GOSFORD (NARARA RESEARCH STATION),25/08/2012,2.2,0.0, ,20.3,4.0,100,29,0.99,16.29
GOSFORD (NARARA RESEARCH STATION),26/08/2012,2.1,0.0, ,19.7,1.4,100,32,1.03,15.43
GOSFORD (NARARA RESEARCH STATION),27/08/2012,1.9,0.0, ,19.0,6.0,100,42,0.79,14.38
GOSFORD (NARARA RESEARCH STATION),28/08/2012,2.1,0.0, ,20.2,3.3,100,40,0.87,16.62
GOSFORD (NARARA RESEARCH STATION),29/08/2012,2.0,0.2, ,22.3,4.5,100,35,0.85,13.05
GOSFORD (NARARA RESEARCH STATION),30/08/2012,3.0,0.0, ,23.3,6.5,100,16,1.63,17.02
GOSFORD (NARARA RESEARCH STATION),31/08/2012,2.5,0.0, ,18.8,3.7,100,26,1.52,16.14
Totals:,,63.9,19.2, ,,,,,, 
